# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00495.cm
# date:    Fri May 13 21:47:40 2016
# seed:    1463176060
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_Hsp70                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:53.86       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -83.7055     -83.7055      0.0000
  QRF01739_AGJC01000011.1        62     -83.8875     -83.8875      0.0000
  QRF01739_AP012205.1            62     -84.6754     -84.6754      0.0000
  QRF01739_AEPQ01000180.1        85     -75.5012     -75.5012      0.0000
  QRF01739_AACY023065314.1       57     -90.6181     -90.6181      0.0000
  QRF01739_AACY020081009.1       57     -90.6181     -90.6181      0.0000
  QRF01739_ACSK01000180.1        92     -63.4618     -63.4618      0.0000
  QRF01739_BA000039.2           113     -53.2788     -53.2788      0.0000
  QRF01739_AACY023081145.1       53     -95.7350     -95.7350      0.0000
  QRF01739_AFSR01000238.1        99     -70.3130     -70.3130      0.0000
  QRF01739_AGJC01000003.1        76     -81.9578     -81.9578      0.0000
  QRF01739_AFSR01000146.1        92     -67.9364     -67.9364      0.0000
  QRF01739_CACA01000349.1        84     -81.2454     -81.2454      0.0000
  QRF01739_AACY022751187.1       52     -95.2889     -95.2889      0.0000
  QRF01739_AACY022283709.1       52     -95.2889     -95.2889      0.0000
