ClustID	SigLvl	Count	MFE	AvgDist	Members
38	**	3	-	0.32	RF00018_1_17-46,RF00018_6_44-30,RF00018_7_30-28
856	**	3	-	0.35	RF00010_54_30-36,RF00010_66_35-25,RF00010_73_32-26
1425	**	3	-	0.37	RF00010_16_30-40,RF00010_3_16-19,RF00010_49_18-27
1644	**	3	-	0.38	RF00010_63_43-29,RF00010_79_31-10,RF00010_8_27-50
863	**	3	-	0.39	RF00020_10_21-26,RF00020_68_11-40,RF00020_69_15-45
1781	**	4	-	0.40	RF00020_21_16-37,RF00020_55_23-40,RF00020_62_31-36,RF00020_6_18-46
1670	**	3	-	0.41	RF00010_44_28-26,RF00010_97_29-13,RF00010_99_30-49
1297	**	3	-	0.41	RF00010_12_24-30,RF00010_82_37-34,RF00010_96_22-36
1132	**	3	-	0.42	RF00004_23_49-35,RF00004_39_11-20,RF00004_66_16-39
1833	**	3	-	0.44	RF00009_13_21-20,RF00009_20_35-10,RF00009_51_36-34
302	**	3	-	0.45	RF00010_18_49-16,RF00010_68_49-14,RF00010_86_41-28
1418	**	3	-	0.46	RF00010_40_38-39,RF00010_94_48-11,RF00010_98_45-15
15	**	3	-	0.46	RF00010_13_34-24,RF00010_53_50-28,RF00011_10_17-39
1357	**	3	-	0.46	RF00010_27_31-24,RF00010_47_42-48,RF00010_48_37-24
99	**	3	-	0.47	RF00012_22_24-36,RF00012_23_17-44,RF00012_8_16-40
891	**	3	-	0.47	RF00011_11_33-36,RF00011_27_27-27,RF00011_8_37-44
1636	**	3	-	0.47	RF00010_41_50-25,RF00010_78_15-42,RF00010_85_49-36
1897	**	3	-	0.47	RF00019_13_14-19,RF00019_24_15-38,RF00019_2_27-29
968	**	3	-	0.47	RF00004_14_38-13,RF00004_2_38-15,RF00004_42_31-28
1494	**	3	-	0.48	RF00011_20_15-48,RF00011_3_19-22,RF00011_41_43-44
1830	**	3	-	0.48	RF00011_13_43-11,RF00011_2_38-10,RF00011_40_33-31
761	**	4	-	0.49	RF00010_33_33-25,RF00010_51_14-47,RF00010_87_39-33,RF00010_95_49-13
1477	**	3	-	0.49	RF00020_18_24-36,RF00020_24_29-22,RF00020_64_39-44
1479	**	3	-	0.50	RF00020_14_29-29,RF00020_71_22-46,RF00020_72_49-49
412	**	3	-	0.50	RF00019_20_47-21,RF00019_3_45-37,RF00019_9_24-24
910	**	3	-	0.50	RF00002_21_48-26,RF00002_3_12-42,RF00002_6_14-44
1503	**	3	-	0.50	RF00013_11_38-18,RF00013_37_15-41,RF00013_70_41-37
401	**	3	-	0.51	RF00001_14_22-22,RF00001_4_22-20,RF00001_98_20-25
1127	**	4	-	0.51	RF00019_10_21-27,RF00019_22_34-38,RF00019_23_13-20,RF00019_7_18-49
794	**	3	-	0.51	RF00004_29_15-14,RF00004_43_41-34,RF00004_6_37-46
1362	**	3	-	0.52	RF00004_21_38-43,RF00004_33_19-31,RF00004_48_20-46
1230	**	3	-	0.52	RF00004_51_33-24,RF00004_58_28-40,RF00004_69_12-18
1302	**	3	-	0.52	RF00007_12_47-36,RF00007_17_12-32,RF00007_9_11-10
1317	**	3	-	0.52	RF00010_50_46-16,RF00010_5_44-43,RF00010_64_48-42
996	*	3	-	0.52	RF00012_30_13-18,RF00012_38_18-30,RF00012_9_17-48
1530	**	4	-	0.53	RF00020_16_43-24,RF00020_26_30-11,RF00020_46_50-31,RF00020_48_36-13
1485	*	3	-	0.53	RF00007_22_18-46,RF00007_26_48-27,RF00007_7_50-18
1809	*	3	-	0.53	RF00013_23_38-28,RF00013_43_43-46,RF00013_52_44-45
76	**	4	-	0.54	RF00010_2_19-42,RF00010_32_46-18,RF00010_36_32-29,RF00010_52_21-43
41	*	3	-	0.54	RF00012_28_26-47,RF00012_31_13-41,RF00012_33_12-13
1660	*	3	-	0.54	RF00001_71_44-12,RF00010_61_30-47,RF00010_83_28-31
735	*	3	-	0.54	RF00006_1_10-20,RF00006_29_10-50,RF00006_36_25-24
1900	*	3	-	0.54	RF00001_15_44-16,RF00001_2_36-45,RF00001_74_33-39
558	*	3	-	0.54	RF00013_13_40-15,RF00013_48_45-17,RF00013_54_38-14
861	*	3	-	0.55	RF00013_29_17-10,RF00013_32_46-12,RF00013_68_29-46
1356	*	3	-	0.55	RF00013_27_49-30,RF00013_33_42-28,RF00013_55_19-31
1389	**	4	-	0.55	RF00013_24_29-25,RF00013_56_19-33,RF00013_74_46-10,RF00013_86_10-39
296	*	3	-	0.55	RF00013_31_23-32,RF00013_63_38-44,RF00013_9_45-32
947	**	4	-	0.55	RF00019_11_19-25,RF00019_18_25-12,RF00019_1_32-22,RF00019_6_35-35
1292	*	3	-	0.55	RF00004_3_46-15,RF00004_46_24-47,RF00004_62_31-25
1005	*	3	-	0.55	RF00004_12_12-36,RF00004_20_49-44,RF00004_57_25-20
1016	*	3	-	0.55	RF00002_9_38-47,RF00015_31_32-20,RF00015_43_10-46
1806	*	3	-	0.55	RF00004_24_25-17,RF00004_32_24-36,RF00004_55_36-20
304	*	3	-	0.55	RF00005_1_35-42,RF00005_46_32-24,RF00005_86_24-12
763	*	3	-	0.55	RF00020_11_38-38,RF00020_31_37-36,RF00020_52_16-23
112	*	4	-	0.57	RF00010_19_44-14,RF00010_23_10-43,RF00010_75_12-12,RF00010_7_30-14
413	*	4	-	0.58	RF00020_22_13-13,RF00020_28_23-29,RF00020_30_17-31,RF00020_3_13-49
100	*	4	-	0.59	RF00020_17_36-22,RF00020_19_42-14,RF00020_20_26-23,RF00020_74_19-47
1520	*	4	-	0.59	RF00032_24_42-30,RF00032_27_35-26,RF00032_2_34-34,RF00032_3_41-16
484	*	4	-	0.59	RF00010_10_48-42,RF00010_28_50-47,RF00010_59_38-48,RF00011_33_32-27
392	*	4	-	0.59	RF00017_16_34-28,RF00017_17_28-15,RF00017_6_35-43,RF00017_8_22-24
1497	*	5	-	0.61	RF00010_1_36-15,RF00010_38_24-33,RF00010_65_20-30,RF00010_6_31-42,RF00011_14_43-11
1012	*	6	-	0.64	RF00004_11_41-40,RF00004_35_41-39,RF00004_37_18-41,RF00004_49_40-49,RF00004_4_19-44,RF00004_68_13-20
492	*	7	-	0.66	RF00010_22_37-37,RF00010_29_42-50,RF00010_34_44-43,RF00010_62_16-40,RF00010_89_22-30,RF00010_93_19-48,RF00013_72_37-11
503	*	12	-	0.72	RF00005_21_29-10,RF00005_22_15-38,RF00005_35_42-25,RF00005_49_20-17,RF00005_56_23-22,RF00005_60_17-25,RF00005_67_36-45,RF00005_68_16-38,RF00005_69_43-24,RF00005_89_45-26,RF00005_8_48-31,RF00005_90_11-12
