# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00374.cm
# date:    Fri May 13 19:45:49 2016
# seed:    1463168749
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Gammaretro_CES             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:50.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -14.5331     -14.5331      0.0000
  QRF01739_AGJC01000011.1        62     -16.3513     -16.3513      0.0000
  QRF01739_AP012205.1            62     -25.7864     -25.7864      0.0000
  QRF01739_AEPQ01000180.1        85     -23.8688     -24.0240      0.1551
  QRF01739_AACY023065314.1       57     -22.3119     -22.3119      0.0000
  QRF01739_AACY020081009.1       57     -22.3119     -22.3119      0.0000
  QRF01739_ACSK01000180.1        92     -20.3152     -20.3152      0.0000
  QRF01739_BA000039.2           113     -16.9421     -16.9421      0.0000
  QRF01739_AACY023081145.1       53     -26.3843     -26.3843      0.0000
  QRF01739_AFSR01000238.1        99     -23.7905     -23.7905      0.0000
  QRF01739_AGJC01000003.1        76     -23.8668     -23.8668      0.0000
  QRF01739_AFSR01000146.1        92     -21.8439     -21.8439      0.0000
  QRF01739_CACA01000349.1        84     -23.3114     -23.3114      0.0000
  QRF01739_AACY022751187.1       52     -29.3998     -29.3998      0.0000
  QRF01739_AACY022283709.1       52     -29.3998     -29.3998      0.0000
  QRF01739_ABPS01003770.1       123     -11.6235     -11.6235      0.0000
  QRF01739_AFEJ01000345.1        83     -18.1971     -18.1971      0.0000
  QRF00005_CABR01000029.1        73     -18.7776     -18.7776      0.0000
  QRF00005_AFSR01002788.1        74     -20.1146     -20.1146      0.0000
  QRF00005_CP000927.1            72     -24.9642     -24.9642      0.0000
  QRF00005_AY741371.1            72     -24.2479     -24.2479      0.0000
  QRF00005_AEGR01000006.1        73     -21.6020     -21.6020      0.0000
  QRF00005_CP001189.1            73     -22.1796     -22.1796      0.0000
  QRF00005_CP000493.1            72     -19.3114     -19.3114      0.0000
  QRF00005_AP012159.1            73     -22.1796     -22.1796      0.0000
  QRF00005_AM889285.1            73     -22.1796     -22.1796      0.0000
  QRF00005_AGFR01000003.1        73     -22.9876     -22.9876      0.0000
  QRF00005_AFCH01000046.1        73     -22.1796     -22.1796      0.0000
  QRF00005_ADTV01000009.1        73     -22.1796     -22.1796      0.0000
  QRF00005_ABCE01000025.1        73     -21.4919     -21.4919      0.0000
  QRF00005_HM565909.1            72     -26.2561     -26.2561      0.0000
  QRF00005_CAFG01000441.1        73     -20.2530     -20.2530      0.0000
  QRF00005_AACY020656879.1       72     -25.4654     -27.1141      1.6487
  QRF00005_CP001744.1            73     -23.3004     -23.3004      0.0000
  QRF00005_CP000880.1            73     -24.4260     -24.4260      0.0000
  QRF00005_CACD01000012.1        73     -24.4260     -24.4260      0.0000
  QRF00005_CACD01000012.1        73     -24.4260     -24.4260      0.0000
  QRF00005_CACD01000012.1        73     -24.4260     -24.4260      0.0000
  QRF00005_AM849034.1            74     -27.7089     -27.7089      0.0000
  QRF00005_AM711867.1            74     -27.7089     -27.7089      0.0000
  QRF00005_AEQT01000005.1        73     -24.4260     -24.4260      0.0000
  QRF00005_AEQT01000005.1        73     -24.4260     -24.4260      0.0000
  QRF00005_ACDJ01000003.1        73     -24.4260     -24.4260      0.0000
  QRF00005_ABWL02000007.1        73     -24.4260     -24.4260      0.0000
  QRF00005_Z71579.1              73     -22.7070     -22.7070      0.0000
  QRF00005_X53782.1              73     -22.7070     -22.7070      0.0000
  QRF00005_M19391.1              73     -22.7070     -22.7070      0.0000
  QRF00005_M15314.1              73     -22.7070     -22.7070      0.0000
  QRF00005_L42023.1              73     -22.7070     -22.7070      0.0000
  QRF00005_L42023.1              73     -22.7070     -22.7070      0.0000
  QRF00005_L42023.1              73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670204.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670204.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670204.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670178.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670178.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670178.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ670178.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312006.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312006.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312006.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312002.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312002.1            73     -22.7070     -22.7070      0.0000
  QRF00005_FQ312002.1            73     -22.7070     -22.7070      0.0000
  QRF00005_EF196803.1            73     -22.7070     -22.7070      0.0000
  QRF00005_EF196803.1            73     -22.7070     -22.7070      0.0000
  QRF00005_CP003022.1            73     -22.7070     -22.7070      0.0000
  QRF00001_EU093378.1           119     -17.4723     -17.4723      0.0000
  QRF00001_AAAA02047827.1       119     -18.6683     -18.6683      0.0000
  QRF00001_AAAA02043281.1       119     -16.4093     -16.4093      0.0000
  QRF00001_EF064700.1           119     -18.2499     -18.2499      0.0000
  QRF00001_EF064692.1           119     -18.2499     -18.2499      0.0000
  QRF00001_EF064687.1           119     -18.2499     -18.2499      0.0000
  QRF00001_EF064680.1           119     -18.2499     -18.2499      0.0000
  QRF00001_EF064678.1           119     -18.2499     -18.2499      0.0000
  QRF00001_EF064556.1           119     -18.2499     -18.2499      0.0000
  QRF00001_AJ390135.1           119     -18.2499     -18.2499      0.0000
  QRF00001_HQ270965.1           119     -18.6683     -18.6683      0.0000
  QRF00001_GQ324770.1           119     -18.6683     -18.6683      0.0000
  QRF00001_FJ882503.1           119     -18.6683     -18.6683      0.0000
  QRF00001_AF550740.1           119     -18.6683     -18.6683      0.0000
  QRF00001_HQ270648.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU924818.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU093153.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EF524209.1           119     -18.6683     -18.6683      0.0000
  QRF00001_AY316209.1           119     -18.6683     -18.6683      0.0000
  QRF00001_AY034674.1           119     -18.6683     -18.6683      0.0000
  QRF00001_AJ409525.1           119     -18.6683     -18.6683      0.0000
  QRF00001_AF550715.1           119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01010155.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009775.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009775.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009775.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009135.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009119.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01009117.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005845.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005845.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005844.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005841.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005839.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005838.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005838.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005835.1       119     -18.6683     -18.6683      0.0000
  QRF00001_ABXC01005835.1       119     -18.6683     -18.6683      0.0000
  QRF00001_AAAA02039752.1       119     -18.6683     -18.6683      0.0000
  QRF00001_EU925066.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU093209.1           119     -18.6683     -18.6683      0.0000
  QRF00001_U02637.1             119     -18.6683     -18.6683      0.0000
  QRF00001_EU439291.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439286.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439284.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439282.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439280.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439279.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439278.1           119     -18.6683     -18.6683      0.0000
  QRF00001_EU439277.1           119     -18.6683     -18.6683      0.0000
  QRF01704_ACNY01000005.1        62     -28.7799     -28.7799      0.0000
  QRF01704_ADXL01000065.1        61     -24.6560     -24.6560      0.0000
  QRF01704_ADXL01000046.1        61     -26.4269     -26.4269      0.0000
  QRF01704_ADHP01001127.1        63     -20.6052     -20.6052      0.0000
