# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00422.cm
# date:    Sat May 14 00:12:02 2016
# seed:    1463184722
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SCARNA24                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:59.89       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -38.8779     -38.8779      0.0000
  QRF01739_AGJC01000011.1        62     -36.8379     -36.8379      0.0000
  QRF01739_AP012205.1            62     -32.1972     -32.1972      0.0000
  QRF01739_AEPQ01000180.1        85     -24.7450     -24.7450      0.0000
  QRF01739_AACY023065314.1       57     -36.6389     -36.6389      0.0000
  QRF01739_AACY020081009.1       57     -36.6389     -36.6389      0.0000
  QRF01739_ACSK01000180.1        92     -32.2802     -32.2802      0.0000
  QRF01739_BA000039.2           113     -26.1559     -26.1559      0.0000
  QRF01739_AACY023081145.1       53     -40.0495     -40.0495      0.0000
  QRF01739_AFSR01000238.1        99     -32.6114     -32.6114      0.0000
  QRF01739_AGJC01000003.1        76     -33.7467     -33.7467      0.0000
  QRF01739_AFSR01000146.1        92     -32.1385     -32.1385      0.0000
  QRF01739_CACA01000349.1        84     -33.1242     -33.1242      0.0000
  QRF01739_AACY022751187.1       52     -39.7303     -39.7303      0.0000
  QRF01739_AACY022283709.1       52     -39.7303     -39.7303      0.0000
  QRF01739_ABPS01003770.1       123     -29.0771     -29.0771      0.0000
  QRF01739_AFEJ01000345.1        83     -28.7370     -28.7370      0.0000
  QRF00005_CABR01000029.1        73     -42.3939     -42.3939      0.0000
  QRF00005_AFSR01002788.1        74     -38.8976     -38.8976      0.0000
  QRF00005_CP000927.1            72     -36.9953     -36.9953      0.0000
  QRF00005_AY741371.1            72     -40.8411     -40.8411      0.0000
  QRF00005_AEGR01000006.1        73     -34.9107     -34.9107      0.0000
  QRF00005_CP001189.1            73     -35.5059     -35.5059      0.0000
  QRF00005_CP000493.1            72     -38.8503     -38.8503      0.0000
  QRF00005_AP012159.1            73     -35.5059     -35.5059      0.0000
  QRF00005_AM889285.1            73     -35.5059     -35.5059      0.0000
  QRF00005_AGFR01000003.1        73     -33.8867     -33.8867      0.0000
  QRF00005_AFCH01000046.1        73     -35.5059     -35.5059      0.0000
  QRF00005_ADTV01000009.1        73     -35.5059     -35.5059      0.0000
  QRF00005_ABCE01000025.1        73     -39.0992     -39.0992      0.0000
  QRF00005_HM565909.1            72     -34.6331     -34.6331      0.0000
  QRF00005_CAFG01000441.1        73     -37.7026     -37.7026      0.0000
  QRF00005_AACY020656879.1       72     -32.7891     -32.7891      0.0000
  QRF00005_CP001744.1            73     -37.9265     -37.9265      0.0000
  QRF00005_CP000880.1            73     -37.5253     -37.5253      0.0000
  QRF00005_CACD01000012.1        73     -37.5253     -37.5253      0.0000
  QRF00005_CACD01000012.1        73     -37.5253     -37.5253      0.0000
  QRF00005_CACD01000012.1        73     -37.5253     -37.5253      0.0000
  QRF00005_AM849034.1            74     -37.2698     -37.2698      0.0000
  QRF00005_AM711867.1            74     -37.2698     -37.2698      0.0000
  QRF00005_AEQT01000005.1        73     -37.5253     -37.5253      0.0000
  QRF00005_AEQT01000005.1        73     -37.5253     -37.5253      0.0000
  QRF00005_ACDJ01000003.1        73     -37.5253     -37.5253      0.0000
  QRF00005_ABWL02000007.1        73     -37.5253     -37.5253      0.0000
  QRF00005_Z71579.1              73     -33.5376     -33.5376      0.0000
  QRF00005_X53782.1              73     -33.5376     -33.5376      0.0000
  QRF00005_M19391.1              73     -33.5376     -33.5376      0.0000
  QRF00005_M15314.1              73     -33.5376     -33.5376      0.0000
  QRF00005_L42023.1              73     -33.5376     -33.5376      0.0000
  QRF00005_L42023.1              73     -33.5376     -33.5376      0.0000
  QRF00005_L42023.1              73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670204.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670204.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670204.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670178.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670178.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670178.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ670178.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312006.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312006.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312006.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312002.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312002.1            73     -33.5376     -33.5376      0.0000
  QRF00005_FQ312002.1            73     -33.5376     -33.5376      0.0000
  QRF00005_EF196803.1            73     -33.5376     -33.5376      0.0000
  QRF00005_EF196803.1            73     -33.5376     -33.5376      0.0000
  QRF00005_CP003022.1            73     -33.5376     -33.5376      0.0000
  QRF00001_EU093378.1           119     -28.8768     -28.8768      0.0000
  QRF00001_AAAA02047827.1       119     -30.2338     -30.2338      0.0000
  QRF00001_AAAA02043281.1       119     -27.9238     -27.9238      0.0000
  QRF00001_EF064700.1           119     -27.4008     -27.4008      0.0000
  QRF00001_EF064692.1           119     -27.4008     -27.4008      0.0000
  QRF00001_EF064687.1           119     -27.4008     -27.4008      0.0000
  QRF00001_EF064680.1           119     -27.4008     -27.4008      0.0000
  QRF00001_EF064678.1           119     -27.4008     -27.4008      0.0000
  QRF00001_EF064556.1           119     -27.4008     -27.4008      0.0000
  QRF00001_AJ390135.1           119     -27.4008     -27.4008      0.0000
  QRF00001_HQ270965.1           119     -30.2338     -30.2338      0.0000
  QRF00001_GQ324770.1           119     -30.2338     -30.2338      0.0000
  QRF00001_FJ882503.1           119     -30.2338     -30.2338      0.0000
  QRF00001_AF550740.1           119     -30.2338     -30.2338      0.0000
  QRF00001_HQ270648.1           119     -27.9238     -27.9238      0.0000
  QRF00001_EU924818.1           119     -27.9238     -27.9238      0.0000
  QRF00001_EU093153.1           119     -27.9238     -27.9238      0.0000
  QRF00001_EF524209.1           119     -27.9238     -27.9238      0.0000
  QRF00001_AY316209.1           119     -27.9238     -27.9238      0.0000
  QRF00001_AY034674.1           119     -27.9238     -27.9238      0.0000
  QRF00001_AJ409525.1           119     -27.9238     -27.9238      0.0000
  QRF00001_AF550715.1           119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01010155.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009775.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009775.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009775.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009135.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009119.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01009117.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005845.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005845.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005844.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005841.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005839.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005838.1       119     -27.9238     -27.9238      0.0000
  QRF00001_ABXC01005838.1       119     -27.9238     -27.9238      0.0000
