# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01091.cm
# date:    Tue May 10 02:39:02 2016
# seed:    1462847942
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PK-SPCSV                   search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.17       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -13.5414     -13.5414      0.0000
  RF00418_AAIY01556911.1        141      -8.8981      -8.8981      0.0000
  RF00418_AAYZ01244227.1        137     -10.7568     -10.7568      0.0000
  RF00418_AF357386.1            126     -11.6589     -11.6589      0.0000
  RF00418_AABR04001620.1        135     -11.2052     -11.2052      0.0000
  RF00418_AAQQ01789110.1        137     -11.5807     -11.5807      0.0000
  RF00418_AJ609450.1            137     -10.0881     -10.0881      0.0000
  RF00418_AL590431.11           136      -9.3543      -9.3543      0.0000
  RF00418_AL049745.9            136     -10.7386     -10.7386      0.0000
  RF00418_ABDC01240840.1        136     -11.3150     -11.3150      0.0000
  RF00418_AAQR01162064.1        136     -15.0626     -15.0626      0.0000
  RF00418_AAEX02026315.1        137     -12.3643     -12.3643      0.0000
  RF00418_AANG01021210.1        136     -17.6065     -17.6065      0.0000
  RF00418_AAFC03027776.1        135      -5.2504      -5.2504      0.0000
  RF00418_AAPE01281662.1        136     -15.4702     -15.4702      0.0000
  RF00418_AALT01368588.1        136     -15.8018     -15.8018      0.0000
  RF00418_AAWR02038694.1        136     -12.1171     -12.1171      0.0000
  RF00418_AAGV020286123.1       137      -6.3335      -6.3335      0.0000
  RF00418_AAFR03052180.1        134     -13.9733     -13.9733      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.51    0.33        0  0.00000    0.00
#
# CPU time: 0.68u 0.00s 00:00:00.68 Elapsed: 00:00:00
