# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00863.cm
# date:    Tue May 10 02:35:56 2016
# seed:    1462847756
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-BART17                 search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.37       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -15.7165     -15.7165      0.0000
  RF00418_AAIY01556911.1        141     -15.7982     -15.7982      0.0000
  RF00418_AAYZ01244227.1        137     -11.6159     -11.6159      0.0000
  RF00418_AF357386.1            126      -5.3001     -19.0073     13.7072
  RF00418_AABR04001620.1        135      -8.9261     -17.2919      8.3658
  RF00418_AAQQ01789110.1        137     -12.7212     -12.7212      0.0000
  RF00418_AJ609450.1            137     -14.1303     -14.1303      0.0000
  RF00418_AL590431.11           136     -14.4985     -14.4985      0.0000
  RF00418_AL049745.9            136      -8.2795     -11.0343      2.7548
  RF00418_ABDC01240840.1        136     -13.5464     -13.5464      0.0000
  RF00418_AAQR01162064.1        136     -15.1763     -15.5396      0.3633
  RF00418_AAEX02026315.1        137     -17.6779     -21.1855      3.5076
  RF00418_AANG01021210.1        136      -7.3897      -7.3897      0.0000
  RF00418_AAFC03027776.1        135     -15.1367     -15.1367      0.0000
  RF00418_AAPE01281662.1        136     -17.0740     -17.0740      0.0000
  RF00418_AALT01368588.1        136     -12.8618     -12.8618      0.0000
  RF00418_AAWR02038694.1        136     -13.2402     -13.2402      0.0000
  RF00418_AAGV020286123.1       137      -9.3303      -9.3303      0.0000
  RF00418_AAFR03052180.1        134     -17.0577     -17.1072      0.0495
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.43    0.86        6  0.31579    4.79
#
# CPU time: 0.80u 0.00s 00:00:00.80 Elapsed: 00:00:00
