# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01845.cm
# date:    Sat May 14 03:38:05 2016
# seed:    1463197085
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  enod40                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:12.96       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -94.8063     -94.8063      0.0000
  QRF01739_AGJC01000011.1        62     -94.2246     -94.2246      0.0000
  QRF01739_AP012205.1            62     -94.4007     -94.4007      0.0000
  QRF01739_AEPQ01000180.1        85     -80.5160     -80.5160      0.0000
  QRF01739_AACY023065314.1       57     -96.5388     -96.5388      0.0000
  QRF01739_AACY020081009.1       57     -96.5388     -96.5388      0.0000
  QRF01739_ACSK01000180.1        92     -81.7564     -81.7564      0.0000
  QRF01739_BA000039.2           113     -67.8256     -67.8256      0.0000
  QRF01739_AACY023081145.1       53     -98.0378     -98.0378      0.0000
  QRF01739_AFSR01000238.1        99     -82.5252     -82.5252      0.0000
  QRF01739_AGJC01000003.1        76     -76.4010     -76.4010      0.0000
  QRF01739_AFSR01000146.1        92     -84.4352     -84.4352      0.0000
  QRF01739_CACA01000349.1        84     -85.2983     -85.2983      0.0000
  QRF01739_AACY022751187.1       52    -100.9135    -100.9135      0.0000
  QRF01739_AACY022283709.1       52    -100.9135    -100.9135      0.0000
  QRF01739_ABPS01003770.1       123     -73.1663     -73.1663      0.0000
  QRF01739_AFEJ01000345.1        83     -78.0148     -78.0148      0.0000
  QRF00005_CABR01000029.1        73     -94.0252     -94.0252      0.0000
  QRF00005_AFSR01002788.1        74     -91.9629     -91.9629      0.0000
  QRF00005_CP000927.1            72     -86.3873     -86.3873      0.0000
  QRF00005_AY741371.1            72     -91.9301     -91.9301      0.0000
  QRF00005_AEGR01000006.1        73     -92.0591     -92.0591      0.0000
  QRF00005_CP001189.1            73     -85.8551     -85.8551      0.0000
  QRF00005_CP000493.1            72     -93.7645     -93.7645      0.0000
  QRF00005_AP012159.1            73     -85.8551     -85.8551      0.0000
  QRF00005_AM889285.1            73     -85.8551     -85.8551      0.0000
  QRF00005_AGFR01000003.1        73     -88.8597     -88.8597      0.0000
  QRF00005_AFCH01000046.1        73     -85.8551     -85.8551      0.0000
  QRF00005_ADTV01000009.1        73     -85.8551     -85.8551      0.0000
  QRF00005_ABCE01000025.1        73     -88.2409     -88.2409      0.0000
  QRF00005_HM565909.1            72     -89.5659     -89.5659      0.0000
  QRF00005_CAFG01000441.1        73     -91.0341     -91.0341      0.0000
  QRF00005_AACY020656879.1       72     -90.8924     -90.8924      0.0000
  QRF00005_CP001744.1            73     -94.5014     -94.5014      0.0000
  QRF00005_CP000880.1            73     -89.2236     -89.2236      0.0000
  QRF00005_CACD01000012.1        73     -89.2236     -89.2236      0.0000
  QRF00005_CACD01000012.1        73     -89.2236     -89.2236      0.0000
  QRF00005_CACD01000012.1        73     -89.2236     -89.2236      0.0000
  QRF00005_AM849034.1            74     -82.5590     -82.5590      0.0000
  QRF00005_AM711867.1            74     -82.5590     -82.5590      0.0000
  QRF00005_AEQT01000005.1        73     -89.2236     -89.2236      0.0000
  QRF00005_AEQT01000005.1        73     -89.2236     -89.2236      0.0000
  QRF00005_ACDJ01000003.1        73     -89.2236     -89.2236      0.0000
  QRF00005_ABWL02000007.1        73     -89.2236     -89.2236      0.0000
  QRF00005_Z71579.1              73     -91.9324     -91.9324      0.0000
  QRF00005_X53782.1              73     -91.9324     -91.9324      0.0000
  QRF00005_M19391.1              73     -91.9324     -91.9324      0.0000
  QRF00005_M15314.1              73     -91.9324     -91.9324      0.0000
  QRF00005_L42023.1              73     -91.9324     -91.9324      0.0000
  QRF00005_L42023.1              73     -91.9324     -91.9324      0.0000
  QRF00005_L42023.1              73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670204.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670204.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670204.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670178.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670178.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670178.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ670178.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312006.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312006.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312006.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312002.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312002.1            73     -91.9324     -91.9324      0.0000
  QRF00005_FQ312002.1            73     -91.9324     -91.9324      0.0000
  QRF00005_EF196803.1            73     -91.9324     -91.9324      0.0000
  QRF00005_EF196803.1            73     -91.9324     -91.9324      0.0000
  QRF00005_CP003022.1            73     -91.9324     -91.9324      0.0000
  QRF00001_EU093378.1           119     -65.4175     -65.4175      0.0000
  QRF00001_AAAA02047827.1       119     -67.2769     -67.2769      0.0000
  QRF00001_AAAA02043281.1       119     -66.2776     -66.2776      0.0000
  QRF00001_EF064700.1           119     -67.1061     -67.1061      0.0000
  QRF00001_EF064692.1           119     -67.1061     -67.1061      0.0000
  QRF00001_EF064687.1           119     -67.1061     -67.1061      0.0000
  QRF00001_EF064680.1           119     -67.1061     -67.1061      0.0000
  QRF00001_EF064678.1           119     -67.1061     -67.1061      0.0000
  QRF00001_EF064556.1           119     -67.1061     -67.1061      0.0000
  QRF00001_AJ390135.1           119     -67.1061     -67.1061      0.0000
  QRF00001_HQ270965.1           119     -67.2769     -67.2769      0.0000
  QRF00001_GQ324770.1           119     -67.2769     -67.2769      0.0000
  QRF00001_FJ882503.1           119     -67.2769     -67.2769      0.0000
