# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01535.cm
# date:    Fri May 13 19:15:16 2016
# seed:    1463166916
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TB10Cs5H2                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:24.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.2536     -28.2536      0.0000
  QRF01739_AGJC01000011.1        62     -26.4681     -26.4681      0.0000
  QRF01739_AP012205.1            62     -23.1816     -23.1816      0.0000
  QRF01739_AEPQ01000180.1        85     -20.7315     -20.7315      0.0000
  QRF01739_AACY023065314.1       57     -22.5700     -22.5700      0.0000
  QRF01739_AACY020081009.1       57     -22.5700     -22.5700      0.0000
  QRF01739_ACSK01000180.1        92     -21.0930     -21.0930      0.0000
  QRF01739_BA000039.2           113      -6.9502      -6.9502      0.0000
  QRF01739_AACY023081145.1       53     -24.2262     -24.2262      0.0000
  QRF01739_AFSR01000238.1        99      -9.7817      -9.7817      0.0000
  QRF01739_AGJC01000003.1        76     -22.0434     -22.0434      0.0000
  QRF01739_AFSR01000146.1        92     -16.2615     -16.2615      0.0000
  QRF01739_CACA01000349.1        84     -15.3422     -15.3422      0.0000
  QRF01739_AACY022751187.1       52     -23.7252     -23.7252      0.0000
  QRF01739_AACY022283709.1       52     -23.7252     -23.7252      0.0000
  QRF01739_ABPS01003770.1       123     -10.2290     -10.2290      0.0000
  QRF01739_AFEJ01000345.1        83     -18.1325     -18.1325      0.0000
  QRF00005_CABR01000029.1        73     -19.2934     -19.2934      0.0000
  QRF00005_AFSR01002788.1        74     -23.8652     -23.8652      0.0000
  QRF00005_CP000927.1            72     -16.2911     -16.2911      0.0000
  QRF00005_AY741371.1            72     -22.4650     -22.4650      0.0000
  QRF00005_AEGR01000006.1        73     -16.2892     -16.2892      0.0000
  QRF00005_CP001189.1            73     -19.7696     -19.7696      0.0000
  QRF00005_CP000493.1            72     -23.4223     -23.4223      0.0000
  QRF00005_AP012159.1            73     -19.7696     -19.7696      0.0000
  QRF00005_AM889285.1            73     -19.7696     -19.7696      0.0000
  QRF00005_AGFR01000003.1        73     -20.8436     -20.8436      0.0000
  QRF00005_AFCH01000046.1        73     -19.7696     -19.7696      0.0000
  QRF00005_ADTV01000009.1        73     -19.7696     -19.7696      0.0000
  QRF00005_ABCE01000025.1        73     -16.7808     -16.7808      0.0000
  QRF00005_HM565909.1            72     -17.4811     -17.4811      0.0000
  QRF00005_CAFG01000441.1        73     -12.6102     -12.6102      0.0000
  QRF00005_AACY020656879.1       72     -16.9951     -16.9951      0.0000
  QRF00005_CP001744.1            73     -17.4599     -17.4599      0.0000
  QRF00005_CP000880.1            73     -16.5179     -16.5179      0.0000
  QRF00005_CACD01000012.1        73     -16.5179     -16.5179      0.0000
  QRF00005_CACD01000012.1        73     -16.5179     -16.5179      0.0000
  QRF00005_CACD01000012.1        73     -16.5179     -16.5179      0.0000
  QRF00005_AM849034.1            74     -16.3815     -16.3815      0.0000
  QRF00005_AM711867.1            74     -16.3815     -16.3815      0.0000
  QRF00005_AEQT01000005.1        73     -16.5179     -16.5179      0.0000
  QRF00005_AEQT01000005.1        73     -16.5179     -16.5179      0.0000
  QRF00005_ACDJ01000003.1        73     -16.5179     -16.5179      0.0000
  QRF00005_ABWL02000007.1        73     -16.5179     -16.5179      0.0000
  QRF00005_Z71579.1              73     -22.2324     -22.2324      0.0000
  QRF00005_X53782.1              73     -22.2324     -22.2324      0.0000
  QRF00005_M19391.1              73     -22.2324     -22.2324      0.0000
  QRF00005_M15314.1              73     -22.2324     -22.2324      0.0000
  QRF00005_L42023.1              73     -22.2324     -22.2324      0.0000
  QRF00005_L42023.1              73     -22.2324     -22.2324      0.0000
  QRF00005_L42023.1              73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670204.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670204.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670204.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670178.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670178.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670178.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ670178.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312006.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312006.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312006.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312002.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312002.1            73     -22.2324     -22.2324      0.0000
  QRF00005_FQ312002.1            73     -22.2324     -22.2324      0.0000
  QRF00005_EF196803.1            73     -22.2324     -22.2324      0.0000
