# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01553.cm
# date:    Sun May  8 20:47:18 2016
# seed:    1462715238
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  TB9Cs1H3                   search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -11.0614     -11.0614      0.0000
  trna_2                         74     -11.1581     -11.1581      0.0000
  trna_3                         73      -9.6058      -9.6058      0.0000
  trna_4                         72     -10.7947     -10.7947      0.0000
  trna_5                         72      -9.4538      -9.4538      0.0000
  trna_6                         73     -11.1975     -11.1975      0.0000
  trna_7                         73      -8.7501      -8.7501      0.0000
  trna_8                         73     -12.7495     -12.7495      0.0000
  trna_9                         73     -12.5913     -12.5913      0.0000
  trna_10                        72     -14.8731     -14.8731      0.0000
  u5_1                          114      -9.4113      -9.4113      0.0000
  u5_2                          116     -13.6953     -13.6953      0.0000
  u5_3                          118     -12.3490     -12.3490      0.0000
  u5_4                          117     -10.4087     -10.4087      0.0000
  u5_5                          107     -12.7798     -12.7798      0.0000
  u5_6                          116     -12.3490     -12.3490      0.0000
  u5_7                          116     -12.8084     -12.8084      0.0000
  u5_8                          126     -12.8084     -12.8084      0.0000
  u5_9                          115     -10.8798     -10.8798      0.0000
  u5_10                         115      -6.4574      -6.4574      0.0000
  rrtWT_uc011zgd.1_2370         100      -8.5301      -8.5301      0.0000
  rrtWT_uc007ino.1_879          100     -14.3942     -14.3942      0.0000
  rrtWT_uc012dtn.1_1041         100     -15.3785     -15.3785      0.0000
  rrtWT_uc007bjr.2_621          100     -16.6648     -16.6648      0.0000
  rrtWT_uc008hom.1_603          100      -6.0867      -6.0867      0.0000
  rrtWT_uc007wki.1_323          100      -9.2383      -9.2383      0.0000
  rrtWT_uc008fec.1_254          100      -9.0018      -9.0018      0.0000
  rrtWT_uc007wxx.1_716          100      -7.6245      -7.6245      0.0000
  rrtWT_uc009qex.2_2789         100     -11.1567     -11.1567      0.0000
  rrtWT_uc007xbv.1_1165         100     -11.0506     -11.0506      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.51    0.43        0  0.00000    0.00
#
# CPU time: 0.73u 0.01s 00:00:00.74 Elapsed: 00:00:01
