# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01764.cm
# date:    Sat May 14 00:19:06 2016
# seed:    1463185146
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  yjdF                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.55       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.6803     -28.6803      0.0000
  QRF01739_AGJC01000011.1        62     -29.6403     -29.6403      0.0000
  QRF01739_AP012205.1            62     -25.7029     -25.7029      0.0000
  QRF01739_AEPQ01000180.1        85     -21.6008     -21.6008      0.0000
  QRF01739_AACY023065314.1       57     -29.9253     -29.9253      0.0000
  QRF01739_AACY020081009.1       57     -29.9253     -29.9253      0.0000
  QRF01739_ACSK01000180.1        92     -34.2536     -34.2536      0.0000
  QRF01739_BA000039.2           113     -18.3346     -18.3346      0.0000
  QRF01739_AACY023081145.1       53     -28.4815     -28.4815      0.0000
  QRF01739_AFSR01000238.1        99     -28.8427     -28.8427      0.0000
  QRF01739_AGJC01000003.1        76     -34.4570     -34.4570      0.0000
  QRF01739_AFSR01000146.1        92     -31.7923     -31.7923      0.0000
  QRF01739_CACA01000349.1        84     -32.6622     -32.6622      0.0000
  QRF01739_AACY022751187.1       52     -36.1777     -36.1777      0.0000
  QRF01739_AACY022283709.1       52     -36.1777     -36.1777      0.0000
  QRF01739_ABPS01003770.1       123     -21.5311     -21.5311      0.0000
  QRF01739_AFEJ01000345.1        83     -25.0939     -25.0939      0.0000
  QRF00005_CABR01000029.1        73     -28.5625     -28.5625      0.0000
  QRF00005_AFSR01002788.1        74     -21.9639     -21.9639      0.0000
  QRF00005_CP000927.1            72     -24.2063     -24.2063      0.0000
  QRF00005_AY741371.1            72     -23.5447     -23.5447      0.0000
  QRF00005_AEGR01000006.1        73     -28.5625     -28.5625      0.0000
  QRF00005_CP001189.1            73     -27.0845     -27.0845      0.0000
  QRF00005_CP000493.1            72     -25.2049     -25.2049      0.0000
  QRF00005_AP012159.1            73     -27.0845     -27.0845      0.0000
  QRF00005_AM889285.1            73     -27.0845     -27.0845      0.0000
  QRF00005_AGFR01000003.1        73     -24.0115     -24.0115      0.0000
