# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01295.cm
# date:    Sat May 14 02:28:14 2016
# seed:    1463192894
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoU90                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:09.25       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -150.2400    -150.2400      0.0000
  QRF01739_AGJC01000011.1        62    -155.5786    -155.5786      0.0000
  QRF01739_AP012205.1            62    -154.5033    -154.5033      0.0000
  QRF01739_AEPQ01000180.1        85    -140.4041    -140.4041      0.0000
  QRF01739_AACY023065314.1       57    -154.1821    -154.1821      0.0000
  QRF01739_AACY020081009.1       57    -154.1821    -154.1821      0.0000
  QRF01739_ACSK01000180.1        92    -146.9436    -146.9436      0.0000
  QRF01739_BA000039.2           113    -134.2287    -134.2287      0.0000
  QRF01739_AACY023081145.1       53    -161.3513    -161.3513      0.0000
  QRF01739_AFSR01000238.1        99    -141.0586    -141.0586      0.0000
  QRF01739_AGJC01000003.1        76    -148.7058    -148.7058      0.0000
  QRF01739_AFSR01000146.1        92    -149.3460    -149.3460      0.0000
  QRF01739_CACA01000349.1        84    -140.3075    -140.3075      0.0000
  QRF01739_AACY022751187.1       52    -161.5567    -161.5567      0.0000
  QRF01739_AACY022283709.1       52    -161.5567    -161.5567      0.0000
  QRF01739_ABPS01003770.1       123    -132.4590    -132.4590      0.0000
