# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00295.cm
# date:    Sat May 14 01:54:34 2016
# seed:    1463190874
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoTBR7                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:20.36       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.2988     -22.2988      0.0000
  QRF01739_AGJC01000011.1        62     -15.8170     -15.8170      0.0000
  QRF01739_AP012205.1            62     -22.1482     -22.1482      0.0000
  QRF01739_AEPQ01000180.1        85     -12.7371     -12.7371      0.0000
  QRF01739_AACY023065314.1       57     -22.8617     -22.8617      0.0000
  QRF01739_AACY020081009.1       57     -22.8617     -22.8617      0.0000
  QRF01739_ACSK01000180.1        92     -23.0801     -23.0801      0.0000
  QRF01739_BA000039.2           113     -19.0900     -19.0900      0.0000
  QRF01739_AACY023081145.1       53     -27.4277     -27.4277      0.0000
  QRF01739_AFSR01000238.1        99     -16.0985     -16.0985      0.0000
  QRF01739_AGJC01000003.1        76     -20.6441     -20.6441      0.0000
  QRF01739_AFSR01000146.1        92     -21.6702     -21.6702      0.0000
  QRF01739_CACA01000349.1        84     -21.6169     -21.6169      0.0000
  QRF01739_AACY022751187.1       52     -27.9305     -27.9305      0.0000
  QRF01739_AACY022283709.1       52     -27.9305     -27.9305      0.0000
  QRF01739_ABPS01003770.1       123     -11.6566     -11.6566      0.0000
  QRF01739_AFEJ01000345.1        83     -26.9940     -26.9940      0.0000
  QRF00005_CABR01000029.1        73     -27.0364     -27.0364      0.0000
  QRF00005_AFSR01002788.1        74     -23.0659     -23.0659      0.0000
  QRF00005_CP000927.1            72     -21.7923     -21.7923      0.0000
  QRF00005_AY741371.1            72     -24.1370     -24.1370      0.0000
  QRF00005_AEGR01000006.1        73     -24.8442     -24.8442      0.0000
  QRF00005_CP001189.1            73     -22.5852     -22.5852      0.0000
  QRF00005_CP000493.1            72     -29.5558     -29.5558      0.0000
  QRF00005_AP012159.1            73     -22.5852     -22.5852      0.0000
  QRF00005_AM889285.1            73     -22.5852     -22.5852      0.0000
  QRF00005_AGFR01000003.1        73     -27.7077     -27.7077      0.0000
  QRF00005_AFCH01000046.1        73     -22.5852     -22.5852      0.0000
  QRF00005_ADTV01000009.1        73     -22.5852     -22.5852      0.0000
  QRF00005_ABCE01000025.1        73     -19.4236     -19.4236      0.0000
  QRF00005_HM565909.1            72     -22.8170     -22.8170      0.0000
  QRF00005_CAFG01000441.1        73     -26.2598     -26.2598      0.0000
  QRF00005_AACY020656879.1       72     -21.8770     -21.8770      0.0000
  QRF00005_CP001744.1            73     -23.5058     -23.5058      0.0000
  QRF00005_CP000880.1            73     -22.7320     -22.7320      0.0000
  QRF00005_CACD01000012.1        73     -22.7320     -22.7320      0.0000
  QRF00005_CACD01000012.1        73     -22.7320     -22.7320      0.0000
  QRF00005_CACD01000012.1        73     -22.7320     -22.7320      0.0000
  QRF00005_AM849034.1            74     -19.1337     -19.1337      0.0000
  QRF00005_AM711867.1            74     -19.1337     -19.1337      0.0000
  QRF00005_AEQT01000005.1        73     -22.7320     -22.7320      0.0000
  QRF00005_AEQT01000005.1        73     -22.7320     -22.7320      0.0000
  QRF00005_ACDJ01000003.1        73     -22.7320     -22.7320      0.0000
  QRF00005_ABWL02000007.1        73     -22.7320     -22.7320      0.0000
  QRF00005_Z71579.1              73     -28.2106     -28.2106      0.0000
  QRF00005_X53782.1              73     -28.2106     -28.2106      0.0000
  QRF00005_M19391.1              73     -28.2106     -28.2106      0.0000
  QRF00005_M15314.1              73     -28.2106     -28.2106      0.0000
  QRF00005_L42023.1              73     -28.2106     -28.2106      0.0000
  QRF00005_L42023.1              73     -28.2106     -28.2106      0.0000
  QRF00005_L42023.1              73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670204.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670204.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670204.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670178.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670178.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670178.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ670178.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312006.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312006.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312006.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312002.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312002.1            73     -28.2106     -28.2106      0.0000
  QRF00005_FQ312002.1            73     -28.2106     -28.2106      0.0000
  QRF00005_EF196803.1            73     -28.2106     -28.2106      0.0000
  QRF00005_EF196803.1            73     -28.2106     -28.2106      0.0000
  QRF00005_CP003022.1            73     -28.2106     -28.2106      0.0000
  QRF00001_EU093378.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AAAA02047827.1       119     -18.3900     -18.3900      0.0000
  QRF00001_AAAA02043281.1       119     -21.8694     -21.8694      0.0000
  QRF00001_EF064700.1           119     -14.4070     -14.4070      0.0000
  QRF00001_EF064692.1           119     -14.4070     -14.4070      0.0000
  QRF00001_EF064687.1           119     -14.4070     -14.4070      0.0000
  QRF00001_EF064680.1           119     -14.4070     -14.4070      0.0000
  QRF00001_EF064678.1           119     -14.4070     -14.4070      0.0000
  QRF00001_EF064556.1           119     -14.4070     -14.4070      0.0000
  QRF00001_AJ390135.1           119     -14.4070     -14.4070      0.0000
  QRF00001_HQ270965.1           119     -18.3900     -18.3900      0.0000
  QRF00001_GQ324770.1           119     -18.3900     -18.3900      0.0000
  QRF00001_FJ882503.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AF550740.1           119     -18.3900     -18.3900      0.0000
  QRF00001_HQ270648.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU924818.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU093153.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EF524209.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AY316209.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AY034674.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AJ409525.1           119     -18.3900     -18.3900      0.0000
  QRF00001_AF550715.1           119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01010155.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009775.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009775.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009775.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009135.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009119.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01009117.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005845.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005845.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005844.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005841.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005839.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005838.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005838.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005835.1       119     -18.3900     -18.3900      0.0000
  QRF00001_ABXC01005835.1       119     -18.3900     -18.3900      0.0000
  QRF00001_AAAA02039752.1       119     -18.3900     -18.3900      0.0000
  QRF00001_EU925066.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU093209.1           119     -18.3900     -18.3900      0.0000
  QRF00001_U02637.1             119     -18.3900     -18.3900      0.0000
  QRF00001_EU439291.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439286.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439284.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439282.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439280.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439279.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439278.1           119     -18.3900     -18.3900      0.0000
  QRF00001_EU439277.1           119     -18.3900     -18.3900      0.0000
