# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00629.cm
# date:    Sat May 14 03:52:50 2016
# seed:    1463197970
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  P24                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:59.84       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -123.3556    -123.3556      0.0000
  QRF01739_AGJC01000011.1        62    -123.0498    -123.0498      0.0000
  QRF01739_AP012205.1            62    -127.9053    -127.9053      0.0000
  QRF01739_AEPQ01000180.1        85    -112.0773    -112.0773      0.0000
  QRF01739_AACY023065314.1       57    -133.1727    -133.1727      0.0000
  QRF01739_AACY020081009.1       57    -133.1727    -133.1727      0.0000
  QRF01739_ACSK01000180.1        92    -107.7459    -107.7459      0.0000
  QRF01739_BA000039.2           113    -103.1780    -103.1780      0.0000
  QRF01739_AACY023081145.1       53    -136.5869    -136.5869      0.0000
  QRF01739_AFSR01000238.1        99     -97.7349     -97.7349      0.0000
  QRF01739_AGJC01000003.1        76    -117.4335    -117.4335      0.0000
  QRF01739_AFSR01000146.1        92    -105.1837    -105.1837      0.0000
  QRF01739_CACA01000349.1        84    -121.2881    -121.6914      0.4033
  QRF01739_AACY022751187.1       52    -136.7138    -136.7138      0.0000
  QRF01739_AACY022283709.1       52    -136.7138    -136.7138      0.0000
  QRF01739_ABPS01003770.1       123     -88.9215     -88.9215      0.0000
  QRF01739_AFEJ01000345.1        83    -117.0296    -117.0296      0.0000
  QRF00005_CABR01000029.1        73    -121.5337    -121.5337      0.0000
  QRF00005_AFSR01002788.1        74    -118.1672    -118.1672      0.0000
  QRF00005_CP000927.1            72    -121.3153    -121.3153      0.0000
  QRF00005_AY741371.1            72    -122.8906    -122.8906      0.0000
  QRF00005_AEGR01000006.1        73    -118.4463    -118.4463      0.0000
  QRF00005_CP001189.1            73    -122.6490    -122.6490      0.0000
  QRF00005_CP000493.1            72    -120.3527    -120.3527      0.0000
  QRF00005_AP012159.1            73    -122.6490    -122.6490      0.0000
  QRF00005_AM889285.1            73    -122.6490    -122.6490      0.0000
  QRF00005_AGFR01000003.1        73    -120.1085    -120.1085      0.0000
  QRF00005_AFCH01000046.1        73    -122.6490    -122.6490      0.0000
  QRF00005_ADTV01000009.1        73    -122.6490    -122.6490      0.0000
  QRF00005_ABCE01000025.1        73    -118.4827    -119.3307      0.8480
  QRF00005_HM565909.1            72    -122.3334    -122.3334      0.0000
  QRF00005_CAFG01000441.1        73    -116.9962    -116.9962      0.0000
  QRF00005_AACY020656879.1       72    -121.3500    -121.3500      0.0000
  QRF00005_CP001744.1            73    -124.8346    -124.8346      0.0000
  QRF00005_CP000880.1            73    -113.3949    -113.3949      0.0000
  QRF00005_CACD01000012.1        73    -113.3949    -113.3949      0.0000
  QRF00005_CACD01000012.1        73    -113.3949    -113.3949      0.0000
  QRF00005_CACD01000012.1        73    -113.3949    -113.3949      0.0000
  QRF00005_AM849034.1            74    -125.6586    -125.6586      0.0000
  QRF00005_AM711867.1            74    -125.6586    -125.6586      0.0000
  QRF00005_AEQT01000005.1        73    -113.3949    -113.3949      0.0000
  QRF00005_AEQT01000005.1        73    -113.3949    -113.3949      0.0000
  QRF00005_ACDJ01000003.1        73    -113.3949    -113.3949      0.0000
  QRF00005_ABWL02000007.1        73    -113.3949    -113.3949      0.0000
  QRF00005_Z71579.1              73    -120.6308    -120.6308      0.0000
  QRF00005_X53782.1              73    -120.6308    -120.6308      0.0000
  QRF00005_M19391.1              73    -120.6308    -120.6308      0.0000
  QRF00005_M15314.1              73    -120.6308    -120.6308      0.0000
  QRF00005_L42023.1              73    -120.6308    -120.6308      0.0000
  QRF00005_L42023.1              73    -120.6308    -120.6308      0.0000
  QRF00005_L42023.1              73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670204.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670204.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670204.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670178.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670178.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670178.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ670178.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312006.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312006.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312006.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312002.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312002.1            73    -120.6308    -120.6308      0.0000
  QRF00005_FQ312002.1            73    -120.6308    -120.6308      0.0000
  QRF00005_EF196803.1            73    -120.6308    -120.6308      0.0000
  QRF00005_EF196803.1            73    -120.6308    -120.6308      0.0000
