# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00549.cm
# date:    Sun May  8 20:41:54 2016
# seed:    1462714914
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_c-sis                 search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:04.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73    -304.4412    -304.4412      0.0000
  trna_2                         74    -294.8533    -294.8533      0.0000
  trna_3                         73    -301.6591    -301.6591      0.0000
  trna_4                         72    -304.0599    -304.0599      0.0000
  trna_5                         72    -297.6374    -297.6374      0.0000
  trna_6                         73    -295.0568    -295.0568      0.0000
  trna_7                         73    -300.6326    -300.6326      0.0000
  trna_8                         73    -301.7109    -301.7109      0.0000
  trna_9                         73    -302.8961    -302.8961      0.0000
  trna_10                        72    -303.3766    -303.3766      0.0000
  u5_1                          114    -269.6191    -269.6191      0.0000
  u5_2                          116    -273.4644    -273.4644      0.0000
  u5_3                          118    -272.0867    -272.0867      0.0000
  u5_4                          117    -260.3141    -260.3141      0.0000
  u5_5                          107    -273.0648    -273.0648      0.0000
  u5_6                          116    -269.7324    -270.6418      0.9094
  u5_7                          116    -269.9996    -269.9996      0.0000
  u5_8                          126    -262.3192    -262.3192      0.0000
  u5_9                          115    -266.8500    -266.8500      0.0000
  u5_10                         115    -262.4572    -262.4572      0.0000
  rrtWT_uc011zgd.1_2370         100    -275.5060    -275.5060      0.0000
  rrtWT_uc007ino.1_879          100    -274.9439    -274.9439      0.0000
  rrtWT_uc012dtn.1_1041         100    -301.2481    -301.2481      0.0000
  rrtWT_uc007bjr.2_621          100    -281.0325    -281.0325      0.0000
  rrtWT_uc008hom.1_603          100    -280.1112    -280.1112      0.0000
  rrtWT_uc007wki.1_323          100    -279.5922    -279.5922      0.0000
  rrtWT_uc008fec.1_254          100    -279.7766    -279.7766      0.0000
  rrtWT_uc007wxx.1_716          100    -281.5220    -281.5220      0.0000
  rrtWT_uc009qex.2_2789         100    -282.2744    -282.2744      0.0000
  rrtWT_uc007xbv.1_1165         100    -273.9168    -273.9168      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:02.66    1.54        1  0.03333    0.91
#
# CPU time: 6.77u 0.21s 00:00:06.98 Elapsed: 00:00:11
