# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01689.cm
# date:    Tue May 10 02:38:52 2016
# seed:    1462847932
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  AdoCbl-variant             search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.57       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -19.9997     -19.9997      0.0000
  RF00418_AAIY01556911.1        141     -24.7113     -24.7113      0.0000
  RF00418_AAYZ01244227.1        137     -17.8816     -17.8816      0.0000
  RF00418_AF357386.1            126     -23.0749     -23.0749      0.0000
  RF00418_AABR04001620.1        135     -23.4196     -23.4196      0.0000
  RF00418_AAQQ01789110.1        137     -25.4123     -25.4123      0.0000
  RF00418_AJ609450.1            137     -20.9937     -20.9937      0.0000
  RF00418_AL590431.11           136     -23.4465     -23.4465      0.0000
  RF00418_AL049745.9            136     -11.9269     -11.9269      0.0000
  RF00418_ABDC01240840.1        136     -20.5770     -20.5770      0.0000
  RF00418_AAQR01162064.1        136     -22.2696     -22.2696      0.0000
  RF00418_AAEX02026315.1        137     -25.0506     -25.0506      0.0000
  RF00418_AANG01021210.1        136     -20.6462     -20.6462      0.0000
  RF00418_AAFC03027776.1        135     -21.8115     -21.8115      0.0000
  RF00418_AAPE01281662.1        136     -18.0468     -18.0468      0.0000
  RF00418_AALT01368588.1        136     -28.5331     -28.5331      0.0000
  RF00418_AAWR02038694.1        136     -18.0926     -18.0926      0.0000
  RF00418_AAGV020286123.1       137     -20.1714     -20.1714      0.0000
  RF00418_AAFR03052180.1        134     -26.2491     -26.2491      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.51    1.14        0  0.00000    0.00
#
# CPU time: 1.09u 0.01s 00:00:01.10 Elapsed: 00:00:02
