# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00461.cm
# date:    Sat May 14 02:51:36 2016
# seed:    1463194296
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_VEGF_A                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:57.31       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -136.1274    -136.1274      0.0000
  QRF01739_AGJC01000011.1        62    -138.7312    -138.7312      0.0000
  QRF01739_AP012205.1            62    -138.6711    -138.6711      0.0000
  QRF01739_AEPQ01000180.1        85    -128.8306    -128.8306      0.0000
  QRF01739_AACY023065314.1       57    -138.6198    -138.6198      0.0000
  QRF01739_AACY020081009.1       57    -138.6198    -138.6198      0.0000
  QRF01739_ACSK01000180.1        92    -124.8108    -124.8108      0.0000
  QRF01739_BA000039.2           113    -113.2391    -113.2391      0.0000
  QRF01739_AACY023081145.1       53    -145.1436    -145.1436      0.0000
  QRF01739_AFSR01000238.1        99    -121.1221    -121.1221      0.0000
  QRF01739_AGJC01000003.1        76    -135.4454    -135.4454      0.0000
  QRF01739_AFSR01000146.1        92    -123.3530    -123.3530      0.0000
  QRF01739_CACA01000349.1        84    -118.0406    -118.0406      0.0000
  QRF01739_AACY022751187.1       52    -142.7299    -142.7299      0.0000
  QRF01739_AACY022283709.1       52    -142.7299    -142.7299      0.0000
  QRF01739_ABPS01003770.1       123     -99.0906     -99.0906      0.0000
  QRF01739_AFEJ01000345.1        83    -131.1755    -131.1755      0.0000
  QRF00005_CABR01000029.1        73    -127.0271    -127.0271      0.0000
  QRF00005_AFSR01002788.1        74    -125.0766    -125.0766      0.0000
  QRF00005_CP000927.1            72    -129.5711    -129.5711      0.0000
  QRF00005_AY741371.1            72    -128.4006    -128.4006      0.0000
  QRF00005_AEGR01000006.1        73    -127.8170    -127.8170      0.0000
  QRF00005_CP001189.1            73    -119.3205    -119.3205      0.0000
  QRF00005_CP000493.1            72    -130.7315    -130.7315      0.0000
  QRF00005_AP012159.1            73    -119.3205    -119.3205      0.0000
  QRF00005_AM889285.1            73    -119.3205    -119.3205      0.0000
  QRF00005_AGFR01000003.1        73    -124.9398    -124.9398      0.0000
  QRF00005_AFCH01000046.1        73    -119.3205    -119.3205      0.0000
  QRF00005_ADTV01000009.1        73    -119.3205    -119.3205      0.0000
  QRF00005_ABCE01000025.1        73    -129.0438    -129.0438      0.0000
  QRF00005_HM565909.1            72    -130.0443    -130.0443      0.0000
  QRF00005_CAFG01000441.1        73    -124.9302    -124.9302      0.0000
  QRF00005_AACY020656879.1       72    -130.5973    -130.5973      0.0000
  QRF00005_CP001744.1            73    -130.0256    -130.0256      0.0000
  QRF00005_CP000880.1            73    -131.2688    -131.3420      0.0733
  QRF00005_CACD01000012.1        73    -131.2688    -131.3420      0.0733
  QRF00005_CACD01000012.1        73    -131.2688    -131.3420      0.0733
  QRF00005_CACD01000012.1        73    -131.2688    -131.3420      0.0733
  QRF00005_AM849034.1            74    -131.5719    -131.5719      0.0000
  QRF00005_AM711867.1            74    -131.5719    -131.5719      0.0000
  QRF00005_AEQT01000005.1        73    -131.2688    -131.3420      0.0733
  QRF00005_AEQT01000005.1        73    -131.2688    -131.3420      0.0733
  QRF00005_ACDJ01000003.1        73    -131.2688    -131.3420      0.0733
  QRF00005_ABWL02000007.1        73    -131.2688    -131.3420      0.0733
  QRF00005_Z71579.1              73    -125.8742    -125.8742      0.0000
  QRF00005_X53782.1              73    -125.8742    -125.8742      0.0000
  QRF00005_M19391.1              73    -125.8742    -125.8742      0.0000
  QRF00005_M15314.1              73    -125.8742    -125.8742      0.0000
  QRF00005_L42023.1              73    -125.8742    -125.8742      0.0000
  QRF00005_L42023.1              73    -125.8742    -125.8742      0.0000
  QRF00005_L42023.1              73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670204.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670204.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670204.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670178.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670178.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670178.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ670178.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312006.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312006.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312006.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312002.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312002.1            73    -125.8742    -125.8742      0.0000
  QRF00005_FQ312002.1            73    -125.8742    -125.8742      0.0000
  QRF00005_EF196803.1            73    -125.8742    -125.8742      0.0000
  QRF00005_EF196803.1            73    -125.8742    -125.8742      0.0000
  QRF00005_CP003022.1            73    -125.8742    -125.8742      0.0000
  QRF00001_EU093378.1           119    -102.4585    -102.4585      0.0000
  QRF00001_AAAA02047827.1       119    -110.4228    -110.4228      0.0000
