# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01887.cm
# date:    Fri May 13 19:33:37 2016
# seed:    1463168017
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Evf1_1                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:18.20       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -66.0521     -66.0521      0.0000
  QRF01739_AGJC01000011.1        62     -68.3538     -68.3538      0.0000
  QRF01739_AP012205.1            62     -59.1947     -59.1947      0.0000
  QRF01739_AEPQ01000180.1        85     -51.0845     -51.0845      0.0000
  QRF01739_AACY023065314.1       57     -65.2435     -65.2435      0.0000
  QRF01739_AACY020081009.1       57     -65.2435     -65.2435      0.0000
  QRF01739_ACSK01000180.1        92     -58.9948     -59.7132      0.7185
  QRF01739_BA000039.2           113     -44.9635     -44.9635      0.0000
  QRF01739_AACY023081145.1       53     -70.5192     -70.5192      0.0000
  QRF01739_AFSR01000238.1        99     -58.1728     -58.1728      0.0000
  QRF01739_AGJC01000003.1        76     -62.8209     -62.8209      0.0000
  QRF01739_AFSR01000146.1        92     -61.9562     -61.9562      0.0000
  QRF01739_CACA01000349.1        84     -63.7337     -63.7337      0.0000
  QRF01739_AACY022751187.1       52     -67.3099     -67.3099      0.0000
  QRF01739_AACY022283709.1       52     -67.3099     -67.3099      0.0000
  QRF01739_ABPS01003770.1       123     -48.4323     -48.4323      0.0000
  QRF01739_AFEJ01000345.1        83     -55.0362     -55.0362      0.0000
  QRF00005_CABR01000029.1        73     -69.9614     -69.9614      0.0000
  QRF00005_AFSR01002788.1        74     -65.7572     -65.7572      0.0000
  QRF00005_CP000927.1            72     -62.9424     -62.9424      0.0000
  QRF00005_AY741371.1            72     -54.9054     -54.9054      0.0000
  QRF00005_AEGR01000006.1        73     -68.5971     -68.5971      0.0000
  QRF00005_CP001189.1            73     -63.5177     -63.5177      0.0000
  QRF00005_CP000493.1            72     -69.1996     -69.1996      0.0000
  QRF00005_AP012159.1            73     -63.5177     -63.5177      0.0000
  QRF00005_AM889285.1            73     -63.5177     -63.5177      0.0000
  QRF00005_AGFR01000003.1        73     -66.8157     -66.8157      0.0000
  QRF00005_AFCH01000046.1        73     -63.5177     -63.5177      0.0000
  QRF00005_ADTV01000009.1        73     -63.5177     -63.5177      0.0000
  QRF00005_ABCE01000025.1        73     -68.5923     -68.5923      0.0000
  QRF00005_HM565909.1            72     -52.6805     -52.6805      0.0000
  QRF00005_CAFG01000441.1        73     -70.2913     -70.2913      0.0000
  QRF00005_AACY020656879.1       72     -54.5265     -54.5265      0.0000
  QRF00005_CP001744.1            73     -69.6257     -69.6257      0.0000
  QRF00005_CP000880.1            73     -65.1571     -65.1571      0.0000
  QRF00005_CACD01000012.1        73     -65.1571     -65.1571      0.0000
  QRF00005_CACD01000012.1        73     -65.1571     -65.1571      0.0000
  QRF00005_CACD01000012.1        73     -65.1571     -65.1571      0.0000
  QRF00005_AM849034.1            74     -65.1746     -65.1746      0.0000
  QRF00005_AM711867.1            74     -65.1746     -65.1746      0.0000
  QRF00005_AEQT01000005.1        73     -65.1571     -65.1571      0.0000
  QRF00005_AEQT01000005.1        73     -65.1571     -65.1571      0.0000
  QRF00005_ACDJ01000003.1        73     -65.1571     -65.1571      0.0000
  QRF00005_ABWL02000007.1        73     -65.1571     -65.1571      0.0000
  QRF00005_Z71579.1              73     -68.3291     -68.3291      0.0000
  QRF00005_X53782.1              73     -68.3291     -68.3291      0.0000
  QRF00005_M19391.1              73     -68.3291     -68.3291      0.0000
  QRF00005_M15314.1              73     -68.3291     -68.3291      0.0000
  QRF00005_L42023.1              73     -68.3291     -68.3291      0.0000
  QRF00005_L42023.1              73     -68.3291     -68.3291      0.0000
  QRF00005_L42023.1              73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670204.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670204.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670204.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670178.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670178.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670178.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ670178.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312006.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312006.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312006.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312002.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312002.1            73     -68.3291     -68.3291      0.0000
  QRF00005_FQ312002.1            73     -68.3291     -68.3291      0.0000
  QRF00005_EF196803.1            73     -68.3291     -68.3291      0.0000
  QRF00005_EF196803.1            73     -68.3291     -68.3291      0.0000
  QRF00005_CP003022.1            73     -68.3291     -68.3291      0.0000
  QRF00001_EU093378.1           119     -51.0807     -51.0807      0.0000
  QRF00001_AAAA02047827.1       119     -52.6441     -52.6441      0.0000
  QRF00001_AAAA02043281.1       119     -53.6073     -53.6073      0.0000
  QRF00001_EF064700.1           119     -52.8815     -52.8815      0.0000
  QRF00001_EF064692.1           119     -52.8815     -52.8815      0.0000
  QRF00001_EF064687.1           119     -52.8815     -52.8815      0.0000
  QRF00001_EF064680.1           119     -52.8815     -52.8815      0.0000
  QRF00001_EF064678.1           119     -52.8815     -52.8815      0.0000
  QRF00001_EF064556.1           119     -52.8815     -52.8815      0.0000
  QRF00001_AJ390135.1           119     -52.8815     -52.8815      0.0000
  QRF00001_HQ270965.1           119     -52.0032     -52.0032      0.0000
  QRF00001_GQ324770.1           119     -52.0032     -52.0032      0.0000
  QRF00001_FJ882503.1           119     -52.0032     -52.0032      0.0000
  QRF00001_AF550740.1           119     -52.0032     -52.0032      0.0000
  QRF00001_HQ270648.1           119     -51.2764     -51.2764      0.0000
  QRF00001_EU924818.1           119     -51.2764     -51.2764      0.0000
  QRF00001_EU093153.1           119     -51.2764     -51.2764      0.0000
  QRF00001_EF524209.1           119     -51.2764     -51.2764      0.0000
  QRF00001_AY316209.1           119     -51.2764     -51.2764      0.0000
  QRF00001_AY034674.1           119     -51.2764     -51.2764      0.0000
  QRF00001_AJ409525.1           119     -51.2764     -51.2764      0.0000
  QRF00001_AF550715.1           119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01010155.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009775.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009775.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009775.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009135.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009119.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01009117.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01005845.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01005845.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01005844.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01005841.1       119     -51.2764     -51.2764      0.0000
  QRF00001_ABXC01005839.1       119     -51.2764     -51.2764      0.0000
