# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01559.cm
# date:    Sat May 14 03:24:24 2016
# seed:    1463196264
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  DdR1                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:17.55       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.5348     -22.5348      0.0000
  QRF01739_AGJC01000011.1        62     -14.1393     -14.1393      0.0000
  QRF01739_AP012205.1            62     -22.2469     -22.2469      0.0000
  QRF01739_AEPQ01000180.1        85     -11.2948     -11.2948      0.0000
  QRF01739_AACY023065314.1       57     -15.1235     -15.1235      0.0000
  QRF01739_AACY020081009.1       57     -15.1235     -15.1235      0.0000
  QRF01739_ACSK01000180.1        92     -22.7412     -22.7412      0.0000
  QRF01739_BA000039.2           113     -15.3890     -15.3890      0.0000
  QRF01739_AACY023081145.1       53     -27.7450     -27.7450      0.0000
  QRF01739_AFSR01000238.1        99     -23.0602     -23.0602      0.0000
  QRF01739_AGJC01000003.1        76     -20.4766     -20.4766      0.0000
  QRF01739_AFSR01000146.1        92     -25.7377     -25.7377      0.0000
  QRF01739_CACA01000349.1        84     -16.7515     -16.7515      0.0000
  QRF01739_AACY022751187.1       52     -27.0774     -27.0774      0.0000
  QRF01739_AACY022283709.1       52     -27.0774     -27.0774      0.0000
