# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01790.cm
# date:    Fri May 13 23:21:54 2016
# seed:    1463181714
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  htlv_FSE                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:13.28       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.9749     -13.9749      0.0000
  QRF01739_AGJC01000011.1        62     -14.0492     -14.0492      0.0000
  QRF01739_AP012205.1            62     -11.0119     -11.0119      0.0000
  QRF01739_AEPQ01000180.1        85      -4.2438      -4.2438      0.0000
  QRF01739_AACY023065314.1       57     -13.2372     -13.2372      0.0000
  QRF01739_AACY020081009.1       57     -13.2372     -13.2372      0.0000
  QRF01739_ACSK01000180.1        92     -11.2925     -11.2925      0.0000
  QRF01739_BA000039.2           113      -8.1008      -8.1008      0.0000
  QRF01739_AACY023081145.1       53     -13.5396     -13.5396      0.0000
  QRF01739_AFSR01000238.1        99     -13.9967     -13.9967      0.0000
  QRF01739_AGJC01000003.1        76     -10.1660     -10.1660      0.0000
  QRF01739_AFSR01000146.1        92      -6.5263      -6.5263      0.0000
  QRF01739_CACA01000349.1        84     -11.4828     -11.4828      0.0000
  QRF01739_AACY022751187.1       52      -9.8241      -9.8241      0.0000
  QRF01739_AACY022283709.1       52      -9.8241      -9.8241      0.0000
  QRF01739_ABPS01003770.1       123     -10.8599     -10.8599      0.0000
  QRF01739_AFEJ01000345.1        83      -8.4472      -8.4472      0.0000
  QRF00005_CABR01000029.1        73     -11.1071     -11.1071      0.0000
  QRF00005_AFSR01002788.1        74     -12.7514     -12.7514      0.0000
  QRF00005_CP000927.1            72     -10.1620     -10.1620      0.0000
