# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01385.cm
# date:    Sun May  8 20:46:13 2016
# seed:    1462715173
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  isrA                       search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.51       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -45.3940     -45.3940      0.0000
  trna_2                         74     -34.5530     -34.5530      0.0000
  trna_3                         73     -45.9350     -45.9350      0.0000
  trna_4                         72     -44.5393     -44.5393      0.0000
  trna_5                         72     -46.6542     -46.6542      0.0000
  trna_6                         73     -42.3663     -42.3663      0.0000
  trna_7                         73     -48.3796     -48.3796      0.0000
  trna_8                         73     -43.9965     -43.9965      0.0000
  trna_9                         73     -43.6332     -43.6332      0.0000
  trna_10                        72     -45.9926     -45.9926      0.0000
  u5_1                          114     -12.9482     -12.9482      0.0000
  u5_2                          116     -14.2345     -14.2345      0.0000
  u5_3                          118     -24.3004     -24.3004      0.0000
  u5_4                          117     -18.5442     -18.5442      0.0000
  u5_5                          107     -19.7231     -19.7231      0.0000
  u5_6                          116     -24.9306     -24.9306      0.0000
  u5_7                          116     -26.2114     -26.2114      0.0000
  u5_8                          126     -19.5020     -19.5020      0.0000
  u5_9                          115     -20.9578     -20.9578      0.0000
  u5_10                         115     -21.5426     -21.5426      0.0000
  rrtWT_uc011zgd.1_2370         100     -26.4098     -26.4098      0.0000
  rrtWT_uc007ino.1_879          100     -25.4228     -25.4228      0.0000
  rrtWT_uc012dtn.1_1041         100     -32.2304     -32.2304      0.0000
  rrtWT_uc007bjr.2_621          100     -26.2753     -26.2753      0.0000
  rrtWT_uc008hom.1_603          100     -35.6787     -35.6787      0.0000
  rrtWT_uc007wki.1_323          100     -25.8256     -25.8256      0.0000
  rrtWT_uc008fec.1_254          100     -32.3730     -32.3730      0.0000
  rrtWT_uc007wxx.1_716          100     -30.6369     -30.6369      0.0000
  rrtWT_uc009qex.2_2789         100     -27.6620     -27.6620      0.0000
  rrtWT_uc007xbv.1_1165         100     -20.2143     -20.2143      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.60    0.85        0  0.00000    0.00
#
# CPU time: 1.11u 0.01s 00:00:01.12 Elapsed: 00:00:01
