# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00854.cm
# date:    Fri May 13 23:00:08 2016
# seed:    1463180408
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-5                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:29.96       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -12.2061     -12.2061      0.0000
  QRF01739_AGJC01000011.1        62     -11.0128     -11.0128      0.0000
  QRF01739_AP012205.1            62     -13.8864     -13.8864      0.0000
  QRF01739_AEPQ01000180.1        85      -7.0382      -7.0382      0.0000
  QRF01739_AACY023065314.1       57     -11.3721     -11.3721      0.0000
  QRF01739_AACY020081009.1       57     -11.3721     -11.3721      0.0000
  QRF01739_ACSK01000180.1        92     -11.3071     -11.3071      0.0000
  QRF01739_BA000039.2           113      -9.1959      -9.1959      0.0000
  QRF01739_AACY023081145.1       53     -12.7532     -12.7532      0.0000
  QRF01739_AFSR01000238.1        99      -9.0551      -9.0551      0.0000
  QRF01739_AGJC01000003.1        76     -11.2629     -11.2629      0.0000
  QRF01739_AFSR01000146.1        92      -6.9216      -6.9216      0.0000
  QRF01739_CACA01000349.1        84     -14.8462     -14.8462      0.0000
  QRF01739_AACY022751187.1       52     -13.7650     -13.7650      0.0000
  QRF01739_AACY022283709.1       52     -13.7650     -13.7650      0.0000
  QRF01739_ABPS01003770.1       123     -10.2948     -10.2948      0.0000
  QRF01739_AFEJ01000345.1        83      -8.0620      -8.0620      0.0000
  QRF00005_CABR01000029.1        73      -8.1722      -8.1722      0.0000
  QRF00005_AFSR01002788.1        74      -7.4945      -7.4945      0.0000
  QRF00005_CP000927.1            72     -11.0558     -11.0558      0.0000
  QRF00005_AY741371.1            72      -9.2648      -9.2648      0.0000
  QRF00005_AEGR01000006.1        73      -8.4342      -8.4342      0.0000
  QRF00005_CP001189.1            73     -10.1822     -10.1822      0.0000
  QRF00005_CP000493.1            72      -8.9641      -8.9641      0.0000
  QRF00005_AP012159.1            73     -10.1822     -10.1822      0.0000
  QRF00005_AM889285.1            73     -10.1822     -10.1822      0.0000
  QRF00005_AGFR01000003.1        73      -8.9688      -8.9688      0.0000
  QRF00005_AFCH01000046.1        73     -10.1822     -10.1822      0.0000
  QRF00005_ADTV01000009.1        73     -10.1822     -10.1822      0.0000
  QRF00005_ABCE01000025.1        73     -11.4546     -11.4546      0.0000
  QRF00005_HM565909.1            72      -9.1048      -9.1048      0.0000
  QRF00005_CAFG01000441.1        73      -8.4342      -8.4342      0.0000
  QRF00005_AACY020656879.1       72      -9.2648      -9.2648      0.0000
  QRF00005_CP001744.1            73      -5.9760      -5.9760      0.0000
