# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01807.cm
# date:    Sun May  8 20:48:51 2016
# seed:    1462715331
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  GIR1                       search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:01.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -77.6396     -77.6396      0.0000
  trna_2                         74     -79.4978     -79.4978      0.0000
  trna_3                         73     -84.2241     -84.2241      0.0000
  trna_4                         72     -89.4557     -89.4557      0.0000
  trna_5                         72     -80.3314     -80.3314      0.0000
  trna_6                         73     -78.6010     -78.6010      0.0000
  trna_7                         73     -87.5529     -87.5529      0.0000
  trna_8                         73     -83.4401     -83.4401      0.0000
  trna_9                         73     -85.9925     -85.9925      0.0000
  trna_10                        72     -81.6566     -81.6566      0.0000
  u5_1                          114     -56.4108     -56.4108      0.0000
  u5_2                          116     -61.6975     -61.6975      0.0000
  u5_3                          118     -58.8565     -58.8565      0.0000
  u5_4                          117     -57.2410     -57.2410      0.0000
  u5_5                          107     -70.5501     -70.5501      0.0000
  u5_6                          116     -58.1198     -58.1198      0.0000
  u5_7                          116     -52.1524     -52.1524      0.0000
  u5_8                          126     -55.0471     -55.0471      0.0000
  u5_9                          115     -57.2488     -57.2488      0.0000
  u5_10                         115     -61.8936     -61.8936      0.0000
  rrtWT_uc011zgd.1_2370         100     -65.8723     -65.8723      0.0000
  rrtWT_uc007ino.1_879          100     -68.3034     -68.3034      0.0000
  rrtWT_uc012dtn.1_1041         100     -81.2179     -81.2179      0.0000
  rrtWT_uc007bjr.2_621          100     -53.2660     -53.2660      0.0000
  rrtWT_uc008hom.1_603          100     -71.3924     -71.3924      0.0000
  rrtWT_uc007wki.1_323          100     -67.6137     -67.6137      0.0000
  rrtWT_uc008fec.1_254          100     -60.1312     -60.1312      0.0000
  rrtWT_uc007wxx.1_716          100     -70.0821     -70.0821      0.0000
  rrtWT_uc009qex.2_2789         100     -63.1378     -63.1378      0.0000
  rrtWT_uc007xbv.1_1165         100     -73.0296     -73.0296      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.80    1.27        0  0.00000    0.00
#
# CPU time: 1.82u 0.03s 00:00:01.85 Elapsed: 00:00:03
