# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01742.cm
# date:    Sun May  8 20:49:13 2016
# seed:    1462715353
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  lactis-plasmid             search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.49       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -19.9835     -19.9835      0.0000
  trna_2                         74     -16.8448     -16.8448      0.0000
  trna_3                         73     -22.1135     -22.1135      0.0000
  trna_4                         72     -19.7488     -19.7488      0.0000
  trna_5                         72     -21.1642     -21.1642      0.0000
  trna_6                         73     -22.2423     -22.2423      0.0000
  trna_7                         73     -25.4795     -25.4795      0.0000
  trna_8                         73     -23.5581     -23.5581      0.0000
  trna_9                         73     -23.7822     -23.7822      0.0000
  trna_10                        72     -26.3054     -26.3054      0.0000
  u5_1                          114     -15.0603     -15.0603      0.0000
  u5_2                          116     -10.6922     -10.6922      0.0000
  u5_3                          118     -11.4918     -11.4918      0.0000
  u5_4                          117       5.3999       5.3999      0.0000
  u5_5                          107     -20.8852     -20.8852      0.0000
  u5_6                          116     -10.4995     -10.4995      0.0000
  u5_7                          116     -12.2845     -12.2845      0.0000
  u5_8                          126      -9.8096      -9.8096      0.0000
  u5_9                          115     -13.8824     -13.8824      0.0000
  u5_10                         115     -13.9778     -13.9778      0.0000
  rrtWT_uc011zgd.1_2370         100     -20.7809     -20.7809      0.0000
  rrtWT_uc007ino.1_879          100     -10.0624     -10.0624      0.0000
  rrtWT_uc012dtn.1_1041         100     -34.5783     -37.7841      3.2058
  rrtWT_uc007bjr.2_621          100     -14.7366     -14.7366      0.0000
  rrtWT_uc008hom.1_603          100     -31.0631     -31.0631      0.0000
  rrtWT_uc007wki.1_323          100     -19.8304     -19.8304      0.0000
  rrtWT_uc008fec.1_254          100     -19.8106     -19.8106      0.0000
  rrtWT_uc007wxx.1_716          100     -14.6242     -14.6242      0.0000
  rrtWT_uc009qex.2_2789         100     -22.5919     -22.5919      0.0000
  rrtWT_uc007xbv.1_1165         100     -17.1019     -17.1019      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.62    0.79        1  0.03333    3.21
#
# CPU time: 1.11u 0.01s 00:00:01.12 Elapsed: 00:00:02
