# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01623.cm
# date:    Fri May 13 23:36:12 2016
# seed:    1463182572
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ceN23-1                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:40.71       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -30.4479     -30.4479      0.0000
  QRF01739_AGJC01000011.1        62     -28.3959     -28.3959      0.0000
  QRF01739_AP012205.1            62     -17.0922     -17.0922      0.0000
  QRF01739_AEPQ01000180.1        85     -18.0744     -18.0744      0.0000
  QRF01739_AACY023065314.1       57     -25.1592     -25.1592      0.0000
  QRF01739_AACY020081009.1       57     -25.1592     -25.1592      0.0000
  QRF01739_ACSK01000180.1        92     -29.0767     -29.0767      0.0000
  QRF01739_BA000039.2           113     -19.6202     -19.6202      0.0000
  QRF01739_AACY023081145.1       53     -27.1283     -27.1283      0.0000
  QRF01739_AFSR01000238.1        99     -19.3669     -19.3669      0.0000
  QRF01739_AGJC01000003.1        76     -21.6440     -21.6440      0.0000
  QRF01739_AFSR01000146.1        92     -28.6466     -28.6466      0.0000
  QRF01739_CACA01000349.1        84     -28.8295     -29.1239      0.2944
  QRF01739_AACY022751187.1       52     -31.9387     -31.9387      0.0000
  QRF01739_AACY022283709.1       52     -31.9387     -31.9387      0.0000
  QRF01739_ABPS01003770.1       123     -15.8895     -15.8895      0.0000
  QRF01739_AFEJ01000345.1        83     -22.6058     -22.6058      0.0000
  QRF00005_CABR01000029.1        73     -27.3870     -27.3870      0.0000
  QRF00005_AFSR01002788.1        74     -25.0969     -25.0969      0.0000
  QRF00005_CP000927.1            72     -26.9927     -26.9927      0.0000
  QRF00005_AY741371.1            72     -29.1898     -29.1898      0.0000
  QRF00005_AEGR01000006.1        73     -23.6722     -23.6722      0.0000
  QRF00005_CP001189.1            73     -24.3616     -24.3616      0.0000
  QRF00005_CP000493.1            72     -24.5727     -24.5727      0.0000
  QRF00005_AP012159.1            73     -24.3616     -24.3616      0.0000
  QRF00005_AM889285.1            73     -24.3616     -24.3616      0.0000
  QRF00005_AGFR01000003.1        73     -20.6929     -20.6929      0.0000
  QRF00005_AFCH01000046.1        73     -24.3616     -24.3616      0.0000
  QRF00005_ADTV01000009.1        73     -24.3616     -24.3616      0.0000
  QRF00005_ABCE01000025.1        73     -24.7319     -24.7319      0.0000
  QRF00005_HM565909.1            72     -30.3299     -30.4437      0.1137
  QRF00005_CAFG01000441.1        73     -23.6722     -23.6722      0.0000
  QRF00005_AACY020656879.1       72     -30.4437     -30.4437      0.0000
  QRF00005_CP001744.1            73     -20.5419     -20.5419      0.0000
