# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00483.cm
# date:    Fri May 13 19:38:34 2016
# seed:    1463168314
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_IGF2                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:03.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -46.8069     -46.8069      0.0000
  QRF01739_AGJC01000011.1        62     -37.9692     -37.9692      0.0000
  QRF01739_AP012205.1            62     -44.6463     -44.6463      0.0000
  QRF01739_AEPQ01000180.1        85     -33.5567     -33.5567      0.0000
  QRF01739_AACY023065314.1       57     -49.0973     -49.0973      0.0000
  QRF01739_AACY020081009.1       57     -49.0973     -49.0973      0.0000
  QRF01739_ACSK01000180.1        92     -39.0004     -39.0004      0.0000
  QRF01739_BA000039.2           113     -26.7525     -26.7525      0.0000
  QRF01739_AACY023081145.1       53     -49.4364     -49.4364      0.0000
  QRF01739_AFSR01000238.1        99     -36.3759     -36.3759      0.0000
  QRF01739_AGJC01000003.1        76     -35.5870     -35.5870      0.0000
  QRF01739_AFSR01000146.1        92     -38.6735     -38.6735      0.0000
  QRF01739_CACA01000349.1        84     -35.3987     -35.3987      0.0000
  QRF01739_AACY022751187.1       52     -49.9997     -49.9997      0.0000
  QRF01739_AACY022283709.1       52     -49.9997     -49.9997      0.0000
  QRF01739_ABPS01003770.1       123     -21.1207     -21.1207      0.0000
  QRF01739_AFEJ01000345.1        83     -36.1173     -36.1173      0.0000
  QRF00005_CABR01000029.1        73     -42.7739     -42.7739      0.0000
  QRF00005_AFSR01002788.1        74     -41.6030     -41.6030      0.0000
  QRF00005_CP000927.1            72     -42.5417     -42.5417      0.0000
  QRF00005_AY741371.1            72     -43.8152     -43.8152      0.0000
  QRF00005_AEGR01000006.1        73     -40.3935     -40.3935      0.0000
  QRF00005_CP001189.1            73     -38.1510     -38.1510      0.0000
  QRF00005_CP000493.1            72     -39.0373     -39.0373      0.0000
  QRF00005_AP012159.1            73     -38.1510     -38.1510      0.0000
  QRF00005_AM889285.1            73     -38.1510     -38.1510      0.0000
  QRF00005_AGFR01000003.1        73     -38.9688     -38.9688      0.0000
  QRF00005_AFCH01000046.1        73     -38.1510     -38.1510      0.0000
  QRF00005_ADTV01000009.1        73     -38.1510     -38.1510      0.0000
  QRF00005_ABCE01000025.1        73     -41.8166     -41.8166      0.0000
  QRF00005_HM565909.1            72     -43.2849     -43.2849      0.0000
  QRF00005_CAFG01000441.1        73     -42.2347     -42.2347      0.0000
  QRF00005_AACY020656879.1       72     -43.8501     -43.8501      0.0000
  QRF00005_CP001744.1            73     -38.9115     -38.9115      0.0000
  QRF00005_CP000880.1            73     -42.5537     -42.5537      0.0000
  QRF00005_CACD01000012.1        73     -42.5537     -42.5537      0.0000
  QRF00005_CACD01000012.1        73     -42.5537     -42.5537      0.0000
  QRF00005_CACD01000012.1        73     -42.5537     -42.5537      0.0000
  QRF00005_AM849034.1            74     -38.4828     -38.4828      0.0000
  QRF00005_AM711867.1            74     -38.4828     -38.4828      0.0000
  QRF00005_AEQT01000005.1        73     -42.5537     -42.5537      0.0000
  QRF00005_AEQT01000005.1        73     -42.5537     -42.5537      0.0000
  QRF00005_ACDJ01000003.1        73     -42.5537     -42.5537      0.0000
  QRF00005_ABWL02000007.1        73     -42.5537     -42.5537      0.0000
  QRF00005_Z71579.1              73     -39.4991     -39.4991      0.0000
  QRF00005_X53782.1              73     -39.4991     -39.4991      0.0000
  QRF00005_M19391.1              73     -39.4991     -39.4991      0.0000
  QRF00005_M15314.1              73     -39.4991     -39.4991      0.0000
  QRF00005_L42023.1              73     -39.4991     -39.4991      0.0000
  QRF00005_L42023.1              73     -39.4991     -39.4991      0.0000
  QRF00005_L42023.1              73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670204.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670204.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670204.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670178.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670178.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670178.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ670178.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312006.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312006.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312006.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312002.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312002.1            73     -39.4991     -39.4991      0.0000
  QRF00005_FQ312002.1            73     -39.4991     -39.4991      0.0000
  QRF00005_EF196803.1            73     -39.4991     -39.4991      0.0000
  QRF00005_EF196803.1            73     -39.4991     -39.4991      0.0000
  QRF00005_CP003022.1            73     -39.4991     -39.4991      0.0000
  QRF00001_EU093378.1           119     -25.7990     -25.7990      0.0000
  QRF00001_AAAA02047827.1       119     -26.2797     -26.2797      0.0000
  QRF00001_AAAA02043281.1       119     -27.0657     -27.0657      0.0000
  QRF00001_EF064700.1           119     -26.5067     -26.5067      0.0000
  QRF00001_EF064692.1           119     -26.5067     -26.5067      0.0000
  QRF00001_EF064687.1           119     -26.5067     -26.5067      0.0000
  QRF00001_EF064680.1           119     -26.5067     -26.5067      0.0000
  QRF00001_EF064678.1           119     -26.5067     -26.5067      0.0000
  QRF00001_EF064556.1           119     -26.5067     -26.5067      0.0000
  QRF00001_AJ390135.1           119     -26.5067     -26.5067      0.0000
  QRF00001_HQ270965.1           119     -27.7957     -27.7957      0.0000
  QRF00001_GQ324770.1           119     -27.7957     -27.7957      0.0000
  QRF00001_FJ882503.1           119     -27.7957     -27.7957      0.0000
  QRF00001_AF550740.1           119     -27.7957     -27.7957      0.0000
  QRF00001_HQ270648.1           119     -27.7957     -27.7957      0.0000
  QRF00001_EU924818.1           119     -27.7957     -27.7957      0.0000
  QRF00001_EU093153.1           119     -27.7957     -27.7957      0.0000
  QRF00001_EF524209.1           119     -27.7957     -27.7957      0.0000
  QRF00001_AY316209.1           119     -27.7957     -27.7957      0.0000
  QRF00001_AY034674.1           119     -27.7957     -27.7957      0.0000
  QRF00001_AJ409525.1           119     -27.7957     -27.7957      0.0000
  QRF00001_AF550715.1           119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01010155.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009775.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009775.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009775.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009135.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009119.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01009117.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005845.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005845.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005844.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005841.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005839.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005838.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005838.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005835.1       119     -27.7957     -27.7957      0.0000
  QRF00001_ABXC01005835.1       119     -27.7957     -27.7957      0.0000
  QRF00001_AAAA02039752.1       119     -25.4417     -25.4417      0.0000
  QRF00001_EU925066.1           119     -28.8480     -28.8480      0.0000
  QRF00001_EU093209.1           119     -28.8480     -28.8480      0.0000
  QRF00001_U02637.1             119     -26.2797     -26.2797      0.0000
  QRF00001_EU439291.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439286.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439284.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439282.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439280.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439279.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439278.1           119     -26.2797     -26.2797      0.0000
  QRF00001_EU439277.1           119     -26.2797     -26.2797      0.0000
  QRF01704_ACNY01000005.1        62     -40.9668     -40.9668      0.0000
  QRF01704_ADXL01000065.1        61     -41.4253     -41.4253      0.0000
  QRF01704_ADXL01000046.1        61     -40.0553     -40.0553      0.0000
  QRF01704_ADHP01001127.1        63     -33.2487     -33.2487      0.0000
  QRF01704_ADXM01000029.1        71     -34.9010     -34.9010      0.0000
  QRF01704_FJ869257.1            62     -39.5445     -39.5445      0.0000
  QRF01704_BX569692.1            62     -39.5445     -39.5445      0.0000
  QRF01704_AACY023835177.1       64     -40.5030     -40.5030      0.0000
  QRF01704_ACNY01000003.1        61     -39.0933     -39.0933      0.0000
  QRF01704_AACY020212823.1       62     -41.9169     -41.9169      0.0000
  QRF01704_GQ237222.1            58     -35.8796     -35.8796      0.0000
  QRF01704_ADHP01000860.1        64     -39.8223     -39.8223      0.0000
  QRF01704_AACY020313707.1       62     -39.3839     -39.3839      0.0000
  QRF01704_ACDW01000004.1        62     -35.0958     -35.0958      0.0000
  QRF01704_AACY022014507.1       62     -38.7344     -38.7344      0.0000
  QRF01704_ADHP01000878.1        59     -46.8179     -46.8179      0.0000
  QRF01704_AACY022415810.1       58     -45.3761     -45.3761      0.0000
  QRF01704_AACY020575673.1       58     -45.3761     -45.3761      0.0000
  QRF01704_ACNY01000005.1        59     -42.2524     -42.2524      0.0000
  QRF01704_ADHP01000854.1        63     -39.3107     -39.3107      0.0000
  QRF01704_GU936714.1            59     -42.2592     -42.2592      0.0000
