# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00925.cm
# date:    Sat May 14 00:15:21 2016
# seed:    1463184921
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR1027                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:07.20       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -36.2026     -36.2026      0.0000
  QRF01739_AGJC01000011.1        62     -38.8878     -38.8878      0.0000
  QRF01739_AP012205.1            62     -38.2774     -38.2774      0.0000
  QRF01739_AEPQ01000180.1        85     -29.8752     -29.8752      0.0000
  QRF01739_AACY023065314.1       57     -38.2710     -38.2710      0.0000
  QRF01739_AACY020081009.1       57     -38.2710     -38.2710      0.0000
  QRF01739_ACSK01000180.1        92     -29.3561     -29.3561      0.0000
  QRF01739_BA000039.2           113     -32.0464     -32.0464      0.0000
  QRF01739_AACY023081145.1       53     -42.0302     -42.0302      0.0000
  QRF01739_AFSR01000238.1        99     -33.5548     -33.5548      0.0000
  QRF01739_AGJC01000003.1        76     -35.6358     -35.6358      0.0000
  QRF01739_AFSR01000146.1        92     -23.5464     -23.5464      0.0000
  QRF01739_CACA01000349.1        84     -38.8467     -38.8467      0.0000
  QRF01739_AACY022751187.1       52     -39.7800     -39.7800      0.0000
  QRF01739_AACY022283709.1       52     -39.7800     -39.7800      0.0000
  QRF01739_ABPS01003770.1       123     -23.0509     -23.0509      0.0000
  QRF01739_AFEJ01000345.1        83     -32.7484     -32.7484      0.0000
  QRF00005_CABR01000029.1        73     -31.2349     -31.2349      0.0000
  QRF00005_AFSR01002788.1        74     -33.7183     -33.7183      0.0000
  QRF00005_CP000927.1            72     -28.6217     -28.6217      0.0000
  QRF00005_AY741371.1            72     -30.5957     -30.5957      0.0000
  QRF00005_AEGR01000006.1        73     -28.6805     -28.6805      0.0000
  QRF00005_CP001189.1            73     -27.5417     -27.5417      0.0000
  QRF00005_CP000493.1            72     -36.0908     -36.0908      0.0000
  QRF00005_AP012159.1            73     -27.5417     -27.5417      0.0000
  QRF00005_AM889285.1            73     -27.5417     -27.5417      0.0000
  QRF00005_AGFR01000003.1        73     -25.9244     -25.9244      0.0000
  QRF00005_AFCH01000046.1        73     -27.5417     -27.5417      0.0000
  QRF00005_ADTV01000009.1        73     -27.5417     -27.5417      0.0000
  QRF00005_ABCE01000025.1        73     -29.2204     -29.2204      0.0000
  QRF00005_HM565909.1            72     -31.5482     -31.5482      0.0000
  QRF00005_CAFG01000441.1        73     -29.1245     -29.1245      0.0000
  QRF00005_AACY020656879.1       72     -34.7557     -34.7557      0.0000
  QRF00005_CP001744.1            73     -32.4214     -32.4214      0.0000
  QRF00005_CP000880.1            73     -22.5725     -22.5725      0.0000
  QRF00005_CACD01000012.1        73     -22.5725     -22.5725      0.0000
  QRF00005_CACD01000012.1        73     -22.5725     -22.5725      0.0000
  QRF00005_CACD01000012.1        73     -22.5725     -22.5725      0.0000
  QRF00005_AM849034.1            74     -31.5699     -31.5699      0.0000
  QRF00005_AM711867.1            74     -31.5699     -31.5699      0.0000
  QRF00005_AEQT01000005.1        73     -22.5725     -22.5725      0.0000
  QRF00005_AEQT01000005.1        73     -22.5725     -22.5725      0.0000
  QRF00005_ACDJ01000003.1        73     -22.5725     -22.5725      0.0000
  QRF00005_ABWL02000007.1        73     -22.5725     -22.5725      0.0000
  QRF00005_Z71579.1              73     -34.4805     -34.4805      0.0000
  QRF00005_X53782.1              73     -34.4805     -34.4805      0.0000
  QRF00005_M19391.1              73     -34.4805     -34.4805      0.0000
  QRF00005_M15314.1              73     -34.4805     -34.4805      0.0000
  QRF00005_L42023.1              73     -34.4805     -34.4805      0.0000
  QRF00005_L42023.1              73     -34.4805     -34.4805      0.0000
  QRF00005_L42023.1              73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670204.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670204.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670204.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670178.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670178.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670178.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ670178.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312006.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312006.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312006.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312002.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312002.1            73     -34.4805     -34.4805      0.0000
  QRF00005_FQ312002.1            73     -34.4805     -34.4805      0.0000
  QRF00005_EF196803.1            73     -34.4805     -34.4805      0.0000
  QRF00005_EF196803.1            73     -34.4805     -34.4805      0.0000
  QRF00005_CP003022.1            73     -34.4805     -34.4805      0.0000
  QRF00001_EU093378.1           119     -23.0182     -24.6051      1.5870
  QRF00001_AAAA02047827.1       119     -27.6744     -27.6744      0.0000
  QRF00001_AAAA02043281.1       119     -28.6274     -28.6274      0.0000
  QRF00001_EF064700.1           119     -24.4966     -24.4966      0.0000
  QRF00001_EF064692.1           119     -24.4966     -24.4966      0.0000
  QRF00001_EF064687.1           119     -24.4966     -24.4966      0.0000
  QRF00001_EF064680.1           119     -24.4966     -24.4966      0.0000
  QRF00001_EF064678.1           119     -24.4966     -24.4966      0.0000
  QRF00001_EF064556.1           119     -24.4966     -24.4966      0.0000
  QRF00001_AJ390135.1           119     -24.4966     -24.4966      0.0000
  QRF00001_HQ270965.1           119     -27.6744     -27.6744      0.0000
  QRF00001_GQ324770.1           119     -27.6744     -27.6744      0.0000
  QRF00001_FJ882503.1           119     -27.6744     -27.6744      0.0000
  QRF00001_AF550740.1           119     -27.6744     -27.6744      0.0000
  QRF00001_HQ270648.1           119     -26.6890     -26.6890      0.0000
  QRF00001_EU924818.1           119     -26.6890     -26.6890      0.0000
  QRF00001_EU093153.1           119     -26.6890     -26.6890      0.0000
  QRF00001_EF524209.1           119     -26.6890     -26.6890      0.0000
  QRF00001_AY316209.1           119     -26.6890     -26.6890      0.0000
  QRF00001_AY034674.1           119     -26.6890     -26.6890      0.0000
  QRF00001_AJ409525.1           119     -26.6890     -26.6890      0.0000
  QRF00001_AF550715.1           119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01010155.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009775.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009775.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009775.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009135.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009119.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01009117.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005845.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005845.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005844.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005841.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005839.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005838.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005838.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005835.1       119     -26.6890     -26.6890      0.0000
  QRF00001_ABXC01005835.1       119     -26.6890     -26.6890      0.0000
  QRF00001_AAAA02039752.1       119     -27.3506     -27.3506      0.0000
  QRF00001_EU925066.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU093209.1           119     -27.3506     -27.3506      0.0000
  QRF00001_U02637.1             119     -27.3506     -27.3506      0.0000
  QRF00001_EU439291.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439286.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439284.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439282.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439280.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439279.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439278.1           119     -27.3506     -27.3506      0.0000
  QRF00001_EU439277.1           119     -27.3506     -27.3506      0.0000
  QRF01704_ACNY01000005.1        62     -40.9343     -40.9343      0.0000
  QRF01704_ADXL01000065.1        61     -41.4900     -41.4900      0.0000
  QRF01704_ADXL01000046.1        61     -42.8721     -42.8721      0.0000
  QRF01704_ADHP01001127.1        63     -38.5302     -38.5302      0.0000
  QRF01704_ADXM01000029.1        71     -38.1501     -38.1501      0.0000
  QRF01704_FJ869257.1            62     -40.2863     -40.2863      0.0000
  QRF01704_BX569692.1            62     -40.2863     -40.2863      0.0000
  QRF01704_AACY023835177.1       64     -37.4521     -37.4521      0.0000
  QRF01704_ACNY01000003.1        61     -41.5803     -41.5803      0.0000
  QRF01704_AACY020212823.1       62     -37.4976     -37.4976      0.0000
  QRF01704_GQ237222.1            58     -36.9190     -36.9190      0.0000
  QRF01704_ADHP01000860.1        64     -35.2402     -35.2402      0.0000
  QRF01704_AACY020313707.1       62     -38.7462     -38.7462      0.0000
  QRF01704_ACDW01000004.1        62     -39.4664     -39.4664      0.0000
  QRF01704_AACY022014507.1       62     -38.1323     -38.1323      0.0000
  QRF01704_ADHP01000878.1        59     -41.2202     -41.2202      0.0000
  QRF01704_AACY022415810.1       58     -42.4649     -42.4649      0.0000
  QRF01704_AACY020575673.1       58     -42.4649     -42.4649      0.0000
  QRF01704_ACNY01000005.1        59     -35.7242     -35.7242      0.0000
  QRF01704_ADHP01000854.1        63     -33.1023     -33.1023      0.0000
  QRF01704_GU936714.1            59     -43.2038     -43.2038      0.0000
  QRF01704_AACY021622950.1       62     -37.4976     -37.4976      0.0000
  QRF01704_CP000825.1            58     -44.2832     -44.4148      0.1317
  QRF01704_EU795157.1            64     -38.1278     -38.1278      0.0000
  QRF01704_ABVN01004790.1        61     -42.3068     -42.3068      0.0000
  QRF01704_ABMN01086741.1        60     -38.4477     -38.4477      0.0000
  QRF01704_DQ325539.1            60     -38.0654     -38.0654      0.0000
  QRF01704_ACNY01000005.1        62     -39.3107     -39.3107      0.0000
  QRF01704_ACNY01000004.1        60     -38.1339     -38.1339      0.0000
  QRF01704_ABVT01000061.1        57     -44.1641     -44.1641      0.0000
  QRF00023_CP001665.1           363     -16.7149     -16.7149      0.0000
  QRF00023_CP001509.3           363     -16.7149     -16.7149      0.0000
  QRF00023_CP000819.1           363     -16.7149     -16.7149      0.0000
  QRF00023_AM946981.2           363     -16.7149     -16.7149      0.0000
  QRF00023_ADTQ01000184.1       363     -16.7149     -16.7149      0.0000
  QRF00023_ADBT01000188.1       363     -16.7149     -16.7149      0.0000
  QRF00023_FN543093.2           364     -20.6803     -20.6803      0.0000
  QRF00023_AFAG01000033.1       363     -19.3899     -19.3899      0.0000
  QRF00023_AFAF01000014.1       363     -19.3899     -19.3899      0.0000
  QRF00023_ADUS01000034.1       363     -19.3899     -19.3899      0.0000
  QRF00023_U36840.1             363     -19.4839     -19.4839      0.0000
  QRF00023_FN649414.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CU928162.2           363     -19.4839     -19.4839      0.0000
  QRF00023_CU928161.2           363     -19.4839     -19.4839      0.0000
  QRF00023_CU928158.2           363     -19.4839     -19.4839      0.0000
  QRF00023_CU651637.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP003034.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002797.2           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002729.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002516.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002212.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002211.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002185.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP002167.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001969.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001855.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001671.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001637.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001396.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP001383.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP000970.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP000948.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP000802.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP000243.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CP000038.1           363     -19.4839     -19.4839      0.0000
  QRF00023_CAFL01000074.1       363     -19.4839     -19.4839      0.0000
  QRF00023_CADZ01000057.1       363     -19.4839     -19.4839      0.0000
  QRF00023_BAAV01002786.1       363     -19.4839     -19.4839      0.0000
  QRF00023_AP012030.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP010960.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP010958.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP010953.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP009378.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP009240.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AP009048.1           363     -19.4839     -19.4839      0.0000
  QRF00023_AJ304858.2           363     -19.4839     -19.4839      0.0000
  QRF00023_AGTK01000236.1       363     -19.4839     -19.4839      0.0000
  QRF00023_AGTJ01000345.1       363     -19.4839     -19.4839      0.0000
  QRF00023_AGTI01000029.1       363     -19.4839     -19.4839      0.0000
  QRF00023_AGTH01000033.1       363     -19.4839     -19.4839      0.0000
  QRF00010_CP002738.1           351     -14.8968     -14.8968      0.0000
  QRF00010_ABSP01001676.1       350      -7.3749      -7.3749      0.0000
  QRF00010_FO082060.1           365      -7.4239      -7.4239      0.0000
  QRF00010_AFJF01000001.1       394      -5.3036      -5.3036      0.0000
  QRF00010_AEGW02000003.1       350      -8.5179      -8.5179      0.0000
  QRF00010_CP002086.1           354     -22.6302     -22.6302      0.0000
  QRF00010_ACJN02000001.1       533     -10.7476     -10.9971      0.2495
  QRF00010_CP002881.1           360     -20.6539     -20.6539      0.0000
  QRF00010_AFOH01000117.1       345     -18.9053     -18.9053      0.0000
  QRF00010_AACY020185705.1      350     -21.1936     -21.1936      0.0000
  QRF00010_AGSX01000193.1       359     -20.6539     -20.6539      0.0000
  QRF00010_AFWT01000009.1       368      -3.3004      -3.3004      0.0000
  QRF00010_FM209186.1           350     -23.5148     -23.5148      0.0000
  QRF00010_CP002496.1           350     -23.5148     -23.5148      0.0000
  QRF00010_CP000438.1           350     -23.5148     -23.5148      0.0000
  QRF00010_BADP01000198.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AP012280.1           350     -23.5148     -23.5148      0.0000
  QRF00010_AFXK01000001.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AFXJ01000001.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AFXI01000001.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AFNF01000315.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AEVW01000050.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AEVV01000076.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AEEX01000069.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AE004091.2           350     -23.5148     -23.5148      0.0000
  QRF00010_ACWU01000204.1       350     -23.5148     -23.5148      0.0000
  QRF00010_ABKZ01000485.1       350     -23.5148     -23.5148      0.0000
  QRF00010_CP002622.1           360     -20.6539     -20.6539      0.0000
  QRF00010_ABYY01000008.1       344     -14.4236     -14.4236      0.0000
  QRF00010_AACY020062040.1      355     -20.4574     -20.4574      0.0000
  QRF00010_AACY023745699.1      347     -23.0388     -23.0388      0.0000
  QRF00010_AGTR01000084.1       350     -18.0085     -18.0085      0.0000
  QRF00010_CP000937.1           344     -14.4236     -14.4236      0.0000
  QRF00010_ACKY01000130.1       336     -16.5850     -16.5850      0.0000
  QRF00010_AAQW01000001.1       350     -23.5148     -23.5148      0.0000
  QRF00010_AFZB01000010.1       349      -8.8326      -8.8326      0.0000
  QRF00010_AFOC01000030.1       349      -8.8326      -8.8326      0.0000
  QRF00010_ABSG01000028.1       354     -22.8426     -22.8426      0.0000
  QRF00010_ABSP01006958.1       367     -12.1729     -12.1729      0.0000
  QRF00010_CP000744.1           350     -20.2653     -20.2653      0.0000
  QRF00010_CP001978.1           350     -19.5513     -19.5513      0.0000
  QRF00010_AP011529.1           404       2.7581       2.7581      0.0000
  QRF00010_AGBG01000003.1       351     -21.2031     -21.2031      0.0000
  QRF00010_CR628336.1           373     -15.7368     -15.7368      0.0000
  QRF00010_CP001649.1           366     -19.2571     -21.1394      1.8823
  QRF00010_CP002870.1           360     -19.9642     -21.6471      1.6829
  QRF00010_AFFX01000011.1       358     -17.6272     -17.6272      0.0000
  QRF00010_CP002727.1           350     -17.6272     -17.6272      0.0000
  QRF00010_CP001798.1           351     -18.4272     -18.4272      0.0000
  QRF00010_AATN01000057.1       365     -17.5525     -17.5525      0.0000
  QRF01695_CP001875.2            88     -40.8968     -40.8968      0.0000
  QRF01695_AEAF01000460.1        87     -32.2285     -32.2285      0.0000
  QRF01695_AGAS01001096.1        87     -33.2559     -33.2559      0.0000
  QRF01695_AEAI01001819.1        87     -33.2559     -33.2559      0.0000
  QRF01695_AEAI01000880.1        87     -33.2559     -33.2559      0.0000
  QRF01695_ADMI01000085.1        87     -33.2559     -33.2559      0.0000
  QRF01695_BAEF01000009.1        88     -40.0382     -40.0382      0.0000
  QRF01695_AFTG01000340.1        87     -30.9048     -30.9048      0.0000
  QRF01695_HM236454.1            88     -40.5473     -40.5473      0.0000
  QRF01695_AM181176.4            87     -34.6480     -34.6480      0.0000
  QRF01695_AGFS01032870.1        87     -32.7353     -32.7353      0.0000
  QRF01695_AGCS01000002.1        87     -32.7972     -32.7972      0.0000
  QRF01695_AGCS01000002.1        87     -35.8295     -35.8295      0.0000
  QRF01695_CP002154.1            87     -35.2209     -35.2209      0.0000
  QRF01695_AEDL01000013.1        88     -36.6797     -36.6797      0.0000
  QRF01695_AGFS01106545.1        85     -31.7461     -31.7461      0.0000
  QRF01695_AGFS01092185.1        85     -31.7461     -31.7461      0.0000
  QRF01695_AFTG01000021.1        87     -34.6285     -34.6285      0.0000
  QRF01695_AM181176.4            87     -33.4322     -33.4322      0.0000
  QRF01695_HM752578.1            87     -30.4340     -30.4340      0.0000
  QRF01695_AGCS01000012.1        87     -31.0228     -31.0228      0.0000
