# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00052.cm
# date:    Sat May 14 03:18:44 2016
# seed:    1463195924
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  lin-4                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:27.50       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -17.8528     -17.8528      0.0000
  QRF01739_AGJC01000011.1        62     -16.3486     -16.3486      0.0000
  QRF01739_AP012205.1            62     -14.8658     -14.8658      0.0000
  QRF01739_AEPQ01000180.1        85      -7.8697      -7.8697      0.0000
  QRF01739_AACY023065314.1       57     -10.8757     -10.8757      0.0000
  QRF01739_AACY020081009.1       57     -10.8757     -10.8757      0.0000
  QRF01739_ACSK01000180.1        92      -8.2946      -8.2946      0.0000
  QRF01739_BA000039.2           113      -5.3715      -5.3715      0.0000
  QRF01739_AACY023081145.1       53     -13.4891     -13.4891      0.0000
  QRF01739_AFSR01000238.1        99     -11.0126     -11.0126      0.0000
  QRF01739_AGJC01000003.1        76      -6.1640      -6.1640      0.0000
  QRF01739_AFSR01000146.1        92       9.3144       9.3144      0.0000
  QRF01739_CACA01000349.1        84     -13.6742     -13.6742      0.0000
  QRF01739_AACY022751187.1       52     -12.7816     -12.7816      0.0000
  QRF01739_AACY022283709.1       52     -12.7816     -12.7816      0.0000
  QRF01739_ABPS01003770.1       123     -11.1755     -11.1755      0.0000
  QRF01739_AFEJ01000345.1        83      -4.3184      -4.3184      0.0000
  QRF00005_CABR01000029.1        73     -12.7302     -12.7302      0.0000
