# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00183.cm
# date:    Fri May 13 22:53:05 2016
# seed:    1463179985
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  G-CSF_SLDE                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:45.72       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.3904     -20.3904      0.0000
  QRF01739_AGJC01000011.1        62     -20.7602     -20.7602      0.0000
  QRF01739_AP012205.1            62     -23.9239     -23.9239      0.0000
  QRF01739_AEPQ01000180.1        85     -22.5092     -22.5092      0.0000
  QRF01739_AACY023065314.1       57     -28.2613     -28.2613      0.0000
  QRF01739_AACY020081009.1       57     -28.2613     -28.2613      0.0000
  QRF01739_ACSK01000180.1        92     -17.6661     -17.6661      0.0000
  QRF01739_BA000039.2           113     -15.1461     -15.1461      0.0000
  QRF01739_AACY023081145.1       53     -25.5678     -25.5678      0.0000
  QRF01739_AFSR01000238.1        99     -23.7462     -23.7462      0.0000
  QRF01739_AGJC01000003.1        76     -18.8837     -18.8837      0.0000
  QRF01739_AFSR01000146.1        92     -15.8535     -15.8535      0.0000
  QRF01739_CACA01000349.1        84     -18.3254     -18.3254      0.0000
  QRF01739_AACY022751187.1       52     -23.7916     -23.7916      0.0000
  QRF01739_AACY022283709.1       52     -23.7916     -23.7916      0.0000
  QRF01739_ABPS01003770.1       123      -8.4276      -8.4276      0.0000
  QRF01739_AFEJ01000345.1        83     -24.4572     -24.4572      0.0000
  QRF00005_CABR01000029.1        73     -25.7921     -25.7921      0.0000
  QRF00005_AFSR01002788.1        74     -20.4622     -20.4622      0.0000
  QRF00005_CP000927.1            72     -18.4505     -18.4505      0.0000
  QRF00005_AY741371.1            72     -21.1963     -21.1963      0.0000
  QRF00005_AEGR01000006.1        73     -26.4433     -26.4433      0.0000
  QRF00005_CP001189.1            73     -22.3663     -22.3663      0.0000
  QRF00005_CP000493.1            72     -23.7378     -23.7378      0.0000
  QRF00005_AP012159.1            73     -22.3663     -22.3663      0.0000
