# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00016.cm
# date:    Sat May 14 03:04:38 2016
# seed:    1463195078
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORD14                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:41.84       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -34.4574     -34.4574      0.0000
  QRF01739_AGJC01000011.1        62     -31.3238     -31.3238      0.0000
  QRF01739_AP012205.1            62     -25.2562     -25.2562      0.0000
  QRF01739_AEPQ01000180.1        85     -24.0392     -24.0392      0.0000
  QRF01739_AACY023065314.1       57     -33.1382     -33.1382      0.0000
  QRF01739_AACY020081009.1       57     -33.1382     -33.1382      0.0000
  QRF01739_ACSK01000180.1        92     -25.2625     -25.2625      0.0000
  QRF01739_BA000039.2           113     -19.6273     -19.6273      0.0000
  QRF01739_AACY023081145.1       53     -39.1779     -39.1779      0.0000
  QRF01739_AFSR01000238.1        99     -29.3270     -29.3270      0.0000
  QRF01739_AGJC01000003.1        76     -21.7909     -21.7909      0.0000
  QRF01739_AFSR01000146.1        92     -25.3491     -25.3491      0.0000
  QRF01739_CACA01000349.1        84     -25.5874     -25.5874      0.0000
  QRF01739_AACY022751187.1       52     -40.8060     -40.8060      0.0000
  QRF01739_AACY022283709.1       52     -40.8060     -40.8060      0.0000
  QRF01739_ABPS01003770.1       123     -23.2209     -23.2209      0.0000
  QRF01739_AFEJ01000345.1        83     -24.1985     -24.1985      0.0000
  QRF00005_CABR01000029.1        73     -36.5309     -36.5309      0.0000
  QRF00005_AFSR01002788.1        74     -35.4748     -35.4748      0.0000
  QRF00005_CP000927.1            72     -27.1773     -27.1773      0.0000
  QRF00005_AY741371.1            72     -32.6586     -32.6586      0.0000
  QRF00005_AEGR01000006.1        73     -30.0800     -30.0800      0.0000
  QRF00005_CP001189.1            73     -27.0622     -27.0622      0.0000
  QRF00005_CP000493.1            72     -35.3990     -35.3990      0.0000
  QRF00005_AP012159.1            73     -27.0622     -27.0622      0.0000
  QRF00005_AM889285.1            73     -27.0622     -27.0622      0.0000
  QRF00005_AGFR01000003.1        73     -23.2785     -23.2785      0.0000
  QRF00005_AFCH01000046.1        73     -27.0622     -27.0622      0.0000
  QRF00005_ADTV01000009.1        73     -27.0622     -27.0622      0.0000
  QRF00005_ABCE01000025.1        73     -25.1869     -25.1869      0.0000
  QRF00005_HM565909.1            72     -29.7126     -29.7126      0.0000
  QRF00005_CAFG01000441.1        73     -29.9730     -29.9730      0.0000
  QRF00005_AACY020656879.1       72     -29.9216     -29.9216      0.0000
  QRF00005_CP001744.1            73     -29.2305     -29.2305      0.0000
  QRF00005_CP000880.1            73     -27.8699     -27.8699      0.0000
  QRF00005_CACD01000012.1        73     -27.8699     -27.8699      0.0000
  QRF00005_CACD01000012.1        73     -27.8699     -27.8699      0.0000
