# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01503.cm
# date:    Sat May 14 03:27:23 2016
# seed:    1463196443
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Afu_203                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:53.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.1284     -31.1284      0.0000
  QRF01739_AGJC01000011.1        62     -29.1562     -29.1562      0.0000
  QRF01739_AP012205.1            62     -22.3724     -22.3724      0.0000
  QRF01739_AEPQ01000180.1        85     -23.2950     -23.2950      0.0000
  QRF01739_AACY023065314.1       57     -29.9695     -29.9695      0.0000
  QRF01739_AACY020081009.1       57     -29.9695     -29.9695      0.0000
  QRF01739_ACSK01000180.1        92     -24.4869     -25.1102      0.6233
  QRF01739_BA000039.2           113     -26.4543     -26.4543      0.0000
  QRF01739_AACY023081145.1       53     -35.1316     -35.1316      0.0000
  QRF01739_AFSR01000238.1        99     -25.3269     -25.8583      0.5314
  QRF01739_AGJC01000003.1        76     -26.2242     -26.2242      0.0000
  QRF01739_AFSR01000146.1        92     -22.2892     -22.2892      0.0000
  QRF01739_CACA01000349.1        84     -25.9591     -25.9591      0.0000
  QRF01739_AACY022751187.1       52     -34.4454     -34.4454      0.0000
  QRF01739_AACY022283709.1       52     -34.4454     -34.4454      0.0000
  QRF01739_ABPS01003770.1       123     -23.3393     -23.3393      0.0000
  QRF01739_AFEJ01000345.1        83     -26.6281     -26.6281      0.0000
  QRF00005_CABR01000029.1        73     -24.6529     -24.6529      0.0000
  QRF00005_AFSR01002788.1        74     -23.5533     -23.5533      0.0000
  QRF00005_CP000927.1            72     -17.2037     -17.2037      0.0000
  QRF00005_AY741371.1            72     -20.2489     -20.2489      0.0000
  QRF00005_AEGR01000006.1        73     -26.4281     -26.4281      0.0000
  QRF00005_CP001189.1            73     -20.6640     -20.6640      0.0000
  QRF00005_CP000493.1            72     -25.7054     -25.7054      0.0000
  QRF00005_AP012159.1            73     -20.6640     -20.6640      0.0000
  QRF00005_AM889285.1            73     -20.6640     -20.6640      0.0000
  QRF00005_AGFR01000003.1        73     -21.8535     -21.8535      0.0000
  QRF00005_AFCH01000046.1        73     -20.6640     -20.6640      0.0000
  QRF00005_ADTV01000009.1        73     -20.6640     -20.6640      0.0000
  QRF00005_ABCE01000025.1        73     -23.5569     -23.5569      0.0000
  QRF00005_HM565909.1            72     -23.9573     -23.9573      0.0000
  QRF00005_CAFG01000441.1        73     -24.4291     -24.4291      0.0000
  QRF00005_AACY020656879.1       72     -24.3547     -24.3547      0.0000
  QRF00005_CP001744.1            73     -25.5849     -25.5849      0.0000
  QRF00005_CP000880.1            73     -25.3464     -25.3464      0.0000
  QRF00005_CACD01000012.1        73     -25.3464     -25.3464      0.0000
  QRF00005_CACD01000012.1        73     -25.3464     -25.3464      0.0000
  QRF00005_CACD01000012.1        73     -25.3464     -25.3464      0.0000
