# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01831.cm
# date:    Sat May 14 03:09:43 2016
# seed:    1463195383
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  THF                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:49.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.0620     -20.0620      0.0000
  QRF01739_AGJC01000011.1        62     -19.6843     -19.6843      0.0000
  QRF01739_AP012205.1            62     -17.5525     -17.5525      0.0000
  QRF01739_AEPQ01000180.1        85      -9.4481      -9.4481      0.0000
  QRF01739_AACY023065314.1       57     -18.1168     -18.1168      0.0000
  QRF01739_AACY020081009.1       57     -18.1168     -18.1168      0.0000
  QRF01739_ACSK01000180.1        92     -15.6793     -15.6793      0.0000
  QRF01739_BA000039.2           113     -13.2561     -13.2561      0.0000
  QRF01739_AACY023081145.1       53     -19.3032     -19.3032      0.0000
  QRF01739_AFSR01000238.1        99      -8.2973      -8.2973      0.0000
  QRF01739_AGJC01000003.1        76     -14.3829     -14.3829      0.0000
  QRF01739_AFSR01000146.1        92     -19.6555     -19.6555      0.0000
  QRF01739_CACA01000349.1        84     -15.8067     -15.8067      0.0000
  QRF01739_AACY022751187.1       52     -15.7515     -15.7515      0.0000
  QRF01739_AACY022283709.1       52     -15.7515     -15.7515      0.0000
  QRF01739_ABPS01003770.1       123     -20.6263     -20.6263      0.0000
  QRF01739_AFEJ01000345.1        83     -12.5478     -12.5478      0.0000
  QRF00005_CABR01000029.1        73     -16.2545     -16.2545      0.0000
  QRF00005_AFSR01002788.1        74     -12.4311     -12.4311      0.0000
  QRF00005_CP000927.1            72     -17.3275     -17.3275      0.0000
  QRF00005_AY741371.1            72     -20.0178     -20.0178      0.0000
  QRF00005_AEGR01000006.1        73     -13.3861     -13.3861      0.0000
  QRF00005_CP001189.1            73     -18.2972     -18.2972      0.0000
  QRF00005_CP000493.1            72     -13.3122     -13.3122      0.0000
  QRF00005_AP012159.1            73     -18.2972     -18.2972      0.0000
  QRF00005_AM889285.1            73     -18.2972     -18.2972      0.0000
  QRF00005_AGFR01000003.1        73     -16.1042     -16.1042      0.0000
  QRF00005_AFCH01000046.1        73     -18.2972     -18.2972      0.0000
  QRF00005_ADTV01000009.1        73     -18.2972     -18.2972      0.0000
  QRF00005_ABCE01000025.1        73     -11.1419     -11.1419      0.0000
  QRF00005_HM565909.1            72     -21.0345     -21.0345      0.0000
  QRF00005_CAFG01000441.1        73     -16.4131     -16.4131      0.0000
  QRF00005_AACY020656879.1       72     -19.4214     -19.4214      0.0000
  QRF00005_CP001744.1            73      -8.2237      -8.2237      0.0000
  QRF00005_CP000880.1            73     -13.4171     -13.4171      0.0000
  QRF00005_CACD01000012.1        73     -13.4171     -13.4171      0.0000
  QRF00005_CACD01000012.1        73     -13.4171     -13.4171      0.0000
  QRF00005_CACD01000012.1        73     -13.4171     -13.4171      0.0000
  QRF00005_AM849034.1            74     -18.6538     -18.6538      0.0000
  QRF00005_AM711867.1            74     -18.6538     -18.6538      0.0000
  QRF00005_AEQT01000005.1        73     -13.4171     -13.4171      0.0000
  QRF00005_AEQT01000005.1        73     -13.4171     -13.4171      0.0000
  QRF00005_ACDJ01000003.1        73     -13.4171     -13.4171      0.0000
  QRF00005_ABWL02000007.1        73     -13.4171     -13.4171      0.0000
  QRF00005_Z71579.1              73     -16.5752     -16.5752      0.0000
  QRF00005_X53782.1              73     -16.5752     -16.5752      0.0000
  QRF00005_M19391.1              73     -16.5752     -16.5752      0.0000
  QRF00005_M15314.1              73     -16.5752     -16.5752      0.0000
  QRF00005_L42023.1              73     -16.5752     -16.5752      0.0000
  QRF00005_L42023.1              73     -16.5752     -16.5752      0.0000
  QRF00005_L42023.1              73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670204.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670204.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670204.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670178.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670178.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670178.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ670178.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312006.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312006.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312006.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312002.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312002.1            73     -16.5752     -16.5752      0.0000
  QRF00005_FQ312002.1            73     -16.5752     -16.5752      0.0000
  QRF00005_EF196803.1            73     -16.5752     -16.5752      0.0000
  QRF00005_EF196803.1            73     -16.5752     -16.5752      0.0000
  QRF00005_CP003022.1            73     -16.5752     -16.5752      0.0000
  QRF00001_EU093378.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AAAA02047827.1       119     -10.7860     -10.7860      0.0000
  QRF00001_AAAA02043281.1       119      -8.5113      -8.5113      0.0000
  QRF00001_EF064700.1           119      -9.2824      -9.2824      0.0000
  QRF00001_EF064692.1           119      -9.2824      -9.2824      0.0000
  QRF00001_EF064687.1           119      -9.2824      -9.2824      0.0000
  QRF00001_EF064680.1           119      -9.2824      -9.2824      0.0000
  QRF00001_EF064678.1           119      -9.2824      -9.2824      0.0000
  QRF00001_EF064556.1           119      -9.2824      -9.2824      0.0000
  QRF00001_AJ390135.1           119      -9.2824      -9.2824      0.0000
  QRF00001_HQ270965.1           119     -10.7860     -10.7860      0.0000
  QRF00001_GQ324770.1           119     -10.7860     -10.7860      0.0000
  QRF00001_FJ882503.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AF550740.1           119     -10.7860     -10.7860      0.0000
  QRF00001_HQ270648.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU924818.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU093153.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EF524209.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AY316209.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AY034674.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AJ409525.1           119     -10.7860     -10.7860      0.0000
  QRF00001_AF550715.1           119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01010155.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009775.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009775.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009775.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009135.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009119.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01009117.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005845.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005845.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005844.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005841.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005839.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005838.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005838.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005835.1       119     -10.7860     -10.7860      0.0000
  QRF00001_ABXC01005835.1       119     -10.7860     -10.7860      0.0000
  QRF00001_AAAA02039752.1       119     -11.7685     -11.7685      0.0000
  QRF00001_EU925066.1           119     -11.7685     -11.7685      0.0000
  QRF00001_EU093209.1           119     -11.7685     -11.7685      0.0000
  QRF00001_U02637.1             119     -10.7860     -10.7860      0.0000
  QRF00001_EU439291.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439286.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439284.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439282.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439280.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439279.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439278.1           119     -10.7860     -10.7860      0.0000
  QRF00001_EU439277.1           119     -10.7860     -10.7860      0.0000
  QRF01704_ACNY01000005.1        62     -24.0894     -24.0894      0.0000
  QRF01704_ADXL01000065.1        61     -23.9563     -23.9563      0.0000
  QRF01704_ADXL01000046.1        61     -20.8753     -20.8753      0.0000
  QRF01704_ADHP01001127.1        63     -25.5372     -25.5372      0.0000
  QRF01704_ADXM01000029.1        71     -23.8892     -23.8892      0.0000
  QRF01704_FJ869257.1            62     -28.9043     -28.9043      0.0000
  QRF01704_BX569692.1            62     -28.9043     -28.9043      0.0000
  QRF01704_AACY023835177.1       64     -23.2447     -23.2447      0.0000
  QRF01704_ACNY01000003.1        61     -25.2831     -25.2831      0.0000
  QRF01704_AACY020212823.1       62     -23.2032     -23.2032      0.0000
  QRF01704_GQ237222.1            58     -27.4822     -27.4822      0.0000
  QRF01704_ADHP01000860.1        64     -28.4063     -28.4063      0.0000
  QRF01704_AACY020313707.1       62     -22.2463     -22.2463      0.0000
  QRF01704_ACDW01000004.1        62     -24.0842     -24.0842      0.0000
  QRF01704_AACY022014507.1       62     -23.6862     -23.6862      0.0000
  QRF01704_ADHP01000878.1        59     -27.1728     -27.1728      0.0000
  QRF01704_AACY022415810.1       58     -25.2174     -25.2174      0.0000
  QRF01704_AACY020575673.1       58     -25.2174     -25.2174      0.0000
  QRF01704_ACNY01000005.1        59     -28.7016     -28.7016      0.0000
  QRF01704_ADHP01000854.1        63     -26.6059     -26.6059      0.0000
  QRF01704_GU936714.1            59     -25.0119     -25.0119      0.0000
  QRF01704_AACY021622950.1       62     -21.9385     -21.9385      0.0000
  QRF01704_CP000825.1            58     -25.6684     -25.6684      0.0000
  QRF01704_EU795157.1            64     -26.9451     -26.9451      0.0000
  QRF01704_ABVN01004790.1        61     -28.3028     -28.3028      0.0000
  QRF01704_ABMN01086741.1        60     -23.7664     -23.7664      0.0000
  QRF01704_DQ325539.1            60     -26.5890     -26.5890      0.0000
  QRF01704_ACNY01000005.1        62     -22.3994     -22.3994      0.0000
  QRF01704_ACNY01000004.1        60     -25.6866     -25.6866      0.0000
  QRF01704_ABVT01000061.1        57     -23.9662     -23.9662      0.0000
  QRF00023_CP001665.1           363     -11.1627     -11.1627      0.0000
  QRF00023_CP001509.3           363     -11.1627     -11.1627      0.0000
  QRF00023_CP000819.1           363     -11.1627     -11.1627      0.0000
  QRF00023_AM946981.2           363     -11.1627     -11.1627      0.0000
  QRF00023_ADTQ01000184.1       363     -11.1627     -11.1627      0.0000
  QRF00023_ADBT01000188.1       363     -11.1627     -11.1627      0.0000
  QRF00023_FN543093.2           364      -7.5362      -7.5362      0.0000
  QRF00023_AFAG01000033.1       363     -11.1627     -11.1627      0.0000
  QRF00023_AFAF01000014.1       363     -11.1627     -11.1627      0.0000
  QRF00023_ADUS01000034.1       363     -11.1627     -11.1627      0.0000
  QRF00023_U36840.1             363     -11.1627     -11.1627      0.0000
  QRF00023_FN649414.1           363     -11.1627     -11.1627      0.0000
  QRF00023_CU928162.2           363     -11.1627     -11.1627      0.0000
  QRF00023_CU928161.2           363     -11.1627     -11.1627      0.0000
  QRF00023_CU928158.2           363     -11.1627     -11.1627      0.0000
