# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01773.cm
# date:    Sun May  8 20:50:05 2016
# seed:    1462715405
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rpsL_psuedo                search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.49       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -35.2910     -35.2910      0.0000
  trna_2                         74     -36.1325     -36.1325      0.0000
  trna_3                         73     -40.2155     -40.2155      0.0000
  trna_4                         72     -43.4691     -43.4691      0.0000
  trna_5                         72     -39.7168     -39.7168      0.0000
  trna_6                         73     -38.1711     -38.1711      0.0000
  trna_7                         73     -29.1667     -29.1667      0.0000
  trna_8                         73     -37.1199     -37.1199      0.0000
  trna_9                         73     -41.6601     -41.6601      0.0000
  trna_10                        72     -46.3319     -46.3319      0.0000
  u5_1                          114     -24.4545     -24.4545      0.0000
  u5_2                          116     -30.1445     -30.1445      0.0000
  u5_3                          118     -26.3675     -26.3675      0.0000
  u5_4                          117     -23.1946     -23.1946      0.0000
  u5_5                          107     -21.9711     -21.9711      0.0000
  u5_6                          116     -18.7091     -18.7091      0.0000
  u5_7                          116     -29.6402     -30.8555      1.2153
  u5_8                          126     -27.1580     -27.1580      0.0000
  u5_9                          115     -26.1022     -27.8104      1.7082
  u5_10                         115     -22.1323     -22.1323      0.0000
  rrtWT_uc011zgd.1_2370         100     -32.1572     -32.1572      0.0000
  rrtWT_uc007ino.1_879          100     -24.7751     -24.7751      0.0000
  rrtWT_uc012dtn.1_1041         100     -30.3329     -30.3329      0.0000
  rrtWT_uc007bjr.2_621          100     -29.3170     -29.3170      0.0000
  rrtWT_uc008hom.1_603          100     -31.7358     -31.7358      0.0000
  rrtWT_uc007wki.1_323          100     -36.3686     -36.3686      0.0000
  rrtWT_uc008fec.1_254          100     -31.2957     -31.2957      0.0000
  rrtWT_uc007wxx.1_716          100     -28.2453     -34.0516      5.8063
  rrtWT_uc009qex.2_2789         100     -24.3980     -26.3994      2.0014
  rrtWT_uc007xbv.1_1165         100     -26.9147     -26.9147      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.50    0.98        4  0.13333    2.68
#
# CPU time: 0.99u 0.01s 00:00:01.00 Elapsed: 00:00:02
