ClustID	SigLvl	Count	MFE	AvgDist	Members
1335	**	22	-	0.00	QRF00011_ACHK01000105.1,QRF00011_ACIX01000012.1,QRF00011_ACOC01000019.1,QRF00011_ACOX02000001.1,QRF00011_ADKN01000062.1,QRF00011_AEBB01000010.1,QRF00011_AEBD01000013.1,QRF00011_AEBE01000097.1,QRF00011_AEBF01000020.1,QRF00011_AEBH01000009.1,QRF00011_AEBI01000009.1,QRF00011_AEBJ01000024.1,QRF00011_AEBK01000019.1,QRF00011_AEBL01000020.1,QRF00011_AEBM01000063.1,QRF00011_AEBN01000011.1,QRF00011_AEBO01000064.1,QRF00011_AEBP01000074.1,QRF00011_AEBQ01000002.1,QRF00011_AEBR01000025.1,QRF00011_AEBV01000058.1,QRF00011_AEBW01000006.1
3	**	3	-	0.00	QRF00468_EU256090.1,QRF00468_GU590309.1,QRF00468_GU590312.1
4	**	5	-	0.00	QRF00003_AAGU03071871.1,QRF00003_AANU01226676.1,QRF00003_AC198707.3,QRF00003_AC210638.2,QRF00003_AC210639.3
6	**	9	-	0.00	QRF00468_D50481.1,QRF00468_EF407496.1,QRF00468_EF422655.1,QRF00468_EF422659.1,QRF00468_EF422660.1,QRF00468_EF422663.1,QRF00468_EF422665.1,QRF00468_EF422666.1,QRF00468_EF422670.1
430	**	13	-	0.00	QRF00011_AE004092.1,QRF00011_AE009949.1,QRF00011_AE014074.1,QRF00011_AEEO01000022.1,QRF00011_AJ511686.1,QRF00011_BA000034.2,QRF00011_CP000003.1,QRF00011_CP000017.1,QRF00011_CP000056.1,QRF00011_CP000259.1,QRF00011_CP000260.1,QRF00011_CP000261.1,QRF00011_CP000262.1
1341	**	3	-	0.00	QRF00557_CP002627.1,QRF00557_CP002634.1,QRF00557_CP002927.1
894	**	22	-	0.00	QRF01747_ADYR01000017.1,QRF01747_ADYS01000025.1,QRF01747_ADYT01000041.1,QRF01747_ADYU01000003.1,QRF01747_ADYV01000078.1,QRF01747_ADYW01000027.1,QRF01747_ADYX01000022.1,QRF01747_ADYY01000010.1,QRF01747_ADYZ01000041.1,QRF01747_ADZA01000006.1,QRF01747_ADZB01000024.1,QRF01747_ADZC01000012.1,QRF01747_ADZD01000006.1,QRF01747_ADZE01000020.1,QRF01747_ADZF01000033.1,QRF01747_ADZG01000014.1,QRF01747_ADZH01000003.1,QRF01747_ADZI01000007.1,QRF01747_ADZJ01000008.1,QRF01747_ADZK01000004.1,QRF01747_ADZL01000037.1,QRF01747_ADZM01000016.1
1077	**	18	-	0.00	QRF00525_FJ744711.1,QRF00525_FJ744712.1,QRF00525_FJ744713.1,QRF00525_FJ744714.1,QRF00525_FJ744715.1,QRF00525_FJ744716.1,QRF00525_FJ744717.1,QRF00525_FJ744718.1,QRF00525_FJ744725.1,QRF00525_FJ810411.1,QRF00525_FJ810412.1,QRF00525_FJ873811.1,QRF00525_FJ898452.1,QRF00525_FJ906957.1,QRF00525_FM210206.1,QRF00525_FM210207.1,QRF00525_FM210214.1,QRF00525_FM210215.1
433	**	21	-	0.00	QRF02391_ADJI01000002.1,QRF02391_ADJJ01000002.1,QRF02391_ADJK01000012.1,QRF02391_ADVP01000007.1,QRF02391_AECP01000040.1,QRF02391_AECR01000026.1,QRF02391_AEEK01000062.1,QRF02391_AEUQ01000015.1,QRF02391_AEUR01000022.1,QRF02391_AFEE01000061.1,QRF02391_AFEF01000006.1,QRF02391_AFEG01000014.1,QRF02391_AFGU01000096.1,QRF02391_AFNO01000031.1,QRF02391_AFNP01000064.1,QRF02391_AFNQ01000009.1,QRF02391_AFTM01000043.1,QRF02391_AFTN01000007.1,QRF02391_AFTO01000019.1,QRF02391_AFTQ01000066.1,QRF02391_AFTS01000003.1
1728	**	4	-	0.00	QRF00468_EF608885.1,QRF00468_EF608887.1,QRF00468_EF608888.1,QRF00468_EF608889.1
