# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01577.cm
# date:    Sat May 14 02:09:02 2016
# seed:    1463191742
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RNase_P                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:05:36.63       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -307.0865    -307.0865      0.0000
  QRF01739_AGJC01000011.1        62    -304.0661    -304.0661      0.0000
  QRF01739_AP012205.1            62    -304.8180    -304.8180      0.0000
  QRF01739_AEPQ01000180.1        85    -289.0353    -289.0353      0.0000
  QRF01739_AACY023065314.1       57    -306.4874    -306.4874      0.0000
  QRF01739_AACY020081009.1       57    -306.4874    -306.4874      0.0000
  QRF01739_ACSK01000180.1        92    -294.9072    -294.9072      0.0000
  QRF01739_BA000039.2           113    -275.6029    -275.6029      0.0000
  QRF01739_AACY023081145.1       53    -313.8608    -313.8608      0.0000
  QRF01739_AFSR01000238.1        99    -298.4704    -298.4704      0.0000
  QRF01739_AGJC01000003.1        76    -294.8320    -294.8320      0.0000
  QRF01739_AFSR01000146.1        92    -299.4034    -299.4034      0.0000
  QRF01739_CACA01000349.1        84    -304.9920    -304.9920      0.0000
  QRF01739_AACY022751187.1       52    -311.2334    -311.2334      0.0000
  QRF01739_AACY022283709.1       52    -311.2334    -311.2334      0.0000
  QRF01739_ABPS01003770.1       123    -283.2606    -283.2606      0.0000
  QRF01739_AFEJ01000345.1        83    -292.9326    -292.9326      0.0000
  QRF00005_CABR01000029.1        73    -309.0750    -309.0750      0.0000
  QRF00005_AFSR01002788.1        74    -301.8387    -301.8387      0.0000
  QRF00005_CP000927.1            72    -304.0989    -304.0989      0.0000
  QRF00005_AY741371.1            72    -302.8017    -302.8017      0.0000
  QRF00005_AEGR01000006.1        73    -303.8051    -303.8051      0.0000
  QRF00005_CP001189.1            73    -302.8747    -304.2858      1.4111
  QRF00005_CP000493.1            72    -306.9683    -306.9683      0.0000
  QRF00005_AP012159.1            73    -302.8747    -304.2858      1.4111
  QRF00005_AM889285.1            73    -302.8747    -304.2858      1.4111
  QRF00005_AGFR01000003.1        73    -303.8528    -303.8528      0.0000
  QRF00005_AFCH01000046.1        73    -302.8747    -304.2858      1.4111
  QRF00005_ADTV01000009.1        73    -302.8747    -304.2858      1.4111
  QRF00005_ABCE01000025.1        73    -307.2916    -307.2916      0.0000
  QRF00005_HM565909.1            72    -301.6236    -301.6236      0.0000
  QRF00005_CAFG01000441.1        73    -306.0131    -306.0131      0.0000
  QRF00005_AACY020656879.1       72    -302.1747    -302.1747      0.0000
  QRF00005_CP001744.1            73    -307.5757    -307.5757      0.0000
  QRF00005_CP000880.1            73    -302.5659    -303.7722      1.2063
  QRF00005_CACD01000012.1        73    -302.5659    -303.7722      1.2063
  QRF00005_CACD01000012.1        73    -302.5659    -303.7722      1.2063
  QRF00005_CACD01000012.1        73    -302.5659    -303.7722      1.2063
  QRF00005_AM849034.1            74    -300.3810    -300.3810      0.0000
  QRF00005_AM711867.1            74    -300.3810    -300.3810      0.0000
  QRF00005_AEQT01000005.1        73    -302.5659    -303.7722      1.2063
  QRF00005_AEQT01000005.1        73    -302.5659    -303.7722      1.2063
  QRF00005_ACDJ01000003.1        73    -302.5659    -303.7722      1.2063
  QRF00005_ABWL02000007.1        73    -302.5659    -303.7722      1.2063
  QRF00005_Z71579.1              73    -305.6758    -307.9332      2.2574
  QRF00005_X53782.1              73    -305.6758    -307.9332      2.2574
  QRF00005_M19391.1              73    -305.6758    -307.9332      2.2574
  QRF00005_M15314.1              73    -305.6758    -307.9332      2.2574
  QRF00005_L42023.1              73    -305.6758    -307.9332      2.2574
  QRF00005_L42023.1              73    -305.6758    -307.9332      2.2574
  QRF00005_L42023.1              73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670204.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670204.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670204.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670178.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670178.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670178.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ670178.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312006.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312006.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312006.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312002.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312002.1            73    -305.6758    -307.9332      2.2574
  QRF00005_FQ312002.1            73    -305.6758    -307.9332      2.2574
  QRF00005_EF196803.1            73    -305.6758    -307.9332      2.2574
  QRF00005_EF196803.1            73    -305.6758    -307.9332      2.2574
  QRF00005_CP003022.1            73    -305.6758    -307.9332      2.2574
  QRF00001_EU093378.1           119    -282.1055    -282.1055      0.0000
  QRF00001_AAAA02047827.1       119    -283.7906    -283.7906      0.0000
  QRF00001_AAAA02043281.1       119    -285.6584    -285.6584      0.0000
  QRF00001_EF064700.1           119    -281.3214    -281.3214      0.0000
  QRF00001_EF064692.1           119    -281.3214    -281.3214      0.0000
  QRF00001_EF064687.1           119    -281.3214    -281.3214      0.0000
  QRF00001_EF064680.1           119    -281.3214    -281.3214      0.0000
  QRF00001_EF064678.1           119    -281.3214    -281.3214      0.0000
  QRF00001_EF064556.1           119    -281.3214    -281.3214      0.0000
  QRF00001_AJ390135.1           119    -281.3214    -281.3214      0.0000
  QRF00001_HQ270965.1           119    -283.7906    -283.7906      0.0000
  QRF00001_GQ324770.1           119    -283.7906    -283.7906      0.0000
  QRF00001_FJ882503.1           119    -283.7906    -283.7906      0.0000
  QRF00001_AF550740.1           119    -283.7906    -283.7906      0.0000
  QRF00001_HQ270648.1           119    -283.1206    -283.1206      0.0000
  QRF00001_EU924818.1           119    -283.1206    -283.1206      0.0000
  QRF00001_EU093153.1           119    -283.1206    -283.1206      0.0000
  QRF00001_EF524209.1           119    -283.1206    -283.1206      0.0000
  QRF00001_AY316209.1           119    -283.1206    -283.1206      0.0000
  QRF00001_AY034674.1           119    -283.1206    -283.1206      0.0000
  QRF00001_AJ409525.1           119    -283.1206    -283.1206      0.0000
  QRF00001_AF550715.1           119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01010155.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009775.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009775.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009775.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009135.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009119.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01009117.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005845.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005845.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005844.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005841.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005839.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005838.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005838.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005835.1       119    -283.1206    -283.1206      0.0000
  QRF00001_ABXC01005835.1       119    -283.1206    -283.1206      0.0000
  QRF00001_AAAA02039752.1       119    -281.8080    -281.8080      0.0000
  QRF00001_EU925066.1           119    -285.8379    -285.8379      0.0000
  QRF00001_EU093209.1           119    -285.8379    -285.8379      0.0000
