# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00175.cm
# date:    Fri May 13 21:42:41 2016
# seed:    1463175761
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HIV-1_DIS                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:11.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -3.9116      -3.9116      0.0000
  QRF01739_AGJC01000011.1        62      -7.7696      -7.7696      0.0000
  QRF01739_AP012205.1            62     -10.7904     -10.7904      0.0000
  QRF01739_AEPQ01000180.1        85     -11.4063     -11.4063      0.0000
  QRF01739_AACY023065314.1       57     -11.1224     -11.1224      0.0000
  QRF01739_AACY020081009.1       57     -11.1224     -11.1224      0.0000
  QRF01739_ACSK01000180.1        92      -6.9569      -6.9569      0.0000
  QRF01739_BA000039.2           113      -9.8409      -9.8409      0.0000
  QRF01739_AACY023081145.1       53      -8.6081      -8.6081      0.0000
  QRF01739_AFSR01000238.1        99     -10.9530     -10.9530      0.0000
  QRF01739_AGJC01000003.1        76     -12.2484     -12.2484      0.0000
  QRF01739_AFSR01000146.1        92      -6.9403      -6.9403      0.0000
  QRF01739_CACA01000349.1        84       2.9887       2.9887      0.0000
  QRF01739_AACY022751187.1       52      -5.8314      -5.8314      0.0000
  QRF01739_AACY022283709.1       52      -5.8314      -5.8314      0.0000
  QRF01739_ABPS01003770.1       123     -10.1841     -10.1841      0.0000
  QRF01739_AFEJ01000345.1        83      -8.2606      -8.2606      0.0000
  QRF00005_CABR01000029.1        73     -12.1625     -12.1625      0.0000
  QRF00005_AFSR01002788.1        74      -5.3724      -5.3724      0.0000
  QRF00005_CP000927.1            72     -11.4837     -11.4837      0.0000
  QRF00005_AY741371.1            72      -9.3257      -9.3257      0.0000
  QRF00005_AEGR01000006.1        73      -8.8304      -8.8304      0.0000
  QRF00005_CP001189.1            73      -6.5743      -6.5743      0.0000
  QRF00005_CP000493.1            72      -9.0049      -9.0049      0.0000
  QRF00005_AP012159.1            73      -6.5743      -6.5743      0.0000
  QRF00005_AM889285.1            73      -6.5743      -6.5743      0.0000
  QRF00005_AGFR01000003.1        73      -9.7294      -9.7294      0.0000
  QRF00005_AFCH01000046.1        73      -6.5743      -6.5743      0.0000
  QRF00005_ADTV01000009.1        73      -6.5743      -6.5743      0.0000
  QRF00005_ABCE01000025.1        73      -8.7819      -8.7819      0.0000
  QRF00005_HM565909.1            72      -9.3257      -9.3257      0.0000
  QRF00005_CAFG01000441.1        73     -12.2089     -12.2089      0.0000
  QRF00005_AACY020656879.1       72      -8.9243      -8.9243      0.0000
  QRF00005_CP001744.1            73     -10.2191     -10.2191      0.0000
  QRF00005_CP000880.1            73     -13.0089     -13.0089      0.0000
