# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00569.cm
# date:    Fri May 13 23:52:47 2016
# seed:    1463183567
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORD19                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:23.03       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.8551     -19.8551      0.0000
  QRF01739_AGJC01000011.1        62     -21.5924     -21.5924      0.0000
  QRF01739_AP012205.1            62     -13.9960     -13.9960      0.0000
  QRF01739_AEPQ01000180.1        85     -11.2139     -11.2139      0.0000
  QRF01739_AACY023065314.1       57     -15.7092     -15.7092      0.0000
  QRF01739_AACY020081009.1       57     -15.7092     -15.7092      0.0000
  QRF01739_ACSK01000180.1        92     -22.3041     -22.3041      0.0000
  QRF01739_BA000039.2           113     -16.7613     -16.7613      0.0000
  QRF01739_AACY023081145.1       53     -22.4044     -22.4044      0.0000
  QRF01739_AFSR01000238.1        99     -18.0383     -18.0383      0.0000
  QRF01739_AGJC01000003.1        76     -23.1687     -23.1687      0.0000
  QRF01739_AFSR01000146.1        92     -21.6361     -21.6361      0.0000
  QRF01739_CACA01000349.1        84     -16.7660     -16.7660      0.0000
  QRF01739_AACY022751187.1       52     -16.4743     -16.4743      0.0000
  QRF01739_AACY022283709.1       52     -16.4743     -16.4743      0.0000
  QRF01739_ABPS01003770.1       123      -7.9017      -7.9017      0.0000
  QRF01739_AFEJ01000345.1        83     -24.5304     -24.5304      0.0000
  QRF00005_CABR01000029.1        73     -27.7243     -27.7243      0.0000
  QRF00005_AFSR01002788.1        74     -24.3485     -24.3485      0.0000
  QRF00005_CP000927.1            72     -15.5462     -15.5462      0.0000
  QRF00005_AY741371.1            72     -23.2080     -23.2080      0.0000
  QRF00005_AEGR01000006.1        73     -24.2429     -24.2429      0.0000
  QRF00005_CP001189.1            73     -22.0146     -22.0146      0.0000
  QRF00005_CP000493.1            72     -31.3824     -31.3824      0.0000
  QRF00005_AP012159.1            73     -22.0146     -22.0146      0.0000
  QRF00005_AM889285.1            73     -22.0146     -22.0146      0.0000
  QRF00005_AGFR01000003.1        73     -26.9746     -26.9746      0.0000
  QRF00005_AFCH01000046.1        73     -22.0146     -22.0146      0.0000
  QRF00005_ADTV01000009.1        73     -22.0146     -22.0146      0.0000
  QRF00005_ABCE01000025.1        73     -28.7022     -28.7022      0.0000
  QRF00005_HM565909.1            72     -21.8420     -21.8420      0.0000
  QRF00005_CAFG01000441.1        73     -21.4974     -21.4974      0.0000
  QRF00005_AACY020656879.1       72     -23.8490     -23.8490      0.0000
  QRF00005_CP001744.1            73     -25.8512     -25.8512      0.0000
  QRF00005_CP000880.1            73     -21.3395     -21.3395      0.0000
  QRF00005_CACD01000012.1        73     -21.3395     -21.3395      0.0000
  QRF00005_CACD01000012.1        73     -21.3395     -21.3395      0.0000
  QRF00005_CACD01000012.1        73     -21.3395     -21.3395      0.0000
  QRF00005_AM849034.1            74      -9.7629      -9.7629      0.0000
  QRF00005_AM711867.1            74      -9.7629      -9.7629      0.0000
  QRF00005_AEQT01000005.1        73     -21.3395     -21.3395      0.0000
  QRF00005_AEQT01000005.1        73     -21.3395     -21.3395      0.0000
  QRF00005_ACDJ01000003.1        73     -21.3395     -21.3395      0.0000
  QRF00005_ABWL02000007.1        73     -21.3395     -21.3395      0.0000
  QRF00005_Z71579.1              73     -26.1274     -26.1274      0.0000
  QRF00005_X53782.1              73     -26.1274     -26.1274      0.0000
  QRF00005_M19391.1              73     -26.1274     -26.1274      0.0000
  QRF00005_M15314.1              73     -26.1274     -26.1274      0.0000
  QRF00005_L42023.1              73     -26.1274     -26.1274      0.0000
  QRF00005_L42023.1              73     -26.1274     -26.1274      0.0000
  QRF00005_L42023.1              73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670204.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670204.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670204.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670178.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670178.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670178.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ670178.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312006.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312006.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312006.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312002.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312002.1            73     -26.1274     -26.1274      0.0000
  QRF00005_FQ312002.1            73     -26.1274     -26.1274      0.0000
  QRF00005_EF196803.1            73     -26.1274     -26.1274      0.0000
  QRF00005_EF196803.1            73     -26.1274     -26.1274      0.0000
  QRF00005_CP003022.1            73     -26.1274     -26.1274      0.0000
  QRF00001_EU093378.1           119     -12.5209     -12.5209      0.0000
  QRF00001_AAAA02047827.1       119     -16.1709     -16.1709      0.0000
  QRF00001_AAAA02043281.1       119     -15.0399     -15.0399      0.0000
  QRF00001_EF064700.1           119     -16.3209     -16.3209      0.0000
  QRF00001_EF064692.1           119     -16.3209     -16.3209      0.0000
  QRF00001_EF064687.1           119     -16.3209     -16.3209      0.0000
  QRF00001_EF064680.1           119     -16.3209     -16.3209      0.0000
  QRF00001_EF064678.1           119     -16.3209     -16.3209      0.0000
  QRF00001_EF064556.1           119     -16.3209     -16.3209      0.0000
  QRF00001_AJ390135.1           119     -16.3209     -16.3209      0.0000
  QRF00001_HQ270965.1           119     -16.1709     -16.1709      0.0000
  QRF00001_GQ324770.1           119     -16.1709     -16.1709      0.0000
  QRF00001_FJ882503.1           119     -16.1709     -16.1709      0.0000
  QRF00001_AF550740.1           119     -16.1709     -16.1709      0.0000
  QRF00001_HQ270648.1           119     -17.9509     -17.9509      0.0000
  QRF00001_EU924818.1           119     -17.9509     -17.9509      0.0000
  QRF00001_EU093153.1           119     -17.9509     -17.9509      0.0000
  QRF00001_EF524209.1           119     -17.9509     -17.9509      0.0000
  QRF00001_AY316209.1           119     -17.9509     -17.9509      0.0000
  QRF00001_AY034674.1           119     -17.9509     -17.9509      0.0000
  QRF00001_AJ409525.1           119     -17.9509     -17.9509      0.0000
  QRF00001_AF550715.1           119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01010155.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009775.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009775.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009775.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009135.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009119.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01009117.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005845.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005845.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005844.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005841.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005839.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005838.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005838.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005835.1       119     -17.9509     -17.9509      0.0000
  QRF00001_ABXC01005835.1       119     -17.9509     -17.9509      0.0000
  QRF00001_AAAA02039752.1       119     -15.0399     -15.0399      0.0000
  QRF00001_EU925066.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU093209.1           119     -15.0399     -15.0399      0.0000
  QRF00001_U02637.1             119     -15.0399     -15.0399      0.0000
  QRF00001_EU439291.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439286.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439284.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439282.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439280.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439279.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439278.1           119     -15.0399     -15.0399      0.0000
  QRF00001_EU439277.1           119     -15.0399     -15.0399      0.0000
  QRF01704_ACNY01000005.1        62     -31.4608     -31.4608      0.0000
  QRF01704_ADXL01000065.1        61     -33.0549     -33.0549      0.0000
  QRF01704_ADXL01000046.1        61     -32.2118     -32.2118      0.0000
  QRF01704_ADHP01001127.1        63     -25.3948     -25.3948      0.0000
  QRF01704_ADXM01000029.1        71     -27.3556     -27.3556      0.0000
  QRF01704_FJ869257.1            62     -29.4902     -29.4902      0.0000
  QRF01704_BX569692.1            62     -29.4902     -29.4902      0.0000
  QRF01704_AACY023835177.1       64     -31.8546     -31.8546      0.0000
  QRF01704_ACNY01000003.1        61     -30.6762     -30.6762      0.0000
  QRF01704_AACY020212823.1       62     -25.9110     -25.9110      0.0000
  QRF01704_GQ237222.1            58     -29.0257     -29.0257      0.0000
  QRF01704_ADHP01000860.1        64     -21.6249     -21.6249      0.0000
  QRF01704_AACY020313707.1       62     -32.7621     -32.7621      0.0000
  QRF01704_ACDW01000004.1        62     -26.7746     -26.7746      0.0000
  QRF01704_AACY022014507.1       62     -28.8423     -28.8423      0.0000
  QRF01704_ADHP01000878.1        59     -28.3153     -28.3153      0.0000
  QRF01704_AACY022415810.1       58     -30.7327     -30.7327      0.0000
  QRF01704_AACY020575673.1       58     -30.7327     -30.7327      0.0000
  QRF01704_ACNY01000005.1        59     -31.0966     -31.0966      0.0000
  QRF01704_ADHP01000854.1        63     -24.4686     -24.4686      0.0000
  QRF01704_GU936714.1            59     -32.2103     -32.2103      0.0000
  QRF01704_AACY021622950.1       62     -27.6180     -27.6180      0.0000
  QRF01704_CP000825.1            58     -32.3001     -32.3001      0.0000
  QRF01704_EU795157.1            64     -29.3407     -29.3407      0.0000
