# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00102.cm
# date:    Sat May 14 04:30:38 2016
# seed:    1463200238
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  VA                         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:22.30       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -41.9333     -41.9333      0.0000
  QRF01739_AGJC01000011.1        62     -39.1762     -39.1762      0.0000
  QRF01739_AP012205.1            62     -43.2991     -43.2991      0.0000
  QRF01739_AEPQ01000180.1        85     -40.0909     -40.0909      0.0000
  QRF01739_AACY023065314.1       57     -51.1029     -51.1029      0.0000
  QRF01739_AACY020081009.1       57     -51.1029     -51.1029      0.0000
  QRF01739_ACSK01000180.1        92     -42.1477     -42.1477      0.0000
  QRF01739_BA000039.2           113     -31.4006     -31.4006      0.0000
  QRF01739_AACY023081145.1       53     -54.9173     -54.9173      0.0000
  QRF01739_AFSR01000238.1        99     -40.8848     -40.8848      0.0000
  QRF01739_AGJC01000003.1        76     -47.3332     -47.3332      0.0000
  QRF01739_AFSR01000146.1        92     -39.9491     -39.9491      0.0000
  QRF01739_CACA01000349.1        84     -41.2268     -41.2268      0.0000
  QRF01739_AACY022751187.1       52     -58.5241     -58.5241      0.0000
  QRF01739_AACY022283709.1       52     -58.5241     -58.5241      0.0000
  QRF01739_ABPS01003770.1       123     -35.6815     -35.6815      0.0000
  QRF01739_AFEJ01000345.1        83     -48.1370     -48.1370      0.0000
  QRF00005_CABR01000029.1        73     -40.2212     -40.2212      0.0000
  QRF00005_AFSR01002788.1        74     -41.6391     -41.6391      0.0000
  QRF00005_CP000927.1            72     -43.8297     -43.8297      0.0000
