# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00229.cm
# date:    Sat May 14 04:10:03 2016
# seed:    1463199003
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRES_Picorna               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:30.37       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -122.2368    -122.2368      0.0000
  QRF01739_AGJC01000011.1        62    -124.8287    -124.8287      0.0000
  QRF01739_AP012205.1            62    -119.4959    -119.4959      0.0000
  QRF01739_AEPQ01000180.1        85    -108.5004    -108.5004      0.0000
  QRF01739_AACY023065314.1       57    -122.0259    -122.0259      0.0000
  QRF01739_AACY020081009.1       57    -122.0259    -122.0259      0.0000
  QRF01739_ACSK01000180.1        92    -105.1472    -105.1472      0.0000
  QRF01739_BA000039.2           113     -92.1426     -92.1426      0.0000
  QRF01739_AACY023081145.1       53    -125.3780    -125.3780      0.0000
  QRF01739_AFSR01000238.1        99    -103.6635    -103.6635      0.0000
  QRF01739_AGJC01000003.1        76    -117.2524    -117.2524      0.0000
  QRF01739_AFSR01000146.1        92    -105.5899    -105.5899      0.0000
  QRF01739_CACA01000349.1        84    -109.7839    -111.0127      1.2288
  QRF01739_AACY022751187.1       52    -121.9509    -121.9509      0.0000
  QRF01739_AACY022283709.1       52    -121.9509    -121.9509      0.0000
  QRF01739_ABPS01003770.1       123     -89.4735     -89.4735      0.0000
  QRF01739_AFEJ01000345.1        83    -113.1461    -113.1461      0.0000
  QRF00005_CABR01000029.1        73    -116.2617    -116.2617      0.0000
  QRF00005_AFSR01002788.1        74    -111.2305    -111.2305      0.0000
  QRF00005_CP000927.1            72    -115.3141    -115.3141      0.0000
  QRF00005_AY741371.1            72    -110.9773    -110.9773      0.0000
  QRF00005_AEGR01000006.1        73    -113.5641    -113.5641      0.0000
  QRF00005_CP001189.1            73    -109.2944    -109.2944      0.0000
  QRF00005_CP000493.1            72    -112.4886    -112.4886      0.0000
  QRF00005_AP012159.1            73    -109.2944    -109.2944      0.0000
  QRF00005_AM889285.1            73    -109.2944    -109.2944      0.0000
  QRF00005_AGFR01000003.1        73    -110.6987    -110.6987      0.0000
  QRF00005_AFCH01000046.1        73    -109.2944    -109.2944      0.0000
  QRF00005_ADTV01000009.1        73    -109.2944    -109.2944      0.0000
  QRF00005_ABCE01000025.1        73    -110.1558    -110.1558      0.0000
  QRF00005_HM565909.1            72    -114.4713    -114.4713      0.0000
  QRF00005_CAFG01000441.1        73    -112.4818    -112.4818      0.0000
  QRF00005_AACY020656879.1       72    -112.0915    -112.0915      0.0000
  QRF00005_CP001744.1            73    -109.2478    -109.2478      0.0000
  QRF00005_CP000880.1            73    -110.3326    -110.3326      0.0000
  QRF00005_CACD01000012.1        73    -110.3326    -110.3326      0.0000
  QRF00005_CACD01000012.1        73    -110.3326    -110.3326      0.0000
  QRF00005_CACD01000012.1        73    -110.3326    -110.3326      0.0000
  QRF00005_AM849034.1            74    -105.9942    -105.9942      0.0000
  QRF00005_AM711867.1            74    -105.9942    -105.9942      0.0000
  QRF00005_AEQT01000005.1        73    -110.3326    -110.3326      0.0000
  QRF00005_AEQT01000005.1        73    -110.3326    -110.3326      0.0000
  QRF00005_ACDJ01000003.1        73    -110.3326    -110.3326      0.0000
  QRF00005_ABWL02000007.1        73    -110.3326    -110.3326      0.0000
  QRF00005_Z71579.1              73    -114.6732    -114.6732      0.0000
  QRF00005_X53782.1              73    -114.6732    -114.6732      0.0000
  QRF00005_M19391.1              73    -114.6732    -114.6732      0.0000
  QRF00005_M15314.1              73    -114.6732    -114.6732      0.0000
  QRF00005_L42023.1              73    -114.6732    -114.6732      0.0000
  QRF00005_L42023.1              73    -114.6732    -114.6732      0.0000
  QRF00005_L42023.1              73    -114.6732    -114.6732      0.0000
  QRF00005_FQ670204.1            73    -114.6732    -114.6732      0.0000
  QRF00005_FQ670204.1            73    -114.6732    -114.6732      0.0000
  QRF00005_FQ670204.1            73    -114.6732    -114.6732      0.0000
  QRF00005_FQ670178.1            73    -114.6732    -114.6732      0.0000
