# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00635.cm
# date:    Fri May 13 19:44:07 2016
# seed:    1463168647
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HAR1F                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:08.84       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -41.8701     -41.8701      0.0000
  QRF01739_AGJC01000011.1        62     -46.0143     -46.0143      0.0000
  QRF01739_AP012205.1            62     -44.4092     -44.4092      0.0000
  QRF01739_AEPQ01000180.1        85     -34.0560     -34.0560      0.0000
  QRF01739_AACY023065314.1       57     -47.6156     -47.6156      0.0000
  QRF01739_AACY020081009.1       57     -47.6156     -47.6156      0.0000
  QRF01739_ACSK01000180.1        92     -36.7112     -36.7112      0.0000
  QRF01739_BA000039.2           113     -33.9852     -33.9852      0.0000
  QRF01739_AACY023081145.1       53     -50.9254     -50.9254      0.0000
  QRF01739_AFSR01000238.1        99     -35.2032     -35.2032      0.0000
  QRF01739_AGJC01000003.1        76     -40.3530     -40.3530      0.0000
  QRF01739_AFSR01000146.1        92     -41.3416     -41.3416      0.0000
  QRF01739_CACA01000349.1        84     -40.5521     -40.5521      0.0000
  QRF01739_AACY022751187.1       52     -52.3859     -52.3859      0.0000
  QRF01739_AACY022283709.1       52     -52.3859     -52.3859      0.0000
  QRF01739_ABPS01003770.1       123     -32.2961     -32.2961      0.0000
  QRF01739_AFEJ01000345.1        83     -44.6033     -44.6033      0.0000
  QRF00005_CABR01000029.1        73     -39.6691     -39.6691      0.0000
  QRF00005_AFSR01002788.1        74     -40.4230     -40.4230      0.0000
  QRF00005_CP000927.1            72     -41.9822     -41.9822      0.0000
  QRF00005_AY741371.1            72     -32.2095     -32.2095      0.0000
  QRF00005_AEGR01000006.1        73     -38.4651     -38.4651      0.0000
  QRF00005_CP001189.1            73     -42.1651     -42.1651      0.0000
  QRF00005_CP000493.1            72     -38.2802     -38.2802      0.0000
  QRF00005_AP012159.1            73     -42.1651     -42.1651      0.0000
  QRF00005_AM889285.1            73     -42.1651     -42.1651      0.0000
  QRF00005_AGFR01000003.1        73     -40.9453     -40.9453      0.0000
  QRF00005_AFCH01000046.1        73     -42.1651     -42.1651      0.0000
