# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00492.cm
# date:    Fri May 13 19:33:58 2016
# seed:    1463168038
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SCARNA17                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:59.73       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -40.6921     -40.6921      0.0000
  QRF01739_AGJC01000011.1        62     -42.4598     -42.4598      0.0000
  QRF01739_AP012205.1            62     -38.4829     -38.4829      0.0000
  QRF01739_AEPQ01000180.1        85     -24.9566     -24.9566      0.0000
  QRF01739_AACY023065314.1       57     -45.6193     -45.6193      0.0000
  QRF01739_AACY020081009.1       57     -45.6193     -45.6193      0.0000
  QRF01739_ACSK01000180.1        92     -33.9223     -33.9223      0.0000
  QRF01739_BA000039.2           113     -23.4583     -23.4583      0.0000
  QRF01739_AACY023081145.1       53     -44.8246     -44.8246      0.0000
  QRF01739_AFSR01000238.1        99     -38.9180     -38.9180      0.0000
  QRF01739_AGJC01000003.1        76     -41.9810     -41.9810      0.0000
  QRF01739_AFSR01000146.1        92     -38.3670     -38.3670      0.0000
  QRF01739_CACA01000349.1        84     -38.9555     -38.9555      0.0000
  QRF01739_AACY022751187.1       52     -45.4455     -45.4455      0.0000
  QRF01739_AACY022283709.1       52     -45.4455     -45.4455      0.0000
  QRF01739_ABPS01003770.1       123     -29.5374     -29.5374      0.0000
  QRF01739_AFEJ01000345.1        83     -42.4394     -42.4394      0.0000
  QRF00005_CABR01000029.1        73     -35.2941     -35.2941      0.0000
  QRF00005_AFSR01002788.1        74     -31.0510     -31.0510      0.0000
