# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01877.cm
# date:    Fri May 13 23:27:20 2016
# seed:    1463182040
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIAT_exon5_3               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:01.74       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -184.9570    -184.9570      0.0000
  QRF01739_AGJC01000011.1        62    -189.8195    -189.8195      0.0000
  QRF01739_AP012205.1            62    -188.9992    -188.9992      0.0000
  QRF01739_AEPQ01000180.1        85    -176.2103    -176.2103      0.0000
  QRF01739_AACY023065314.1       57    -197.0349    -197.0349      0.0000
  QRF01739_AACY020081009.1       57    -197.0349    -197.0349      0.0000
  QRF01739_ACSK01000180.1        92    -177.0712    -177.0712      0.0000
  QRF01739_BA000039.2           113    -158.0941    -158.0941      0.0000
  QRF01739_AACY023081145.1       53    -197.2073    -197.2073      0.0000
  QRF01739_AFSR01000238.1        99    -174.0109    -174.0109      0.0000
  QRF01739_AGJC01000003.1        76    -178.4573    -178.4573      0.0000
  QRF01739_AFSR01000146.1        92    -176.0017    -176.0017      0.0000
  QRF01739_CACA01000349.1        84    -178.5104    -178.5104      0.0000
  QRF01739_AACY022751187.1       52    -194.3559    -194.3559      0.0000
  QRF01739_AACY022283709.1       52    -194.3559    -194.3559      0.0000
  QRF01739_ABPS01003770.1       123    -153.7366    -153.7366      0.0000
  QRF01739_AFEJ01000345.1        83    -172.5661    -172.5661      0.0000
