# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01717.cm
# date:    Sat May 14 04:06:24 2016
# seed:    1463198784
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PhotoRC-II                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:41.51       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -18.8205     -18.8205      0.0000
  QRF01739_AGJC01000011.1        62     -24.9032     -24.9032      0.0000
  QRF01739_AP012205.1            62     -23.3350     -23.3350      0.0000
  QRF01739_AEPQ01000180.1        85     -20.6835     -20.6835      0.0000
  QRF01739_AACY023065314.1       57     -25.1336     -25.1336      0.0000
  QRF01739_AACY020081009.1       57     -25.1336     -25.1336      0.0000
  QRF01739_ACSK01000180.1        92     -21.1797     -21.1797      0.0000
  QRF01739_BA000039.2           113      -6.5205      -6.5205      0.0000
  QRF01739_AACY023081145.1       53     -27.5378     -27.5378      0.0000
  QRF01739_AFSR01000238.1        99     -30.0099     -30.0099      0.0000
  QRF01739_AGJC01000003.1        76     -23.8516     -23.8516      0.0000
  QRF01739_AFSR01000146.1        92     -26.5867     -26.5867      0.0000
  QRF01739_CACA01000349.1        84     -24.1984     -24.1984      0.0000
  QRF01739_AACY022751187.1       52     -33.9539     -33.9539      0.0000
  QRF01739_AACY022283709.1       52     -33.9539     -33.9539      0.0000
  QRF01739_ABPS01003770.1       123     -14.2477     -14.2477      0.0000
  QRF01739_AFEJ01000345.1        83     -24.0973     -24.0973      0.0000
  QRF00005_CABR01000029.1        73     -25.3022     -25.3022      0.0000
  QRF00005_AFSR01002788.1        74     -31.9556     -31.9556      0.0000
  QRF00005_CP000927.1            72     -30.9160     -30.9160      0.0000
  QRF00005_AY741371.1            72     -27.3964     -27.3964      0.0000
  QRF00005_AEGR01000006.1        73     -23.0252     -23.0252      0.0000
  QRF00005_CP001189.1            73     -20.4430     -20.4430      0.0000
  QRF00005_CP000493.1            72     -28.3568     -28.3568      0.0000
  QRF00005_AP012159.1            73     -20.4430     -20.4430      0.0000
  QRF00005_AM889285.1            73     -20.4430     -20.4430      0.0000
  QRF00005_AGFR01000003.1        73     -20.1860     -20.1860      0.0000
  QRF00005_AFCH01000046.1        73     -20.4430     -20.4430      0.0000
  QRF00005_ADTV01000009.1        73     -20.4430     -20.4430      0.0000
  QRF00005_ABCE01000025.1        73     -25.0828     -25.0828      0.0000
  QRF00005_HM565909.1            72     -23.4496     -23.4496      0.0000
  QRF00005_CAFG01000441.1        73     -24.7082     -24.7082      0.0000
  QRF00005_AACY020656879.1       72     -25.3134     -25.3134      0.0000
  QRF00005_CP001744.1            73     -17.8961     -17.8961      0.0000
  QRF00005_CP000880.1            73     -30.0056     -30.0056      0.0000
  QRF00005_CACD01000012.1        73     -30.0056     -30.0056      0.0000
  QRF00005_CACD01000012.1        73     -30.0056     -30.0056      0.0000
  QRF00005_CACD01000012.1        73     -30.0056     -30.0056      0.0000
  QRF00005_AM849034.1            74     -24.0401     -24.0401      0.0000
  QRF00005_AM711867.1            74     -24.0401     -24.0401      0.0000
  QRF00005_AEQT01000005.1        73     -30.0056     -30.0056      0.0000
  QRF00005_AEQT01000005.1        73     -30.0056     -30.0056      0.0000
  QRF00005_ACDJ01000003.1        73     -30.0056     -30.0056      0.0000
  QRF00005_ABWL02000007.1        73     -30.0056     -30.0056      0.0000
  QRF00005_Z71579.1              73     -19.5072     -19.5072      0.0000
  QRF00005_X53782.1              73     -19.5072     -19.5072      0.0000
  QRF00005_M19391.1              73     -19.5072     -19.5072      0.0000
  QRF00005_M15314.1              73     -19.5072     -19.5072      0.0000
  QRF00005_L42023.1              73     -19.5072     -19.5072      0.0000
  QRF00005_L42023.1              73     -19.5072     -19.5072      0.0000
  QRF00005_L42023.1              73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670204.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670204.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670204.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670178.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670178.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670178.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ670178.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312006.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312006.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312006.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312002.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312002.1            73     -19.5072     -19.5072      0.0000
  QRF00005_FQ312002.1            73     -19.5072     -19.5072      0.0000
  QRF00005_EF196803.1            73     -19.5072     -19.5072      0.0000
  QRF00005_EF196803.1            73     -19.5072     -19.5072      0.0000
  QRF00005_CP003022.1            73     -19.5072     -19.5072      0.0000
  QRF00001_EU093378.1           119     -19.1761     -19.1761      0.0000
  QRF00001_AAAA02047827.1       119     -17.7744     -17.7744      0.0000
  QRF00001_AAAA02043281.1       119     -21.7154     -21.7154      0.0000
  QRF00001_EF064700.1           119     -16.4554     -16.4554      0.0000
  QRF00001_EF064692.1           119     -16.4554     -16.4554      0.0000
  QRF00001_EF064687.1           119     -16.4554     -16.4554      0.0000
  QRF00001_EF064680.1           119     -16.4554     -16.4554      0.0000
  QRF00001_EF064678.1           119     -16.4554     -16.4554      0.0000
  QRF00001_EF064556.1           119     -16.4554     -16.4554      0.0000
  QRF00001_AJ390135.1           119     -16.4554     -16.4554      0.0000
  QRF00001_HQ270965.1           119     -17.7744     -17.7744      0.0000
  QRF00001_GQ324770.1           119     -17.7744     -17.7744      0.0000
  QRF00001_FJ882503.1           119     -17.7744     -17.7744      0.0000
  QRF00001_AF550740.1           119     -17.7744     -17.7744      0.0000
  QRF00001_HQ270648.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU924818.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU093153.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EF524209.1           119     -17.2574     -17.2574      0.0000
  QRF00001_AY316209.1           119     -17.2574     -17.2574      0.0000
  QRF00001_AY034674.1           119     -17.2574     -17.2574      0.0000
  QRF00001_AJ409525.1           119     -17.2574     -17.2574      0.0000
  QRF00001_AF550715.1           119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01010155.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009775.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009775.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009775.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009135.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009119.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01009117.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005845.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005845.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005844.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005841.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005839.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005838.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005838.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005835.1       119     -17.2574     -17.2574      0.0000
  QRF00001_ABXC01005835.1       119     -17.2574     -17.2574      0.0000
  QRF00001_AAAA02039752.1       119     -17.2574     -17.2574      0.0000
  QRF00001_EU925066.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU093209.1           119     -17.2574     -17.2574      0.0000
  QRF00001_U02637.1             119     -17.2574     -17.2574      0.0000
  QRF00001_EU439291.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439286.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439284.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439282.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439280.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439279.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439278.1           119     -17.2574     -17.2574      0.0000
  QRF00001_EU439277.1           119     -17.2574     -17.2574      0.0000
  QRF01704_ACNY01000005.1        62     -28.2971     -28.2971      0.0000
  QRF01704_ADXL01000065.1        61     -29.5968     -29.5968      0.0000
  QRF01704_ADXL01000046.1        61     -32.3481     -32.3481      0.0000
  QRF01704_ADHP01001127.1        63     -25.3920     -25.3920      0.0000
  QRF01704_ADXM01000029.1        71     -31.5533     -31.5533      0.0000
  QRF01704_FJ869257.1            62     -32.8869     -32.8869      0.0000
  QRF01704_BX569692.1            62     -32.8869     -32.8869      0.0000
  QRF01704_AACY023835177.1       64     -26.3719     -26.3719      0.0000
  QRF01704_ACNY01000003.1        61     -32.6426     -32.6426      0.0000
  QRF01704_AACY020212823.1       62     -22.8919     -22.8919      0.0000
  QRF01704_GQ237222.1            58     -26.5102     -26.5102      0.0000
  QRF01704_ADHP01000860.1        64     -28.4178     -28.4178      0.0000
  QRF01704_AACY020313707.1       62     -29.6209     -29.6209      0.0000
  QRF01704_ACDW01000004.1        62     -22.9841     -22.9841      0.0000
  QRF01704_AACY022014507.1       62     -23.6561     -23.6561      0.0000
  QRF01704_ADHP01000878.1        59     -27.7381     -27.7381      0.0000
  QRF01704_AACY022415810.1       58     -28.3262     -28.3262      0.0000
  QRF01704_AACY020575673.1       58     -28.3262     -28.3262      0.0000
  QRF01704_ACNY01000005.1        59     -27.0059     -27.0059      0.0000
  QRF01704_ADHP01000854.1        63     -25.8310     -25.8310      0.0000
  QRF01704_GU936714.1            59     -30.7286     -30.7286      0.0000
  QRF01704_AACY021622950.1       62     -25.5139     -25.5139      0.0000
  QRF01704_CP000825.1            58     -29.0149     -29.0149      0.0000
  QRF01704_EU795157.1            64     -29.1850     -29.1850      0.0000
  QRF01704_ABVN01004790.1        61     -30.2152     -30.2152      0.0000
  QRF01704_ABMN01086741.1        60     -29.8543     -29.8543      0.0000
  QRF01704_DQ325539.1            60     -29.1704     -29.1704      0.0000
  QRF01704_ACNY01000005.1        62     -20.8163     -20.8163      0.0000
  QRF01704_ACNY01000004.1        60     -27.2124     -27.2124      0.0000
  QRF01704_ABVT01000061.1        57     -29.5750     -29.5750      0.0000
  QRF00023_CP001665.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001509.3           363     -16.0363     -16.0363      0.0000
  QRF00023_CP000819.1           363     -16.0363     -16.0363      0.0000
  QRF00023_AM946981.2           363     -16.0363     -16.0363      0.0000
  QRF00023_ADTQ01000184.1       363     -16.0363     -16.0363      0.0000
  QRF00023_ADBT01000188.1       363     -16.0363     -16.0363      0.0000
  QRF00023_FN543093.2           364     -15.5695     -15.5695      0.0000
  QRF00023_AFAG01000033.1       363     -16.0363     -16.0363      0.0000
  QRF00023_AFAF01000014.1       363     -16.0363     -16.0363      0.0000
  QRF00023_ADUS01000034.1       363     -16.0363     -16.0363      0.0000
  QRF00023_U36840.1             363     -16.0363     -16.0363      0.0000
  QRF00023_FN649414.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CU928162.2           363     -16.0363     -16.0363      0.0000
  QRF00023_CU928161.2           363     -16.0363     -16.0363      0.0000
  QRF00023_CU928158.2           363     -16.0363     -16.0363      0.0000
  QRF00023_CU651637.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP003034.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002797.2           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002729.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002516.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002212.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002211.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002185.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP002167.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001969.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001855.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001671.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001637.1           363     -16.0363     -16.0363      0.0000
  QRF00023_CP001396.1           363     -16.0363     -16.0363      0.0000
