# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00434.cm
# date:    Sat May 14 03:29:07 2016
# seed:    1463196547
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  BTE                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:51.83       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.1461     -28.1461      0.0000
  QRF01739_AGJC01000011.1        62     -28.1984     -28.1984      0.0000
  QRF01739_AP012205.1            62     -24.2057     -24.2057      0.0000
  QRF01739_AEPQ01000180.1        85     -19.6256     -19.6256      0.0000
  QRF01739_AACY023065314.1       57     -29.7148     -29.7148      0.0000
  QRF01739_AACY020081009.1       57     -29.7148     -29.7148      0.0000
  QRF01739_ACSK01000180.1        92     -18.6687     -18.6687      0.0000
  QRF01739_BA000039.2           113     -14.3489     -14.3489      0.0000
  QRF01739_AACY023081145.1       53     -24.4161     -24.4161      0.0000
  QRF01739_AFSR01000238.1        99     -16.6458     -16.6458      0.0000
  QRF01739_AGJC01000003.1        76     -17.6498     -17.6498      0.0000
  QRF01739_AFSR01000146.1        92     -24.2081     -24.2081      0.0000
  QRF01739_CACA01000349.1        84     -26.4096     -26.4096      0.0000
  QRF01739_AACY022751187.1       52     -25.2165     -25.2165      0.0000
  QRF01739_AACY022283709.1       52     -25.2165     -25.2165      0.0000
  QRF01739_ABPS01003770.1       123     -17.6767     -17.6767      0.0000
  QRF01739_AFEJ01000345.1        83     -22.2562     -22.2562      0.0000
  QRF00005_CABR01000029.1        73     -17.6804     -17.6804      0.0000
  QRF00005_AFSR01002788.1        74     -22.2996     -22.2996      0.0000
  QRF00005_CP000927.1            72     -11.5302     -11.5302      0.0000
  QRF00005_AY741371.1            72     -21.6595     -21.6595      0.0000
  QRF00005_AEGR01000006.1        73     -16.6382     -16.6382      0.0000
  QRF00005_CP001189.1            73     -15.0753     -15.0753      0.0000
