# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01715.cm
# date:    Fri May 13 21:25:29 2016
# seed:    1463174729
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pedo-repair                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:03.23       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -73.8827     -73.8827      0.0000
  QRF01739_AGJC01000011.1        62     -73.4152     -73.4152      0.0000
  QRF01739_AP012205.1            62     -74.9945     -74.9945      0.0000
  QRF01739_AEPQ01000180.1        85     -61.1135     -61.1135      0.0000
  QRF01739_AACY023065314.1       57     -75.8086     -75.8086      0.0000
  QRF01739_AACY020081009.1       57     -75.8086     -75.8086      0.0000
  QRF01739_ACSK01000180.1        92     -63.8167     -63.8167      0.0000
  QRF01739_BA000039.2           113     -51.3035     -51.3035      0.0000
  QRF01739_AACY023081145.1       53     -80.1737     -80.1737      0.0000
  QRF01739_AFSR01000238.1        99     -70.0308     -70.0308      0.0000
  QRF01739_AGJC01000003.1        76     -69.4613     -69.4613      0.0000
  QRF01739_AFSR01000146.1        92     -69.3784     -69.3784      0.0000
  QRF01739_CACA01000349.1        84     -72.1255     -72.1255      0.0000
  QRF01739_AACY022751187.1       52     -80.0524     -80.0524      0.0000
  QRF01739_AACY022283709.1       52     -80.0524     -80.0524      0.0000
  QRF01739_ABPS01003770.1       123     -51.6411     -51.6411      0.0000
  QRF01739_AFEJ01000345.1        83     -65.6553     -65.6553      0.0000
  QRF00005_CABR01000029.1        73     -73.4772     -73.4772      0.0000
  QRF00005_AFSR01002788.1        74     -71.9371     -71.9371      0.0000
  QRF00005_CP000927.1            72     -68.5782     -68.5782      0.0000
  QRF00005_AY741371.1            72     -74.2655     -74.2655      0.0000
  QRF00005_AEGR01000006.1        73     -74.6202     -74.6202      0.0000
  QRF00005_CP001189.1            73     -71.9825     -71.9825      0.0000
  QRF00005_CP000493.1            72     -66.0514     -66.0514      0.0000
  QRF00005_AP012159.1            73     -71.9825     -71.9825      0.0000
  QRF00005_AM889285.1            73     -71.9825     -71.9825      0.0000
  QRF00005_AGFR01000003.1        73     -69.3330     -69.3330      0.0000
  QRF00005_AFCH01000046.1        73     -71.9825     -71.9825      0.0000
  QRF00005_ADTV01000009.1        73     -71.9825     -71.9825      0.0000
  QRF00005_ABCE01000025.1        73     -71.9650     -71.9650      0.0000
  QRF00005_HM565909.1            72     -72.6431     -72.6431      0.0000
  QRF00005_CAFG01000441.1        73     -76.4398     -76.4398      0.0000
