# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00905.cm
# date:    Sat May 14 01:56:43 2016
# seed:    1463191003
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-789                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:45.66       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -26.2448     -26.2448      0.0000
  QRF01739_AGJC01000011.1        62     -29.1370     -29.1370      0.0000
  QRF01739_AP012205.1            62     -25.8259     -25.8259      0.0000
  QRF01739_AEPQ01000180.1        85     -17.8985     -17.8985      0.0000
  QRF01739_AACY023065314.1       57     -23.0431     -23.0431      0.0000
  QRF01739_AACY020081009.1       57     -23.0431     -23.0431      0.0000
  QRF01739_ACSK01000180.1        92      -9.7023      -9.7023      0.0000
  QRF01739_BA000039.2           113     -15.8017     -15.8017      0.0000
  QRF01739_AACY023081145.1       53     -23.2388     -23.2388      0.0000
  QRF01739_AFSR01000238.1        99      -9.6369      -9.6369      0.0000
  QRF01739_AGJC01000003.1        76     -23.3861     -23.3861      0.0000
  QRF01739_AFSR01000146.1        92     -16.0236     -16.0236      0.0000
  QRF01739_CACA01000349.1        84     -25.0799     -25.0799      0.0000
  QRF01739_AACY022751187.1       52     -22.9484     -22.9484      0.0000
