# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00155.cm
# date:    Fri May 13 23:54:22 2016
# seed:    1463183662
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORA66                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -36.4656     -36.4656      0.0000
  QRF01739_AGJC01000011.1        62     -41.6092     -41.6092      0.0000
  QRF01739_AP012205.1            62     -39.1235     -39.1235      0.0000
  QRF01739_AEPQ01000180.1        85     -34.1847     -34.1847      0.0000
  QRF01739_AACY023065314.1       57     -38.4229     -38.4229      0.0000
  QRF01739_AACY020081009.1       57     -38.4229     -38.4229      0.0000
  QRF01739_ACSK01000180.1        92     -38.5525     -38.5525      0.0000
  QRF01739_BA000039.2           113     -33.5762     -33.5762      0.0000
  QRF01739_AACY023081145.1       53     -48.8970     -48.8970      0.0000
  QRF01739_AFSR01000238.1        99     -29.4843     -29.4843      0.0000
  QRF01739_AGJC01000003.1        76     -40.0988     -40.0988      0.0000
  QRF01739_AFSR01000146.1        92     -34.9305     -34.9305      0.0000
  QRF01739_CACA01000349.1        84     -35.0801     -35.0801      0.0000
  QRF01739_AACY022751187.1       52     -49.8017     -49.8017      0.0000
  QRF01739_AACY022283709.1       52     -49.8017     -49.8017      0.0000
  QRF01739_ABPS01003770.1       123     -18.3483     -18.3483      0.0000
  QRF01739_AFEJ01000345.1        83     -34.7713     -34.7713      0.0000
  QRF00005_CABR01000029.1        73     -44.6869     -44.6869      0.0000
  QRF00005_AFSR01002788.1        74     -41.5828     -41.5828      0.0000
  QRF00005_CP000927.1            72     -42.7466     -42.7466      0.0000
  QRF00005_AY741371.1            72     -42.7892     -42.7892      0.0000
  QRF00005_AEGR01000006.1        73     -41.8780     -41.8780      0.0000
  QRF00005_CP001189.1            73     -38.8860     -38.8860      0.0000
  QRF00005_CP000493.1            72     -41.6477     -41.6477      0.0000
  QRF00005_AP012159.1            73     -38.8860     -38.8860      0.0000
  QRF00005_AM889285.1            73     -38.8860     -38.8860      0.0000
  QRF00005_AGFR01000003.1        73     -41.6160     -41.6160      0.0000
  QRF00005_AFCH01000046.1        73     -38.8860     -38.8860      0.0000
  QRF00005_ADTV01000009.1        73     -38.8860     -38.8860      0.0000
  QRF00005_ABCE01000025.1        73     -41.3744     -41.3744      0.0000
  QRF00005_HM565909.1            72     -41.2626     -41.2626      0.0000
  QRF00005_CAFG01000441.1        73     -41.0976     -41.0976      0.0000
  QRF00005_AACY020656879.1       72     -40.8605     -40.8605      0.0000
  QRF00005_CP001744.1            73     -43.9941     -43.9941      0.0000
  QRF00005_CP000880.1            73     -39.3019     -39.3019      0.0000
  QRF00005_CACD01000012.1        73     -39.3019     -39.3019      0.0000
  QRF00005_CACD01000012.1        73     -39.3019     -39.3019      0.0000
  QRF00005_CACD01000012.1        73     -39.3019     -39.3019      0.0000
  QRF00005_AM849034.1            74     -37.9928     -37.9928      0.0000
  QRF00005_AM711867.1            74     -37.9928     -37.9928      0.0000
  QRF00005_AEQT01000005.1        73     -39.3019     -39.3019      0.0000
  QRF00005_AEQT01000005.1        73     -39.3019     -39.3019      0.0000
  QRF00005_ACDJ01000003.1        73     -39.3019     -39.3019      0.0000
  QRF00005_ABWL02000007.1        73     -39.3019     -39.3019      0.0000
  QRF00005_Z71579.1              73     -41.4944     -41.4944      0.0000
  QRF00005_X53782.1              73     -41.4944     -41.4944      0.0000
  QRF00005_M19391.1              73     -41.4944     -41.4944      0.0000
  QRF00005_M15314.1              73     -41.4944     -41.4944      0.0000
  QRF00005_L42023.1              73     -41.4944     -41.4944      0.0000
  QRF00005_L42023.1              73     -41.4944     -41.4944      0.0000
  QRF00005_L42023.1              73     -41.4944     -41.4944      0.0000
