# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01952.cm
# date:    Sun May  8 20:50:06 2016
# seed:    1462715406
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SOX2OT_exon2               search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73      -9.3774      -9.3774      0.0000
  trna_2                         74     -22.1887     -22.1887      0.0000
  trna_3                         73     -19.4228     -19.4228      0.0000
  trna_4                         72     -20.2716     -20.2716      0.0000
  trna_5                         72     -17.9894     -17.9894      0.0000
  trna_6                         73     -22.0554     -22.0554      0.0000
  trna_7                         73     -18.6173     -18.6173      0.0000
  trna_8                         73     -14.2299     -14.2299      0.0000
  trna_9                         73     -24.4569     -24.4569      0.0000
  trna_10                        72     -19.5805     -19.5805      0.0000
  u5_1                          114      -9.6654      -9.6654      0.0000
  u5_2                          116      -6.2565      -6.2565      0.0000
  u5_3                          118     -10.9131     -10.9131      0.0000
  u5_4                          117     -10.9289     -10.9289      0.0000
  u5_5                          107     -16.9732     -16.9732      0.0000
  u5_6                          116     -12.3638     -12.3638      0.0000
  u5_7                          116     -10.5294     -10.5294      0.0000
  u5_8                          126      -8.0101      -8.0101      0.0000
  u5_9                          115     -13.3540     -13.3540      0.0000
  u5_10                         115     -11.3651     -11.3651      0.0000
  rrtWT_uc011zgd.1_2370         100      -7.9089      -7.9089      0.0000
  rrtWT_uc007ino.1_879          100     -16.1621     -16.1621      0.0000
  rrtWT_uc012dtn.1_1041         100     -12.6771     -12.6771      0.0000
  rrtWT_uc007bjr.2_621          100      -8.7087      -8.7087      0.0000
  rrtWT_uc008hom.1_603          100     -14.8134     -14.8134      0.0000
  rrtWT_uc007wki.1_323          100     -15.9453     -15.9453      0.0000
  rrtWT_uc008fec.1_254          100     -11.4995     -11.4995      0.0000
  rrtWT_uc007wxx.1_716          100      -8.7035      -8.7035      0.0000
  rrtWT_uc009qex.2_2789         100      -6.0012      -6.0012      0.0000
  rrtWT_uc007xbv.1_1165         100     -19.0881     -19.0881      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.41    0.54        0  0.00000    0.00
#
# CPU time: 0.63u 0.00s 00:00:00.63 Elapsed: 00:00:01
