# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01802.cm
# date:    Sat May 14 03:45:30 2016
# seed:    1463197530
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  HSUR                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:05.92       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -41.5019     -41.5019      0.0000
  QRF01739_AGJC01000011.1        62     -40.6364     -40.6364      0.0000
  QRF01739_AP012205.1            62     -37.8740     -37.8740      0.0000
  QRF01739_AEPQ01000180.1        85     -28.6439     -28.6439      0.0000
  QRF01739_AACY023065314.1       57     -38.8031     -38.8031      0.0000
  QRF01739_AACY020081009.1       57     -38.8031     -38.8031      0.0000
  QRF01739_ACSK01000180.1        92     -31.2869     -31.2869      0.0000
  QRF01739_BA000039.2           113     -34.6451     -34.6451      0.0000
  QRF01739_AACY023081145.1       53     -43.8640     -43.8640      0.0000
  QRF01739_AFSR01000238.1        99     -39.0630     -39.0630      0.0000
  QRF01739_AGJC01000003.1        76     -38.7889     -38.7889      0.0000
  QRF01739_AFSR01000146.1        92     -39.7178     -39.7178      0.0000
  QRF01739_CACA01000349.1        84     -41.0229     -41.0229      0.0000
  QRF01739_AACY022751187.1       52     -45.0166     -45.0166      0.0000
  QRF01739_AACY022283709.1       52     -45.0166     -45.0166      0.0000
  QRF01739_ABPS01003770.1       123     -28.0759     -28.0759      0.0000
  QRF01739_AFEJ01000345.1        83     -39.9199     -39.9199      0.0000
  QRF00005_CABR01000029.1        73     -49.9774     -49.9774      0.0000
  QRF00005_AFSR01002788.1        74     -45.3054     -45.3054      0.0000
  QRF00005_CP000927.1            72     -41.5646     -41.5646      0.0000
  QRF00005_AY741371.1            72     -46.0925     -46.0925      0.0000
  QRF00005_AEGR01000006.1        73     -48.0297     -48.0297      0.0000
  QRF00005_CP001189.1            73     -44.3336     -44.3336      0.0000
  QRF00005_CP000493.1            72     -40.7373     -40.7373      0.0000
  QRF00005_AP012159.1            73     -44.3336     -44.3336      0.0000
  QRF00005_AM889285.1            73     -44.3336     -44.3336      0.0000
  QRF00005_AGFR01000003.1        73     -47.0714     -47.0714      0.0000
  QRF00005_AFCH01000046.1        73     -44.3336     -44.3336      0.0000
  QRF00005_ADTV01000009.1        73     -44.3336     -44.3336      0.0000
  QRF00005_ABCE01000025.1        73     -39.0580     -39.0580      0.0000
  QRF00005_HM565909.1            72     -44.0110     -44.0110      0.0000
  QRF00005_CAFG01000441.1        73     -49.5401     -49.5401      0.0000
  QRF00005_AACY020656879.1       72     -43.0584     -43.0584      0.0000
  QRF00005_CP001744.1            73     -47.9486     -47.9486      0.0000
  QRF00005_CP000880.1            73     -45.2972     -45.2972      0.0000
  QRF00005_CACD01000012.1        73     -45.2972     -45.2972      0.0000
  QRF00005_CACD01000012.1        73     -45.2972     -45.2972      0.0000
  QRF00005_CACD01000012.1        73     -45.2972     -45.2972      0.0000
  QRF00005_AM849034.1            74     -34.9246     -34.9246      0.0000
  QRF00005_AM711867.1            74     -34.9246     -34.9246      0.0000
  QRF00005_AEQT01000005.1        73     -45.2972     -45.2972      0.0000
  QRF00005_AEQT01000005.1        73     -45.2972     -45.2972      0.0000
  QRF00005_ACDJ01000003.1        73     -45.2972     -45.2972      0.0000
  QRF00005_ABWL02000007.1        73     -45.2972     -45.2972      0.0000
  QRF00005_Z71579.1              73     -45.8109     -45.8109      0.0000
  QRF00005_X53782.1              73     -45.8109     -45.8109      0.0000
  QRF00005_M19391.1              73     -45.8109     -45.8109      0.0000
  QRF00005_M15314.1              73     -45.8109     -45.8109      0.0000
  QRF00005_L42023.1              73     -45.8109     -45.8109      0.0000
  QRF00005_L42023.1              73     -45.8109     -45.8109      0.0000
  QRF00005_L42023.1              73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670204.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670204.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670204.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670178.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670178.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670178.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ670178.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312006.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312006.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312006.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312002.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312002.1            73     -45.8109     -45.8109      0.0000
  QRF00005_FQ312002.1            73     -45.8109     -45.8109      0.0000
  QRF00005_EF196803.1            73     -45.8109     -45.8109      0.0000
  QRF00005_EF196803.1            73     -45.8109     -45.8109      0.0000
  QRF00005_CP003022.1            73     -45.8109     -45.8109      0.0000
  QRF00001_EU093378.1           119     -35.6694     -35.6694      0.0000
  QRF00001_AAAA02047827.1       119     -36.7376     -36.7376      0.0000
  QRF00001_AAAA02043281.1       119     -41.2499     -41.2499      0.0000
  QRF00001_EF064700.1           119     -35.5684     -35.5684      0.0000
  QRF00001_EF064692.1           119     -35.5684     -35.5684      0.0000
  QRF00001_EF064687.1           119     -35.5684     -35.5684      0.0000
  QRF00001_EF064680.1           119     -35.5684     -35.5684      0.0000
  QRF00001_EF064678.1           119     -35.5684     -35.5684      0.0000
  QRF00001_EF064556.1           119     -35.5684     -35.5684      0.0000
  QRF00001_AJ390135.1           119     -35.5684     -35.5684      0.0000
  QRF00001_HQ270965.1           119     -36.7376     -36.7376      0.0000
  QRF00001_GQ324770.1           119     -36.7376     -36.7376      0.0000
  QRF00001_FJ882503.1           119     -36.7376     -36.7376      0.0000
  QRF00001_AF550740.1           119     -36.7376     -36.7376      0.0000
  QRF00001_HQ270648.1           119     -38.4817     -38.4817      0.0000
  QRF00001_EU924818.1           119     -38.4817     -38.4817      0.0000
  QRF00001_EU093153.1           119     -38.4817     -38.4817      0.0000
  QRF00001_EF524209.1           119     -38.4817     -38.4817      0.0000
  QRF00001_AY316209.1           119     -38.4817     -38.4817      0.0000
