# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00140.cm
# date:    Sat May 14 02:56:14 2016
# seed:    1463194574
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Alpha_RBS                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:35.14       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -24.9064     -24.9064      0.0000
  QRF01739_AGJC01000011.1        62     -24.1559     -24.1559      0.0000
  QRF01739_AP012205.1            62     -20.9939     -20.9939      0.0000
  QRF01739_AEPQ01000180.1        85     -17.0248     -17.0248      0.0000
  QRF01739_AACY023065314.1       57     -32.4551     -32.4551      0.0000
  QRF01739_AACY020081009.1       57     -32.4551     -32.4551      0.0000
  QRF01739_ACSK01000180.1        92     -16.8301     -16.8301      0.0000
  QRF01739_BA000039.2           113     -24.1672     -24.1672      0.0000
  QRF01739_AACY023081145.1       53     -36.0572     -36.0572      0.0000
  QRF01739_AFSR01000238.1        99     -22.0758     -22.0758      0.0000
  QRF01739_AGJC01000003.1        76     -21.3828     -21.3828      0.0000
  QRF01739_AFSR01000146.1        92     -20.3795     -20.3795      0.0000
  QRF01739_CACA01000349.1        84     -22.1408     -22.1408      0.0000
  QRF01739_AACY022751187.1       52     -37.3585     -37.3585      0.0000
  QRF01739_AACY022283709.1       52     -37.3585     -37.3585      0.0000
  QRF01739_ABPS01003770.1       123     -21.5422     -21.5422      0.0000
  QRF01739_AFEJ01000345.1        83     -28.7477     -28.7477      0.0000
  QRF00005_CABR01000029.1        73     -34.5323     -34.5323      0.0000
  QRF00005_AFSR01002788.1        74     -29.4378     -29.4378      0.0000
  QRF00005_CP000927.1            72     -32.2799     -32.2799      0.0000
  QRF00005_AY741371.1            72     -36.1954     -36.1954      0.0000
  QRF00005_AEGR01000006.1        73     -32.3126     -32.3126      0.0000
  QRF00005_CP001189.1            73     -32.1879     -32.1879      0.0000
  QRF00005_CP000493.1            72     -40.4578     -40.4578      0.0000
  QRF00005_AP012159.1            73     -32.1879     -32.1879      0.0000
  QRF00005_AM889285.1            73     -32.1879     -32.1879      0.0000
  QRF00005_AGFR01000003.1        73     -31.0462     -31.0462      0.0000
  QRF00005_AFCH01000046.1        73     -32.1879     -32.1879      0.0000
  QRF00005_ADTV01000009.1        73     -32.1879     -32.1879      0.0000
  QRF00005_ABCE01000025.1        73     -28.5866     -28.5866      0.0000
  QRF00005_HM565909.1            72     -32.9291     -32.9291      0.0000
  QRF00005_CAFG01000441.1        73     -32.3126     -32.3126      0.0000
  QRF00005_AACY020656879.1       72     -33.8851     -33.8851      0.0000
  QRF00005_CP001744.1            73     -32.5629     -32.5629      0.0000
  QRF00005_CP000880.1            73     -31.1018     -31.1018      0.0000
