# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01405.cm
# date:    Sat May 14 00:34:21 2016
# seed:    1463186061
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  STnc490k                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:11.81       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -23.8636     -23.8636      0.0000
  QRF01739_AGJC01000011.1        62     -31.3652     -31.3652      0.0000
  QRF01739_AP012205.1            62     -29.7743     -29.7743      0.0000
  QRF01739_AEPQ01000180.1        85     -31.3965     -31.3965      0.0000
  QRF01739_AACY023065314.1       57     -32.8148     -32.8148      0.0000
  QRF01739_AACY020081009.1       57     -32.8148     -32.8148      0.0000
  QRF01739_ACSK01000180.1        92     -29.0997     -29.0997      0.0000
  QRF01739_BA000039.2           113     -29.3136     -29.3136      0.0000
  QRF01739_AACY023081145.1       53     -30.5752     -30.5752      0.0000
  QRF01739_AFSR01000238.1        99     -29.4970     -29.4970      0.0000
  QRF01739_AGJC01000003.1        76     -32.5057     -32.5057      0.0000
  QRF01739_AFSR01000146.1        92     -26.2496     -26.2496      0.0000
  QRF01739_CACA01000349.1        84     -32.4623     -34.3741      1.9118
  QRF01739_AACY022751187.1       52     -31.8951     -31.8951      0.0000
  QRF01739_AACY022283709.1       52     -31.8951     -31.8951      0.0000
  QRF01739_ABPS01003770.1       123     -18.4369     -18.4369      0.0000
  QRF01739_AFEJ01000345.1        83     -31.9341     -31.9341      0.0000
  QRF00005_CABR01000029.1        73     -32.0928     -32.0928      0.0000
  QRF00005_AFSR01002788.1        74     -29.2656     -29.2656      0.0000
  QRF00005_CP000927.1            72     -29.8438     -29.8438      0.0000
  QRF00005_AY741371.1            72     -30.3984     -30.3984      0.0000
  QRF00005_AEGR01000006.1        73     -35.9126     -35.9126      0.0000
  QRF00005_CP001189.1            73     -29.4460     -29.4460      0.0000
  QRF00005_CP000493.1            72     -30.6441     -30.6441      0.0000
  QRF00005_AP012159.1            73     -29.4460     -29.4460      0.0000
  QRF00005_AM889285.1            73     -29.4460     -29.4460      0.0000
  QRF00005_AGFR01000003.1        73     -27.2900     -27.2900      0.0000
  QRF00005_AFCH01000046.1        73     -29.4460     -29.4460      0.0000
  QRF00005_ADTV01000009.1        73     -29.4460     -29.4460      0.0000
  QRF00005_ABCE01000025.1        73     -30.4198     -30.4198      0.0000
  QRF00005_HM565909.1            72     -32.5885     -32.5885      0.0000
  QRF00005_CAFG01000441.1        73     -31.5304     -31.5304      0.0000
  QRF00005_AACY020656879.1       72     -33.7654     -33.7654      0.0000
