# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00037.cm
# date:    Sun May  8 20:39:41 2016
# seed:    1462714781
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IRE                        search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73      -2.2136      -2.2136      0.0000
  trna_2                         74      -6.2806      -6.2806      0.0000
  trna_3                         73      -3.1339      -3.1339      0.0000
  trna_4                         72      -3.1339      -3.1339      0.0000
  trna_5                         72      -2.6097      -2.6097      0.0000
  trna_6                         73      -2.9797      -2.9797      0.0000
  trna_7                         73      -3.4239      -3.4239      0.0000
  trna_8                         73      -3.4239      -3.4239      0.0000
  trna_9                         73      -9.0609      -9.0609      0.0000
  trna_10                        72      -9.5158      -9.5158      0.0000
  u5_1                          114      -7.0310      -7.0310      0.0000
  u5_2                          116      -5.1059      -5.1059      0.0000
  u5_3                          118      -3.3142      -3.3142      0.0000
  u5_4                          117      -4.2961      -4.2961      0.0000
  u5_5                          107      -5.1059      -5.1059      0.0000
  u5_6                          116      -5.1059      -5.1059      0.0000
  u5_7                          116      -4.5402      -4.5402      0.0000
  u5_8                          126      -4.5402      -4.5402      0.0000
  u5_9                          115      -4.0704      -4.0704      0.0000
  u5_10                         115      -2.6717      -2.6717      0.0000
  rrtWT_uc011zgd.1_2370         100      -6.5872      -6.5872      0.0000
  rrtWT_uc007ino.1_879          100     -11.1724     -11.1724      0.0000
  rrtWT_uc012dtn.1_1041         100      -6.5928      -6.5928      0.0000
  rrtWT_uc007bjr.2_621          100      -0.9689      -0.9689      0.0000
  rrtWT_uc008hom.1_603          100      -8.7949      -8.7949      0.0000
  rrtWT_uc007wki.1_323          100      -5.3210      -5.3210      0.0000
  rrtWT_uc008fec.1_254          100      -8.9964      -8.9964      0.0000
  rrtWT_uc007wxx.1_716          100      -3.0082      -3.0082      0.0000
  rrtWT_uc009qex.2_2789         100      -7.0004      -7.0004      0.0000
  rrtWT_uc007xbv.1_1165         100      -4.9269      -4.9269      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.31    0.29        0  0.00000    0.00
#
# CPU time: 0.40u 0.00s 00:00:00.40 Elapsed: 00:00:00
