# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00865.cm
# date:    Fri May 13 21:07:04 2016
# seed:    1463173624
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR169_5                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:55.23       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -45.0092     -45.0092      0.0000
  QRF01739_AGJC01000011.1        62     -45.2044     -45.2044      0.0000
  QRF01739_AP012205.1            62     -47.7109     -47.7109      0.0000
  QRF01739_AEPQ01000180.1        85     -35.0594     -35.0594      0.0000
  QRF01739_AACY023065314.1       57     -49.7059     -49.7059      0.0000
  QRF01739_AACY020081009.1       57     -49.7059     -49.7059      0.0000
  QRF01739_ACSK01000180.1        92     -35.6949     -35.6949      0.0000
  QRF01739_BA000039.2           113     -29.4284     -29.4284      0.0000
  QRF01739_AACY023081145.1       53     -49.0721     -49.0721      0.0000
  QRF01739_AFSR01000238.1        99     -35.3623     -35.3623      0.0000
  QRF01739_AGJC01000003.1        76     -36.3732     -36.3732      0.0000
  QRF01739_AFSR01000146.1        92     -39.0503     -39.0503      0.0000
  QRF01739_CACA01000349.1        84     -41.0017     -41.0017      0.0000
  QRF01739_AACY022751187.1       52     -51.5642     -51.5642      0.0000
  QRF01739_AACY022283709.1       52     -51.5642     -51.5642      0.0000
  QRF01739_ABPS01003770.1       123     -31.9564     -31.9564      0.0000
  QRF01739_AFEJ01000345.1        83     -37.9183     -37.9183      0.0000
  QRF00005_CABR01000029.1        73     -42.1020     -42.1020      0.0000
  QRF00005_AFSR01002788.1        74     -29.0635     -29.0635      0.0000
  QRF00005_CP000927.1            72     -37.9541     -37.9541      0.0000
  QRF00005_AY741371.1            72     -43.5982     -43.5982      0.0000
  QRF00005_AEGR01000006.1        73     -39.1434     -39.1434      0.0000
  QRF00005_CP001189.1            73     -35.2001     -35.2001      0.0000
  QRF00005_CP000493.1            72     -50.0555     -50.0555      0.0000
  QRF00005_AP012159.1            73     -35.2001     -35.2001      0.0000
  QRF00005_AM889285.1            73     -35.2001     -35.2001      0.0000
  QRF00005_AGFR01000003.1        73     -40.0809     -40.0809      0.0000
  QRF00005_AFCH01000046.1        73     -35.2001     -35.2001      0.0000
  QRF00005_ADTV01000009.1        73     -35.2001     -35.2001      0.0000
  QRF00005_ABCE01000025.1        73     -36.2251     -36.2251      0.0000
  QRF00005_HM565909.1            72     -40.6068     -40.6068      0.0000
  QRF00005_CAFG01000441.1        73     -41.4404     -41.4404      0.0000
  QRF00005_AACY020656879.1       72     -39.5911     -39.5911      0.0000
  QRF00005_CP001744.1            73     -34.1156     -34.1156      0.0000
  QRF00005_CP000880.1            73     -41.2105     -41.2105      0.0000
  QRF00005_CACD01000012.1        73     -41.2105     -41.2105      0.0000
  QRF00005_CACD01000012.1        73     -41.2105     -41.2105      0.0000
  QRF00005_CACD01000012.1        73     -41.2105     -41.2105      0.0000
  QRF00005_AM849034.1            74     -34.4385     -34.4385      0.0000
