# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01562.cm
# date:    Sat May 14 01:14:47 2016
# seed:    1463188487
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  DdR12                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:20.52       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -26.9700     -26.9700      0.0000
  QRF01739_AGJC01000011.1        62     -28.7961     -28.7961      0.0000
  QRF01739_AP012205.1            62     -24.2398     -24.2398      0.0000
  QRF01739_AEPQ01000180.1        85     -19.7937     -19.7937      0.0000
  QRF01739_AACY023065314.1       57     -14.8557     -14.8557      0.0000
  QRF01739_AACY020081009.1       57     -14.8557     -14.8557      0.0000
  QRF01739_ACSK01000180.1        92     -20.4516     -20.4516      0.0000
  QRF01739_BA000039.2           113     -21.8921     -21.8921      0.0000
  QRF01739_AACY023081145.1       53     -30.4430     -30.4430      0.0000
  QRF01739_AFSR01000238.1        99     -22.9237     -22.9237      0.0000
  QRF01739_AGJC01000003.1        76     -24.6865     -24.6865      0.0000
  QRF01739_AFSR01000146.1        92     -25.3695     -25.3695      0.0000
  QRF01739_CACA01000349.1        84     -22.2763     -22.2763      0.0000
  QRF01739_AACY022751187.1       52     -23.5320     -23.5320      0.0000
  QRF01739_AACY022283709.1       52     -23.5320     -23.5320      0.0000
  QRF01739_ABPS01003770.1       123     -19.4755     -19.4755      0.0000
  QRF01739_AFEJ01000345.1        83     -28.8186     -28.8186      0.0000
  QRF00005_CABR01000029.1        73     -27.1324     -27.1324      0.0000
  QRF00005_AFSR01002788.1        74     -26.4523     -26.4523      0.0000
  QRF00005_CP000927.1            72     -24.8063     -24.8063      0.0000
  QRF00005_AY741371.1            72     -27.3316     -27.3316      0.0000
  QRF00005_AEGR01000006.1        73     -25.5295     -25.5295      0.0000
  QRF00005_CP001189.1            73     -26.4668     -26.4668      0.0000
  QRF00005_CP000493.1            72     -38.3567     -38.3567      0.0000
  QRF00005_AP012159.1            73     -26.4668     -26.4668      0.0000
  QRF00005_AM889285.1            73     -26.4668     -26.4668      0.0000
  QRF00005_AGFR01000003.1        73     -26.0010     -26.0010      0.0000
  QRF00005_AFCH01000046.1        73     -26.4668     -26.4668      0.0000
  QRF00005_ADTV01000009.1        73     -26.4668     -26.4668      0.0000
  QRF00005_ABCE01000025.1        73     -29.9174     -29.9174      0.0000
  QRF00005_HM565909.1            72     -23.9883     -23.9883      0.0000
  QRF00005_CAFG01000441.1        73     -23.0524     -23.0524      0.0000
  QRF00005_AACY020656879.1       72     -26.0943     -26.0943      0.0000
  QRF00005_CP001744.1            73     -28.4191     -28.4191      0.0000
  QRF00005_CP000880.1            73     -20.6535     -20.6535      0.0000
  QRF00005_CACD01000012.1        73     -20.6535     -20.6535      0.0000
  QRF00005_CACD01000012.1        73     -20.6535     -20.6535      0.0000
  QRF00005_CACD01000012.1        73     -20.6535     -20.6535      0.0000
  QRF00005_AM849034.1            74     -22.0135     -22.0135      0.0000
  QRF00005_AM711867.1            74     -22.0135     -22.0135      0.0000
  QRF00005_AEQT01000005.1        73     -20.6535     -20.6535      0.0000
  QRF00005_AEQT01000005.1        73     -20.6535     -20.6535      0.0000
  QRF00005_ACDJ01000003.1        73     -20.6535     -20.6535      0.0000
  QRF00005_ABWL02000007.1        73     -20.6535     -20.6535      0.0000
  QRF00005_Z71579.1              73     -25.7507     -25.7507      0.0000
  QRF00005_X53782.1              73     -25.7507     -25.7507      0.0000
  QRF00005_M19391.1              73     -25.7507     -25.7507      0.0000
  QRF00005_M15314.1              73     -25.7507     -25.7507      0.0000
  QRF00005_L42023.1              73     -25.7507     -25.7507      0.0000
  QRF00005_L42023.1              73     -25.7507     -25.7507      0.0000
  QRF00005_L42023.1              73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670204.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670204.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670204.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670178.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670178.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670178.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ670178.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312006.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312006.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312006.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312002.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312002.1            73     -25.7507     -25.7507      0.0000
  QRF00005_FQ312002.1            73     -25.7507     -25.7507      0.0000
  QRF00005_EF196803.1            73     -25.7507     -25.7507      0.0000
  QRF00005_EF196803.1            73     -25.7507     -25.7507      0.0000
  QRF00005_CP003022.1            73     -25.7507     -25.7507      0.0000
  QRF00001_EU093378.1           119     -26.9401     -26.9401      0.0000
  QRF00001_AAAA02047827.1       119     -27.7428     -27.7428      0.0000
  QRF00001_AAAA02043281.1       119     -26.5001     -26.5001      0.0000
  QRF00001_EF064700.1           119     -24.0648     -24.0648      0.0000
  QRF00001_EF064692.1           119     -24.0648     -24.0648      0.0000
  QRF00001_EF064687.1           119     -24.0648     -24.0648      0.0000
  QRF00001_EF064680.1           119     -24.0648     -24.0648      0.0000
  QRF00001_EF064678.1           119     -24.0648     -24.0648      0.0000
  QRF00001_EF064556.1           119     -24.0648     -24.0648      0.0000
  QRF00001_AJ390135.1           119     -24.0648     -24.0648      0.0000
  QRF00001_HQ270965.1           119     -27.7428     -27.7428      0.0000
  QRF00001_GQ324770.1           119     -27.7428     -27.7428      0.0000
  QRF00001_FJ882503.1           119     -27.7428     -27.7428      0.0000
