# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01580.cm
# date:    Sat May 14 01:50:55 2016
# seed:    1463190655
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RUF3                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:38.93       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -78.1711     -78.1711      0.0000
  QRF01739_AGJC01000011.1        62     -77.7348     -77.7348      0.0000
  QRF01739_AP012205.1            62     -77.3248     -77.3248      0.0000
  QRF01739_AEPQ01000180.1        85     -61.8093     -61.8093      0.0000
  QRF01739_AACY023065314.1       57     -76.4720     -76.4720      0.0000
  QRF01739_AACY020081009.1       57     -76.4720     -76.4720      0.0000
  QRF01739_ACSK01000180.1        92     -63.7380     -63.7380      0.0000
  QRF01739_BA000039.2           113     -52.8746     -52.8746      0.0000
  QRF01739_AACY023081145.1       53     -84.7234     -84.7234      0.0000
  QRF01739_AFSR01000238.1        99     -64.0640     -64.0640      0.0000
  QRF01739_AGJC01000003.1        76     -64.6975     -64.6975      0.0000
  QRF01739_AFSR01000146.1        92     -68.3925     -68.3925      0.0000
  QRF01739_CACA01000349.1        84     -73.4299     -73.4299      0.0000
  QRF01739_AACY022751187.1       52     -85.6718     -85.6718      0.0000
  QRF01739_AACY022283709.1       52     -85.6718     -85.6718      0.0000
  QRF01739_ABPS01003770.1       123     -59.5350     -59.5350      0.0000
  QRF01739_AFEJ01000345.1        83     -70.4590     -70.4590      0.0000
  QRF00005_CABR01000029.1        73     -79.9660     -79.9660      0.0000
  QRF00005_AFSR01002788.1        74     -78.1693     -78.1693      0.0000
  QRF00005_CP000927.1            72     -78.1165     -78.1165      0.0000
  QRF00005_AY741371.1            72     -77.9473     -77.9473      0.0000
  QRF00005_AEGR01000006.1        73     -80.5073     -80.5073      0.0000
  QRF00005_CP001189.1            73     -77.0871     -77.0871      0.0000
  QRF00005_CP000493.1            72     -81.6090     -81.6090      0.0000
  QRF00005_AP012159.1            73     -77.0871     -77.0871      0.0000
  QRF00005_AM889285.1            73     -77.0871     -77.0871      0.0000
  QRF00005_AGFR01000003.1        73     -73.3870     -73.3870      0.0000
  QRF00005_AFCH01000046.1        73     -77.0871     -77.0871      0.0000
  QRF00005_ADTV01000009.1        73     -77.0871     -77.0871      0.0000
  QRF00005_ABCE01000025.1        73     -79.5755     -79.5755      0.0000
  QRF00005_HM565909.1            72     -76.4708     -76.4708      0.0000
  QRF00005_CAFG01000441.1        73     -80.0493     -80.0493      0.0000
  QRF00005_AACY020656879.1       72     -77.4425     -77.4425      0.0000
  QRF00005_CP001744.1            73     -77.5467     -77.5467      0.0000
  QRF00005_CP000880.1            73     -73.7598     -73.7598      0.0000
  QRF00005_CACD01000012.1        73     -73.7598     -73.7598      0.0000
  QRF00005_CACD01000012.1        73     -73.7598     -73.7598      0.0000
  QRF00005_CACD01000012.1        73     -73.7598     -73.7598      0.0000
  QRF00005_AM849034.1            74     -74.7732     -74.7732      0.0000
  QRF00005_AM711867.1            74     -74.7732     -74.7732      0.0000
  QRF00005_AEQT01000005.1        73     -73.7598     -73.7598      0.0000
  QRF00005_AEQT01000005.1        73     -73.7598     -73.7598      0.0000
  QRF00005_ACDJ01000003.1        73     -73.7598     -73.7598      0.0000
  QRF00005_ABWL02000007.1        73     -73.7598     -73.7598      0.0000
  QRF00005_Z71579.1              73     -74.5943     -74.5943      0.0000
  QRF00005_X53782.1              73     -74.5943     -74.5943      0.0000
  QRF00005_M19391.1              73     -74.5943     -74.5943      0.0000
  QRF00005_M15314.1              73     -74.5943     -74.5943      0.0000
  QRF00005_L42023.1              73     -74.5943     -74.5943      0.0000
  QRF00005_L42023.1              73     -74.5943     -74.5943      0.0000
  QRF00005_L42023.1              73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670204.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670204.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670204.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670178.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670178.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670178.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ670178.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312006.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312006.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312006.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312002.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312002.1            73     -74.5943     -74.5943      0.0000
  QRF00005_FQ312002.1            73     -74.5943     -74.5943      0.0000
  QRF00005_EF196803.1            73     -74.5943     -74.5943      0.0000
  QRF00005_EF196803.1            73     -74.5943     -74.5943      0.0000
