# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01387.cm
# date:    Sat May 14 04:15:12 2016
# seed:    1463199312
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  isrC                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:05.27       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -32.2911     -32.2911      0.0000
  QRF01739_AGJC01000011.1        62     -39.0454     -39.0454      0.0000
  QRF01739_AP012205.1            62     -33.0952     -33.0952      0.0000
  QRF01739_AEPQ01000180.1        85     -30.6083     -30.6083      0.0000
  QRF01739_AACY023065314.1       57     -28.5938     -28.5938      0.0000
  QRF01739_AACY020081009.1       57     -28.5938     -28.5938      0.0000
  QRF01739_ACSK01000180.1        92     -31.5619     -31.5619      0.0000
  QRF01739_BA000039.2           113     -25.9283     -25.9283      0.0000
  QRF01739_AACY023081145.1       53     -38.8658     -38.8658      0.0000
  QRF01739_AFSR01000238.1        99     -31.3884     -31.3884      0.0000
  QRF01739_AGJC01000003.1        76     -27.4172     -27.4172      0.0000
  QRF01739_AFSR01000146.1        92     -30.8880     -30.8880      0.0000
  QRF01739_CACA01000349.1        84     -37.3680     -37.3680      0.0000
  QRF01739_AACY022751187.1       52     -41.4716     -41.4716      0.0000
  QRF01739_AACY022283709.1       52     -41.4716     -41.4716      0.0000
  QRF01739_ABPS01003770.1       123     -23.7370     -23.7370      0.0000
  QRF01739_AFEJ01000345.1        83     -28.4139     -28.4139      0.0000
  QRF00005_CABR01000029.1        73     -38.3387     -38.3387      0.0000
  QRF00005_AFSR01002788.1        74     -31.2336     -31.2336      0.0000
  QRF00005_CP000927.1            72     -34.9238     -34.9238      0.0000
  QRF00005_AY741371.1            72     -31.6652     -31.6652      0.0000
  QRF00005_AEGR01000006.1        73     -41.2601     -41.2601      0.0000
  QRF00005_CP001189.1            73     -33.7467     -33.7467      0.0000
  QRF00005_CP000493.1            72     -38.0988     -38.0988      0.0000
  QRF00005_AP012159.1            73     -33.7467     -33.7467      0.0000
  QRF00005_AM889285.1            73     -33.7467     -33.7467      0.0000
  QRF00005_AGFR01000003.1        73     -36.0863     -36.0863      0.0000
  QRF00005_AFCH01000046.1        73     -33.7467     -33.7467      0.0000
  QRF00005_ADTV01000009.1        73     -33.7467     -33.7467      0.0000
  QRF00005_ABCE01000025.1        73     -38.1370     -38.1370      0.0000
  QRF00005_HM565909.1            72     -33.5993     -33.5993      0.0000
  QRF00005_CAFG01000441.1        73     -41.2601     -41.2601      0.0000
  QRF00005_AACY020656879.1       72     -34.7669     -34.7669      0.0000
  QRF00005_CP001744.1            73     -36.2720     -37.4915      1.2195
