# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00475.cm
# date:    Fri May 13 23:45:52 2016
# seed:    1463183152
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snosnR69                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.11       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -21.9452     -21.9452      0.0000
  QRF01739_AGJC01000011.1        62     -31.2943     -31.2943      0.0000
  QRF01739_AP012205.1            62     -23.8016     -23.8016      0.0000
  QRF01739_AEPQ01000180.1        85     -21.1795     -21.1795      0.0000
  QRF01739_AACY023065314.1       57     -30.4275     -30.4275      0.0000
  QRF01739_AACY020081009.1       57     -30.4275     -30.4275      0.0000
  QRF01739_ACSK01000180.1        92     -25.3092     -25.3092      0.0000
  QRF01739_BA000039.2           113      -8.0620      -8.0620      0.0000
  QRF01739_AACY023081145.1       53     -33.4940     -33.4940      0.0000
  QRF01739_AFSR01000238.1        99     -27.9256     -27.9256      0.0000
  QRF01739_AGJC01000003.1        76     -26.1399     -26.1399      0.0000
  QRF01739_AFSR01000146.1        92     -33.6542     -33.6542      0.0000
  QRF01739_CACA01000349.1        84     -26.4162     -26.4162      0.0000
  QRF01739_AACY022751187.1       52     -30.2145     -30.2145      0.0000
  QRF01739_AACY022283709.1       52     -30.2145     -30.2145      0.0000
  QRF01739_ABPS01003770.1       123     -21.4702     -21.4702      0.0000
  QRF01739_AFEJ01000345.1        83     -29.8420     -29.8420      0.0000
  QRF00005_CABR01000029.1        73     -35.8598     -35.8598      0.0000
  QRF00005_AFSR01002788.1        74     -36.3286     -36.3286      0.0000
  QRF00005_CP000927.1            72     -37.3399     -37.3399      0.0000
  QRF00005_AY741371.1            72     -36.8601     -36.8601      0.0000
  QRF00005_AEGR01000006.1        73     -37.0415     -37.0415      0.0000
  QRF00005_CP001189.1            73     -37.5505     -37.5505      0.0000
  QRF00005_CP000493.1            72     -44.1357     -44.1357      0.0000
  QRF00005_AP012159.1            73     -37.5505     -37.5505      0.0000
  QRF00005_AM889285.1            73     -37.5505     -37.5505      0.0000
  QRF00005_AGFR01000003.1        73     -34.3444     -34.3444      0.0000
  QRF00005_AFCH01000046.1        73     -37.5505     -37.5505      0.0000
  QRF00005_ADTV01000009.1        73     -37.5505     -37.5505      0.0000
  QRF00005_ABCE01000025.1        73     -37.8899     -37.8899      0.0000
