# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00184.cm
# date:    Sun May  8 20:39:40 2016
# seed:    1462714780
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PVX_3                      search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.20       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -18.7990     -18.7990      0.0000
  trna_2                         74      -4.9689      -4.9689      0.0000
  trna_3                         73     -22.0701     -22.0701      0.0000
  trna_4                         72     -19.5376     -19.5376      0.0000
  trna_5                         72     -12.8649     -12.8649      0.0000
  trna_6                         73     -14.1629     -14.1629      0.0000
  trna_7                         73     -19.0759     -19.0759      0.0000
  trna_8                         73     -18.3784     -18.3784      0.0000
  trna_9                         73     -13.4080     -13.4080      0.0000
  trna_10                        72     -11.3087     -11.3087      0.0000
  u5_1                          114     -10.2005     -10.2005      0.0000
  u5_2                          116      -4.9854      -4.9854      0.0000
  u5_3                          118     -12.9868     -12.9868      0.0000
  u5_4                          117      -2.2684      -2.2684      0.0000
  u5_5                          107     -14.5869     -14.5869      0.0000
  u5_6                          116      -5.8453      -5.8453      0.0000
  u5_7                          116      -7.8851      -7.8851      0.0000
  u5_8                          126     -12.3539     -12.3539      0.0000
  u5_9                          115      -6.4134      -6.4134      0.0000
  u5_10                         115     -10.6975     -10.6975      0.0000
  rrtWT_uc011zgd.1_2370         100      -8.1858      -8.1858      0.0000
  rrtWT_uc007ino.1_879          100     -16.5392     -16.5392      0.0000
  rrtWT_uc012dtn.1_1041         100      -6.8233      -6.8233      0.0000
  rrtWT_uc007bjr.2_621          100      -8.9819      -8.9819      0.0000
  rrtWT_uc008hom.1_603          100      -4.0638      -4.0638      0.0000
  rrtWT_uc007wki.1_323          100     -15.8337     -15.8337      0.0000
  rrtWT_uc008fec.1_254          100     -16.7039     -16.7039      0.0000
  rrtWT_uc007wxx.1_716          100      -8.6859      -8.6859      0.0000
  rrtWT_uc009qex.2_2789         100      -6.3500      -6.3500      0.0000
  rrtWT_uc007xbv.1_1165         100      -9.8011      -9.8011      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.46    0.43        0  0.00000    0.00
#
# CPU time: 0.66u 0.01s 00:00:00.67 Elapsed: 00:00:01
