# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00617.cm
# date:    Fri May 13 23:20:14 2016
# seed:    1463181614
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  cHP                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:13.40       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -13.5662     -13.5662      0.0000
  QRF01739_AGJC01000011.1        62      -4.0382      -4.0382      0.0000
  QRF01739_AP012205.1            62     -15.8430     -15.8430      0.0000
  QRF01739_AEPQ01000180.1        85      -6.0747      -6.0747      0.0000
  QRF01739_AACY023065314.1       57     -11.2406     -11.2406      0.0000
  QRF01739_AACY020081009.1       57     -11.2406     -11.2406      0.0000
  QRF01739_ACSK01000180.1        92     -20.2872     -20.2872      0.0000
  QRF01739_BA000039.2           113     -16.9129     -16.9129      0.0000
  QRF01739_AACY023081145.1       53     -14.7356     -14.7356      0.0000
  QRF01739_AFSR01000238.1        99     -15.6673     -15.6673      0.0000
  QRF01739_AGJC01000003.1        76      -9.9315      -9.9315      0.0000
  QRF01739_AFSR01000146.1        92     -15.6077     -15.6077      0.0000
  QRF01739_CACA01000349.1        84     -16.4899     -16.4899      0.0000
  QRF01739_AACY022751187.1       52     -20.4146     -20.4146      0.0000
  QRF01739_AACY022283709.1       52     -20.4146     -20.4146      0.0000
  QRF01739_ABPS01003770.1       123     -17.3109     -17.3109      0.0000
  QRF01739_AFEJ01000345.1        83     -17.8342     -17.8342      0.0000
  QRF00005_CABR01000029.1        73     -12.5617     -12.5617      0.0000
  QRF00005_AFSR01002788.1        74     -12.2977     -12.2977      0.0000
  QRF00005_CP000927.1            72     -14.5427     -14.5427      0.0000
  QRF00005_AY741371.1            72     -13.2005     -13.2005      0.0000
  QRF00005_AEGR01000006.1        73     -12.5617     -12.5617      0.0000
  QRF00005_CP001189.1            73     -14.5427     -14.5427      0.0000
  QRF00005_CP000493.1            72     -13.7597     -13.7597      0.0000
  QRF00005_AP012159.1            73     -14.5427     -14.5427      0.0000
  QRF00005_AM889285.1            73     -14.5427     -14.5427      0.0000
  QRF00005_AGFR01000003.1        73     -14.5427     -14.5427      0.0000
  QRF00005_AFCH01000046.1        73     -14.5427     -14.5427      0.0000
  QRF00005_ADTV01000009.1        73     -14.5427     -14.5427      0.0000
  QRF00005_ABCE01000025.1        73     -12.8844     -12.8844      0.0000
  QRF00005_HM565909.1            72     -11.1987     -11.1987      0.0000
  QRF00005_CAFG01000441.1        73     -12.5617     -12.5617      0.0000
  QRF00005_AACY020656879.1       72     -18.2016     -18.2016      0.0000
  QRF00005_CP001744.1            73     -13.1247     -13.1247      0.0000
  QRF00005_CP000880.1            73     -16.0762     -16.0762      0.0000
  QRF00005_CACD01000012.1        73     -16.0762     -16.0762      0.0000
  QRF00005_CACD01000012.1        73     -16.0762     -16.0762      0.0000
  QRF00005_CACD01000012.1        73     -16.0762     -16.0762      0.0000
  QRF00005_AM849034.1            74     -10.2183     -10.2183      0.0000
  QRF00005_AM711867.1            74     -10.2183     -10.2183      0.0000
  QRF00005_AEQT01000005.1        73     -16.0762     -16.0762      0.0000
  QRF00005_AEQT01000005.1        73     -16.0762     -16.0762      0.0000
  QRF00005_ACDJ01000003.1        73     -16.0762     -16.0762      0.0000
  QRF00005_ABWL02000007.1        73     -16.0762     -16.0762      0.0000
  QRF00005_Z71579.1              73     -12.5617     -12.5617      0.0000
  QRF00005_X53782.1              73     -12.5617     -12.5617      0.0000
  QRF00005_M19391.1              73     -12.5617     -12.5617      0.0000
  QRF00005_M15314.1              73     -12.5617     -12.5617      0.0000
  QRF00005_L42023.1              73     -12.5617     -12.5617      0.0000
  QRF00005_L42023.1              73     -12.5617     -12.5617      0.0000
  QRF00005_L42023.1              73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670204.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670204.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670204.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670178.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670178.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670178.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ670178.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312006.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312006.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312006.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312002.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312002.1            73     -12.5617     -12.5617      0.0000
  QRF00005_FQ312002.1            73     -12.5617     -12.5617      0.0000
  QRF00005_EF196803.1            73     -12.5617     -12.5617      0.0000
  QRF00005_EF196803.1            73     -12.5617     -12.5617      0.0000
  QRF00005_CP003022.1            73     -12.5617     -12.5617      0.0000
  QRF00001_EU093378.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AAAA02047827.1       119     -14.6733     -14.6733      0.0000
  QRF00001_AAAA02043281.1       119     -14.6733     -14.6733      0.0000
  QRF00001_EF064700.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF064692.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF064687.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF064680.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF064678.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF064556.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AJ390135.1           119     -14.6733     -14.6733      0.0000
  QRF00001_HQ270965.1           119     -14.6733     -14.6733      0.0000
  QRF00001_GQ324770.1           119     -14.6733     -14.6733      0.0000
  QRF00001_FJ882503.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AF550740.1           119     -14.6733     -14.6733      0.0000
  QRF00001_HQ270648.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU924818.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU093153.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EF524209.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AY316209.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AY034674.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AJ409525.1           119     -14.6733     -14.6733      0.0000
  QRF00001_AF550715.1           119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01010155.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009775.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009775.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009775.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009135.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009119.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01009117.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005845.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005845.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005844.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005841.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005839.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005838.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005838.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005835.1       119     -14.6733     -14.6733      0.0000
  QRF00001_ABXC01005835.1       119     -14.6733     -14.6733      0.0000
  QRF00001_AAAA02039752.1       119     -14.6733     -14.6733      0.0000
  QRF00001_EU925066.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU093209.1           119     -14.6733     -14.6733      0.0000
  QRF00001_U02637.1             119     -14.6733     -14.6733      0.0000
  QRF00001_EU439291.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439286.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439284.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439282.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439280.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439279.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439278.1           119     -14.6733     -14.6733      0.0000
  QRF00001_EU439277.1           119     -14.6733     -14.6733      0.0000
  QRF01704_ACNY01000005.1        62     -17.9587     -17.9587      0.0000
  QRF01704_ADXL01000065.1        61     -17.9587     -17.9587      0.0000
  QRF01704_ADXL01000046.1        61     -17.9587     -17.9587      0.0000
  QRF01704_ADHP01001127.1        63     -16.2414     -16.2414      0.0000
  QRF01704_ADXM01000029.1        71     -17.9587     -17.9587      0.0000
  QRF01704_FJ869257.1            62     -17.9587     -17.9587      0.0000
  QRF01704_BX569692.1            62     -17.9587     -17.9587      0.0000
  QRF01704_AACY023835177.1       64     -19.0392     -19.0392      0.0000
  QRF01704_ACNY01000003.1        61     -17.0570     -17.0570      0.0000
  QRF01704_AACY020212823.1       62     -13.0742     -13.0742      0.0000
  QRF01704_GQ237222.1            58     -19.2263     -19.2263      0.0000
  QRF01704_ADHP01000860.1        64     -16.5819     -16.5819      0.0000
  QRF01704_AACY020313707.1       62     -17.9587     -17.9587      0.0000
  QRF01704_ACDW01000004.1        62     -14.6506     -14.6506      0.0000
  QRF01704_AACY022014507.1       62     -14.6506     -14.6506      0.0000
  QRF01704_ADHP01000878.1        59     -14.2572     -14.2572      0.0000
  QRF01704_AACY022415810.1       58     -14.2572     -14.2572      0.0000
  QRF01704_AACY020575673.1       58     -14.2572     -14.2572      0.0000
  QRF01704_ACNY01000005.1        59     -19.6825     -19.6825      0.0000
  QRF01704_ADHP01000854.1        63     -17.7754     -17.7754      0.0000
  QRF01704_GU936714.1            59     -22.6714     -22.6714      0.0000
  QRF01704_AACY021622950.1       62     -13.8271     -13.8271      0.0000
  QRF01704_CP000825.1            58     -14.2572     -14.2572      0.0000
  QRF01704_EU795157.1            64     -15.5996     -15.5996      0.0000
  QRF01704_ABVN01004790.1        61     -19.0392     -19.0392      0.0000
  QRF01704_ABMN01086741.1        60     -18.0379     -18.0379      0.0000
  QRF01704_DQ325539.1            60     -21.5785     -21.5785      0.0000
  QRF01704_ACNY01000005.1        62     -15.7552     -15.7552      0.0000
  QRF01704_ACNY01000004.1        60     -17.8507     -17.8507      0.0000
  QRF01704_ABVT01000061.1        57     -15.2844     -15.2844      0.0000
  QRF00023_CP001665.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001509.3           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000819.1           363     -10.8582     -10.8582      0.0000
  QRF00023_AM946981.2           363     -10.8582     -10.8582      0.0000
  QRF00023_ADTQ01000184.1       363     -10.8582     -10.8582      0.0000
  QRF00023_ADBT01000188.1       363     -10.8582     -10.8582      0.0000
  QRF00023_FN543093.2           364     -10.8582     -10.8582      0.0000
  QRF00023_AFAG01000033.1       363     -10.8582     -10.8582      0.0000
  QRF00023_AFAF01000014.1       363     -10.8582     -10.8582      0.0000
  QRF00023_ADUS01000034.1       363     -10.8582     -10.8582      0.0000
  QRF00023_U36840.1             363     -10.8582     -10.8582      0.0000
  QRF00023_FN649414.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CU928162.2           363     -10.8582     -10.8582      0.0000
  QRF00023_CU928161.2           363     -10.8582     -10.8582      0.0000
  QRF00023_CU928158.2           363     -10.8582     -10.8582      0.0000
  QRF00023_CU651637.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP003034.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002797.2           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002729.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002516.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002212.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002211.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002185.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP002167.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001969.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001855.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001671.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001637.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001396.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP001383.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000970.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000948.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000802.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000243.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CP000038.1           363     -10.8582     -10.8582      0.0000
  QRF00023_CAFL01000074.1       363     -10.8582     -10.8582      0.0000
  QRF00023_CADZ01000057.1       363     -10.8582     -10.8582      0.0000
  QRF00023_BAAV01002786.1       363     -10.8582     -10.8582      0.0000
