# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01090.cm
# date:    Sat May 14 05:00:30 2016
# seed:    1463202030
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RF_site4                   search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:15.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -6.8884      -6.8884      0.0000
  QRF01739_AGJC01000011.1        62     -12.4791     -12.4791      0.0000
  QRF01739_AP012205.1            62     -15.4433     -15.4433      0.0000
  QRF01739_AEPQ01000180.1        85      -9.7350      -9.7350      0.0000
  QRF01739_AACY023065314.1       57     -16.6910     -16.6910      0.0000
  QRF01739_AACY020081009.1       57     -16.6910     -16.6910      0.0000
  QRF01739_ACSK01000180.1        92     -12.4807     -12.4807      0.0000
  QRF01739_BA000039.2           113     -10.5215     -10.5215      0.0000
  QRF01739_AACY023081145.1       53     -14.5007     -14.5007      0.0000
  QRF01739_AFSR01000238.1        99     -12.4762     -12.4762      0.0000
  QRF01739_AGJC01000003.1        76     -10.0943     -10.0943      0.0000
  QRF01739_AFSR01000146.1        92     -15.7270     -15.7270      0.0000
  QRF01739_CACA01000349.1        84     -17.5351     -17.5351      0.0000
  QRF01739_AACY022751187.1       52     -12.6057     -12.6057      0.0000
  QRF01739_AACY022283709.1       52     -12.6057     -12.6057      0.0000
  QRF01739_ABPS01003770.1       123     -10.6604     -10.6604      0.0000
  QRF01739_AFEJ01000345.1        83     -17.2517     -17.2517      0.0000
  QRF00005_CABR01000029.1        73     -16.8219     -16.8219      0.0000
  QRF00005_AFSR01002788.1        74      -9.7106      -9.7106      0.0000
  QRF00005_CP000927.1            72     -11.6018     -11.6018      0.0000
  QRF00005_AY741371.1            72      -9.6316      -9.6316      0.0000
  QRF00005_AEGR01000006.1        73     -13.0234     -13.0234      0.0000
  QRF00005_CP001189.1            73      -9.6621      -9.6621      0.0000
  QRF00005_CP000493.1            72     -16.5764     -16.5764      0.0000
  QRF00005_AP012159.1            73      -9.6621      -9.6621      0.0000
  QRF00005_AM889285.1            73      -9.6621      -9.6621      0.0000
  QRF00005_AGFR01000003.1        73     -13.3881     -13.3881      0.0000
  QRF00005_AFCH01000046.1        73      -9.6621      -9.6621      0.0000
  QRF00005_ADTV01000009.1        73      -9.6621      -9.6621      0.0000
  QRF00005_ABCE01000025.1        73     -11.4024     -11.4024      0.0000
  QRF00005_HM565909.1            72      -9.6316      -9.6316      0.0000
  QRF00005_CAFG01000441.1        73     -15.5064     -15.5064      0.0000
  QRF00005_AACY020656879.1       72      -7.1296      -7.1296      0.0000
  QRF00005_CP001744.1            73     -13.7179     -13.7179      0.0000
  QRF00005_CP000880.1            73     -12.5960     -12.5960      0.0000
  QRF00005_CACD01000012.1        73     -12.5960     -12.5960      0.0000
  QRF00005_CACD01000012.1        73     -12.5960     -12.5960      0.0000
  QRF00005_CACD01000012.1        73     -12.5960     -12.5960      0.0000
  QRF00005_AM849034.1            74      -1.3052      -1.3052      0.0000
  QRF00005_AM711867.1            74      -1.3052      -1.3052      0.0000
  QRF00005_AEQT01000005.1        73     -12.5960     -12.5960      0.0000
  QRF00005_AEQT01000005.1        73     -12.5960     -12.5960      0.0000
  QRF00005_ACDJ01000003.1        73     -12.5960     -12.5960      0.0000
  QRF00005_ABWL02000007.1        73     -12.5960     -12.5960      0.0000
  QRF00005_Z71579.1              73     -13.1924     -13.1924      0.0000
  QRF00005_X53782.1              73     -13.1924     -13.1924      0.0000
  QRF00005_M19391.1              73     -13.1924     -13.1924      0.0000
  QRF00005_M15314.1              73     -13.1924     -13.1924      0.0000
  QRF00005_L42023.1              73     -13.1924     -13.1924      0.0000
  QRF00005_L42023.1              73     -13.1924     -13.1924      0.0000
  QRF00005_L42023.1              73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670204.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670204.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670204.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670178.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670178.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670178.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ670178.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312006.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312006.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312006.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312002.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312002.1            73     -13.1924     -13.1924      0.0000
  QRF00005_FQ312002.1            73     -13.1924     -13.1924      0.0000
  QRF00005_EF196803.1            73     -13.1924     -13.1924      0.0000
  QRF00005_EF196803.1            73     -13.1924     -13.1924      0.0000
  QRF00005_CP003022.1            73     -13.1924     -13.1924      0.0000
  QRF00001_EU093378.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AAAA02047827.1       119     -11.0008     -11.0008      0.0000
  QRF00001_AAAA02043281.1       119     -14.7646     -14.7646      0.0000
  QRF00001_EF064700.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF064692.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF064687.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF064680.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF064678.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF064556.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AJ390135.1           119     -11.0008     -11.0008      0.0000
  QRF00001_HQ270965.1           119     -11.0008     -11.0008      0.0000
  QRF00001_GQ324770.1           119     -11.0008     -11.0008      0.0000
  QRF00001_FJ882503.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AF550740.1           119     -11.0008     -11.0008      0.0000
  QRF00001_HQ270648.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU924818.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU093153.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EF524209.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AY316209.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AY034674.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AJ409525.1           119     -11.0008     -11.0008      0.0000
  QRF00001_AF550715.1           119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01010155.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009775.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009775.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009775.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009135.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009119.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01009117.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005845.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005845.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005844.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005841.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005839.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005838.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005838.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005835.1       119     -11.0008     -11.0008      0.0000
  QRF00001_ABXC01005835.1       119     -11.0008     -11.0008      0.0000
  QRF00001_AAAA02039752.1       119     -11.0008     -11.0008      0.0000
  QRF00001_EU925066.1           119     -10.4533     -10.4533      0.0000
  QRF00001_EU093209.1           119     -10.4533     -10.4533      0.0000
  QRF00001_U02637.1             119     -11.0008     -11.0008      0.0000
  QRF00001_EU439291.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439286.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439284.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439282.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439280.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439279.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439278.1           119     -11.0008     -11.0008      0.0000
  QRF00001_EU439277.1           119     -11.0008     -11.0008      0.0000
  QRF01704_ACNY01000005.1        62     -18.7680     -18.7680      0.0000
  QRF01704_ADXL01000065.1        61     -19.0764     -19.0764      0.0000
  QRF01704_ADXL01000046.1        61     -11.8312     -11.8312      0.0000
  QRF01704_ADHP01001127.1        63     -17.3875     -17.3875      0.0000
  QRF01704_ADXM01000029.1        71     -21.5643     -21.5643      0.0000
  QRF01704_FJ869257.1            62     -16.2314     -16.2314      0.0000
  QRF01704_BX569692.1            62     -16.2314     -16.2314      0.0000
  QRF01704_AACY023835177.1       64     -15.3101     -15.3101      0.0000
  QRF01704_ACNY01000003.1        61     -23.0312     -23.0312      0.0000
  QRF01704_AACY020212823.1       62     -15.7743     -15.7743      0.0000
  QRF01704_GQ237222.1            58     -16.2405     -16.2405      0.0000
  QRF01704_ADHP01000860.1        64     -15.8658     -15.8658      0.0000
  QRF01704_AACY020313707.1       62     -18.9357     -18.9357      0.0000
  QRF01704_ACDW01000004.1        62     -19.7810     -19.7810      0.0000
  QRF01704_AACY022014507.1       62     -14.4183     -14.4183      0.0000
  QRF01704_ADHP01000878.1        59     -24.7449     -24.7449      0.0000
  QRF01704_AACY022415810.1       58     -24.4346     -24.4346      0.0000
  QRF01704_AACY020575673.1       58     -24.4346     -24.4346      0.0000
  QRF01704_ACNY01000005.1        59     -19.8951     -19.8951      0.0000
  QRF01704_ADHP01000854.1        63     -17.3201     -17.3201      0.0000
  QRF01704_GU936714.1            59     -18.3298     -18.3298      0.0000
  QRF01704_AACY021622950.1       62     -19.6113     -19.6113      0.0000
  QRF01704_CP000825.1            58     -22.5786     -22.5786      0.0000
  QRF01704_EU795157.1            64     -19.3045     -19.3045      0.0000
  QRF01704_ABVN01004790.1        61     -19.0364     -19.0364      0.0000
  QRF01704_ABMN01086741.1        60     -22.3859     -22.3859      0.0000
  QRF01704_DQ325539.1            60     -15.6803     -15.6803      0.0000
  QRF01704_ACNY01000005.1        62     -20.3988     -20.3988      0.0000
  QRF01704_ACNY01000004.1        60     -15.5073     -15.5073      0.0000
  QRF01704_ABVT01000061.1        57     -22.6398     -22.6398      0.0000
  QRF00023_CP001665.1           363      -6.0067      -6.0067      0.0000
  QRF00023_CP001509.3           363      -6.0067      -6.0067      0.0000
  QRF00023_CP000819.1           363      -6.0067      -6.0067      0.0000
  QRF00023_AM946981.2           363      -6.0067      -6.0067      0.0000
  QRF00023_ADTQ01000184.1       363      -6.0067      -6.0067      0.0000
  QRF00023_ADBT01000188.1       363      -6.0067      -6.0067      0.0000
  QRF00023_FN543093.2           364      -4.2476      -4.2476      0.0000
  QRF00023_AFAG01000033.1       363      -6.0067      -6.0067      0.0000
  QRF00023_AFAF01000014.1       363      -6.0067      -6.0067      0.0000
  QRF00023_ADUS01000034.1       363      -6.0067      -6.0067      0.0000
  QRF00023_U36840.1             363      -6.0067      -6.0067      0.0000
  QRF00023_FN649414.1           363      -6.0067      -6.0067      0.0000
  QRF00023_CU928162.2           363      -6.0067      -6.0067      0.0000
  QRF00023_CU928161.2           363      -6.0067      -6.0067      0.0000
  QRF00023_CU928158.2           363      -6.0067      -6.0067      0.0000
  QRF00023_CU651637.1           363      -6.0067      -6.0067      0.0000
  QRF00023_CP003034.1           363      -6.0067      -6.0067      0.0000
  QRF00023_CP002797.2           363      -6.0067      -6.0067      0.0000
  QRF00023_CP002729.1           363      -6.0067      -6.0067      0.0000
  QRF00023_CP002516.1           363      -6.0067      -6.0067      0.0000
