# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01816.cm
# date:    Fri May 13 21:34:07 2016
# seed:    1463175247
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsaA                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:15.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -31.0495     -31.0495      0.0000
  QRF01739_AGJC01000011.1        62     -36.7018     -36.7018      0.0000
  QRF01739_AP012205.1            62     -28.2145     -28.2145      0.0000
  QRF01739_AEPQ01000180.1        85     -29.9000     -29.9000      0.0000
  QRF01739_AACY023065314.1       57     -34.8277     -34.8277      0.0000
  QRF01739_AACY020081009.1       57     -34.8277     -34.8277      0.0000
  QRF01739_ACSK01000180.1        92     -30.5523     -30.5523      0.0000
  QRF01739_BA000039.2           113     -28.4671     -28.4671      0.0000
  QRF01739_AACY023081145.1       53     -37.5875     -37.5875      0.0000
  QRF01739_AFSR01000238.1        99     -34.8834     -34.8834      0.0000
  QRF01739_AGJC01000003.1        76     -31.1667     -31.1667      0.0000
  QRF01739_AFSR01000146.1        92     -29.1938     -29.1938      0.0000
  QRF01739_CACA01000349.1        84     -29.5059     -29.5059      0.0000
  QRF01739_AACY022751187.1       52     -38.8675     -38.8675      0.0000
  QRF01739_AACY022283709.1       52     -38.8675     -38.8675      0.0000
  QRF01739_ABPS01003770.1       123     -21.0401     -21.0401      0.0000
  QRF01739_AFEJ01000345.1        83     -30.0163     -30.0163      0.0000
  QRF00005_CABR01000029.1        73     -31.0168     -31.0168      0.0000
  QRF00005_AFSR01002788.1        74     -31.8894     -31.8894      0.0000
  QRF00005_CP000927.1            72     -32.2658     -32.2658      0.0000
  QRF00005_AY741371.1            72     -31.7129     -31.7129      0.0000
  QRF00005_AEGR01000006.1        73     -28.2558     -28.2558      0.0000
  QRF00005_CP001189.1            73     -26.1737     -26.1737      0.0000
  QRF00005_CP000493.1            72     -33.0850     -33.0850      0.0000
  QRF00005_AP012159.1            73     -26.1737     -26.1737      0.0000
  QRF00005_AM889285.1            73     -26.1737     -26.1737      0.0000
  QRF00005_AGFR01000003.1        73     -30.0297     -30.0297      0.0000
  QRF00005_AFCH01000046.1        73     -26.1737     -26.1737      0.0000
  QRF00005_ADTV01000009.1        73     -26.1737     -26.1737      0.0000
  QRF00005_ABCE01000025.1        73     -28.0525     -28.0525      0.0000
  QRF00005_HM565909.1            72     -29.3699     -29.3699      0.0000
  QRF00005_CAFG01000441.1        73     -28.0758     -28.0758      0.0000
  QRF00005_AACY020656879.1       72     -31.5811     -31.5811      0.0000
  QRF00005_CP001744.1            73     -32.7573     -32.7573      0.0000
  QRF00005_CP000880.1            73     -21.1658     -21.1658      0.0000
  QRF00005_CACD01000012.1        73     -21.1658     -21.1658      0.0000
  QRF00005_CACD01000012.1        73     -21.1658     -21.1658      0.0000
  QRF00005_CACD01000012.1        73     -21.1658     -21.1658      0.0000
  QRF00005_AM849034.1            74     -29.9104     -29.9104      0.0000
  QRF00005_AM711867.1            74     -29.9104     -29.9104      0.0000
  QRF00005_AEQT01000005.1        73     -21.1658     -21.1658      0.0000
  QRF00005_AEQT01000005.1        73     -21.1658     -21.1658      0.0000
  QRF00005_ACDJ01000003.1        73     -21.1658     -21.1658      0.0000
  QRF00005_ABWL02000007.1        73     -21.1658     -21.1658      0.0000
  QRF00005_Z71579.1              73     -28.8808     -28.8808      0.0000
  QRF00005_X53782.1              73     -28.8808     -28.8808      0.0000
  QRF00005_M19391.1              73     -28.8808     -28.8808      0.0000
  QRF00005_M15314.1              73     -28.8808     -28.8808      0.0000
  QRF00005_L42023.1              73     -28.8808     -28.8808      0.0000
  QRF00005_L42023.1              73     -28.8808     -28.8808      0.0000
  QRF00005_L42023.1              73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670204.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670204.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670204.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670178.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670178.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670178.1            73     -28.8808     -28.8808      0.0000
  QRF00005_FQ670178.1            73     -28.8808     -28.8808      0.0000
