# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01482.cm
# date:    Fri May 13 20:30:03 2016
# seed:    1463171403
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  AdoCbl_riboswitch          search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:23.09       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -56.6947     -56.6947      0.0000
  QRF01739_AGJC01000011.1        62     -54.3008     -54.3008      0.0000
  QRF01739_AP012205.1            62     -54.4416     -54.4416      0.0000
  QRF01739_AEPQ01000180.1        85     -44.4272     -44.4272      0.0000
  QRF01739_AACY023065314.1       57     -53.7530     -53.7530      0.0000
  QRF01739_AACY020081009.1       57     -53.7530     -53.7530      0.0000
  QRF01739_ACSK01000180.1        92     -48.4946     -48.4946      0.0000
  QRF01739_BA000039.2           113     -27.7658     -27.7658      0.0000
  QRF01739_AACY023081145.1       53     -58.9044     -58.9044      0.0000
  QRF01739_AFSR01000238.1        99     -45.9985     -45.9985      0.0000
  QRF01739_AGJC01000003.1        76     -47.8846     -47.8846      0.0000
  QRF01739_AFSR01000146.1        92     -50.7637     -50.7637      0.0000
  QRF01739_CACA01000349.1        84     -43.9345     -43.9345      0.0000
  QRF01739_AACY022751187.1       52     -58.8956     -58.8956      0.0000
  QRF01739_AACY022283709.1       52     -58.8956     -58.8956      0.0000
  QRF01739_ABPS01003770.1       123     -33.9610     -33.9610      0.0000
  QRF01739_AFEJ01000345.1        83     -38.8215     -38.8215      0.0000
  QRF00005_CABR01000029.1        73     -50.7100     -50.7100      0.0000
  QRF00005_AFSR01002788.1        74     -52.1684     -52.1684      0.0000
  QRF00005_CP000927.1            72     -53.1270     -53.1270      0.0000
  QRF00005_AY741371.1            72     -50.2710     -50.2710      0.0000
  QRF00005_AEGR01000006.1        73     -51.0027     -51.0027      0.0000
  QRF00005_CP001189.1            73     -51.2959     -51.2959      0.0000
  QRF00005_CP000493.1            72     -52.8288     -52.8288      0.0000
  QRF00005_AP012159.1            73     -51.2959     -51.2959      0.0000
  QRF00005_AM889285.1            73     -51.2959     -51.2959      0.0000
  QRF00005_AGFR01000003.1        73     -52.5410     -52.5410      0.0000
  QRF00005_AFCH01000046.1        73     -51.2959     -51.2959      0.0000
  QRF00005_ADTV01000009.1        73     -51.2959     -51.2959      0.0000
  QRF00005_ABCE01000025.1        73     -49.0547     -49.0547      0.0000
  QRF00005_HM565909.1            72     -53.0909     -53.0909      0.0000
  QRF00005_CAFG01000441.1        73     -49.0147     -49.0147      0.0000
  QRF00005_AACY020656879.1       72     -52.5374     -52.5374      0.0000
  QRF00005_CP001744.1            73     -49.9810     -49.9810      0.0000
  QRF00005_CP000880.1            73     -51.5858     -51.5858      0.0000
  QRF00005_CACD01000012.1        73     -51.5858     -51.5858      0.0000
  QRF00005_CACD01000012.1        73     -51.5858     -51.5858      0.0000
  QRF00005_CACD01000012.1        73     -51.5858     -51.5858      0.0000
  QRF00005_AM849034.1            74     -40.3817     -40.3817      0.0000
  QRF00005_AM711867.1            74     -40.3817     -40.3817      0.0000
  QRF00005_AEQT01000005.1        73     -51.5858     -51.5858      0.0000
  QRF00005_AEQT01000005.1        73     -51.5858     -51.5858      0.0000
  QRF00005_ACDJ01000003.1        73     -51.5858     -51.5858      0.0000
  QRF00005_ABWL02000007.1        73     -51.5858     -51.5858      0.0000
  QRF00005_Z71579.1              73     -50.9107     -50.9107      0.0000
  QRF00005_X53782.1              73     -50.9107     -50.9107      0.0000
  QRF00005_M19391.1              73     -50.9107     -50.9107      0.0000
  QRF00005_M15314.1              73     -50.9107     -50.9107      0.0000
  QRF00005_L42023.1              73     -50.9107     -50.9107      0.0000
  QRF00005_L42023.1              73     -50.9107     -50.9107      0.0000
  QRF00005_L42023.1              73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670204.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670204.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670204.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670178.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670178.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670178.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ670178.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312006.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312006.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312006.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312002.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312002.1            73     -50.9107     -50.9107      0.0000
  QRF00005_FQ312002.1            73     -50.9107     -50.9107      0.0000
  QRF00005_EF196803.1            73     -50.9107     -50.9107      0.0000
  QRF00005_EF196803.1            73     -50.9107     -50.9107      0.0000
  QRF00005_CP003022.1            73     -50.9107     -50.9107      0.0000
  QRF00001_EU093378.1           119     -31.6406     -31.6406      0.0000
  QRF00001_AAAA02047827.1       119     -32.0875     -32.0875      0.0000
  QRF00001_AAAA02043281.1       119     -31.9675     -31.9675      0.0000
  QRF00001_EF064700.1           119     -31.4492     -31.4492      0.0000
  QRF00001_EF064692.1           119     -31.4492     -31.4492      0.0000
  QRF00001_EF064687.1           119     -31.4492     -31.4492      0.0000
  QRF00001_EF064680.1           119     -31.4492     -31.4492      0.0000
  QRF00001_EF064678.1           119     -31.4492     -31.4492      0.0000
  QRF00001_EF064556.1           119     -31.4492     -31.4492      0.0000
  QRF00001_AJ390135.1           119     -31.4492     -31.4492      0.0000
  QRF00001_HQ270965.1           119     -32.0875     -32.0875      0.0000
  QRF00001_GQ324770.1           119     -32.0875     -32.0875      0.0000
  QRF00001_FJ882503.1           119     -32.0875     -32.0875      0.0000
  QRF00001_AF550740.1           119     -32.0875     -32.0875      0.0000
  QRF00001_HQ270648.1           119     -31.0145     -31.0145      0.0000
  QRF00001_EU924818.1           119     -31.0145     -31.0145      0.0000
  QRF00001_EU093153.1           119     -31.0145     -31.0145      0.0000
  QRF00001_EF524209.1           119     -31.0145     -31.0145      0.0000
  QRF00001_AY316209.1           119     -31.0145     -31.0145      0.0000
  QRF00001_AY034674.1           119     -31.0145     -31.0145      0.0000
  QRF00001_AJ409525.1           119     -31.0145     -31.0145      0.0000
  QRF00001_AF550715.1           119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01010155.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009775.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009775.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009775.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009135.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009119.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01009117.1       119     -31.0145     -31.0145      0.0000
  QRF00001_ABXC01005845.1       119     -31.0145     -31.0145      0.0000
