# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01125.cm
# date:    Sat May 14 00:03:23 2016
# seed:    1463184203
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sR4                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:17.42       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -22.3947     -22.3947      0.0000
  QRF01739_AGJC01000011.1        62     -26.6376     -26.6376      0.0000
  QRF01739_AP012205.1            62     -19.0481     -19.0481      0.0000
  QRF01739_AEPQ01000180.1        85      -8.9981      -8.9981      0.0000
  QRF01739_AACY023065314.1       57     -16.5550     -16.5550      0.0000
  QRF01739_AACY020081009.1       57     -16.5550     -16.5550      0.0000
  QRF01739_ACSK01000180.1        92     -15.5346     -15.5346      0.0000
  QRF01739_BA000039.2           113     -17.5547     -17.5547      0.0000
  QRF01739_AACY023081145.1       53     -19.0663     -19.0663      0.0000
  QRF01739_AFSR01000238.1        99     -16.0899     -16.0899      0.0000
  QRF01739_AGJC01000003.1        76     -16.9320     -16.9320      0.0000
  QRF01739_AFSR01000146.1        92     -16.7719     -16.7719      0.0000
  QRF01739_CACA01000349.1        84     -16.8885     -16.8885      0.0000
  QRF01739_AACY022751187.1       52     -16.8295     -16.8295      0.0000
  QRF01739_AACY022283709.1       52     -16.8295     -16.8295      0.0000
  QRF01739_ABPS01003770.1       123     -16.1374     -16.1374      0.0000
  QRF01739_AFEJ01000345.1        83     -22.5400     -22.5400      0.0000
  QRF00005_CABR01000029.1        73     -22.4363     -22.4363      0.0000
  QRF00005_AFSR01002788.1        74     -20.1270     -20.1270      0.0000
  QRF00005_CP000927.1            72     -24.2926     -24.2926      0.0000
  QRF00005_AY741371.1            72     -15.9163     -15.9163      0.0000
  QRF00005_AEGR01000006.1        73     -21.6574     -21.6574      0.0000
  QRF00005_CP001189.1            73     -23.6459     -23.6459      0.0000
  QRF00005_CP000493.1            72     -19.9065     -19.9065      0.0000
  QRF00005_AP012159.1            73     -23.6459     -23.6459      0.0000
  QRF00005_AM889285.1            73     -23.6459     -23.6459      0.0000
  QRF00005_AGFR01000003.1        73     -25.5811     -25.5811      0.0000
  QRF00005_AFCH01000046.1        73     -23.6459     -23.6459      0.0000
  QRF00005_ADTV01000009.1        73     -23.6459     -23.6459      0.0000
  QRF00005_ABCE01000025.1        73     -24.3923     -24.3923      0.0000
  QRF00005_HM565909.1            72     -21.7850     -21.7850      0.0000
  QRF00005_CAFG01000441.1        73     -24.0474     -24.0474      0.0000
  QRF00005_AACY020656879.1       72     -21.7850     -21.7850      0.0000
  QRF00005_CP001744.1            73     -25.6221     -25.6221      0.0000
  QRF00005_CP000880.1            73     -21.6735     -21.6735      0.0000
  QRF00005_CACD01000012.1        73     -21.6735     -21.6735      0.0000
  QRF00005_CACD01000012.1        73     -21.6735     -21.6735      0.0000
  QRF00005_CACD01000012.1        73     -21.6735     -21.6735      0.0000
  QRF00005_AM849034.1            74     -15.6129     -15.6129      0.0000
  QRF00005_AM711867.1            74     -15.6129     -15.6129      0.0000
  QRF00005_AEQT01000005.1        73     -21.6735     -21.6735      0.0000
  QRF00005_AEQT01000005.1        73     -21.6735     -21.6735      0.0000
  QRF00005_ACDJ01000003.1        73     -21.6735     -21.6735      0.0000
  QRF00005_ABWL02000007.1        73     -21.6735     -21.6735      0.0000
  QRF00005_Z71579.1              73     -24.0474     -24.0474      0.0000
  QRF00005_X53782.1              73     -24.0474     -24.0474      0.0000
  QRF00005_M19391.1              73     -24.0474     -24.0474      0.0000
  QRF00005_M15314.1              73     -24.0474     -24.0474      0.0000
  QRF00005_L42023.1              73     -24.0474     -24.0474      0.0000
  QRF00005_L42023.1              73     -24.0474     -24.0474      0.0000
  QRF00005_L42023.1              73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670204.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670204.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670204.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670178.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670178.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670178.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ670178.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312006.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312006.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312006.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312002.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312002.1            73     -24.0474     -24.0474      0.0000
  QRF00005_FQ312002.1            73     -24.0474     -24.0474      0.0000
  QRF00005_EF196803.1            73     -24.0474     -24.0474      0.0000
  QRF00005_EF196803.1            73     -24.0474     -24.0474      0.0000
  QRF00005_CP003022.1            73     -24.0474     -24.0474      0.0000
  QRF00001_EU093378.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AAAA02047827.1       119     -13.7061     -13.7061      0.0000
  QRF00001_AAAA02043281.1       119     -16.8477     -16.8477      0.0000
  QRF00001_EF064700.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF064692.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF064687.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF064680.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF064678.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF064556.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AJ390135.1           119     -13.7061     -13.7061      0.0000
  QRF00001_HQ270965.1           119     -13.7061     -13.7061      0.0000
  QRF00001_GQ324770.1           119     -13.7061     -13.7061      0.0000
  QRF00001_FJ882503.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AF550740.1           119     -13.7061     -13.7061      0.0000
  QRF00001_HQ270648.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU924818.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU093153.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EF524209.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AY316209.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AY034674.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AJ409525.1           119     -13.7061     -13.7061      0.0000
  QRF00001_AF550715.1           119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01010155.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009775.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009775.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009775.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009135.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009119.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01009117.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005845.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005845.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005844.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005841.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005839.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005838.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005838.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005835.1       119     -13.7061     -13.7061      0.0000
  QRF00001_ABXC01005835.1       119     -13.7061     -13.7061      0.0000
  QRF00001_AAAA02039752.1       119     -13.7061     -13.7061      0.0000
  QRF00001_EU925066.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU093209.1           119     -13.7061     -13.7061      0.0000
  QRF00001_U02637.1             119     -13.7061     -13.7061      0.0000
  QRF00001_EU439291.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439286.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439284.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439282.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439280.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439279.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439278.1           119     -13.7061     -13.7061      0.0000
  QRF00001_EU439277.1           119     -13.7061     -13.7061      0.0000
  QRF01704_ACNY01000005.1        62     -18.9039     -18.9039      0.0000
  QRF01704_ADXL01000065.1        61     -23.6616     -23.6616      0.0000
  QRF01704_ADXL01000046.1        61     -21.7387     -21.7387      0.0000
  QRF01704_ADHP01001127.1        63     -22.3638     -22.3638      0.0000
  QRF01704_ADXM01000029.1        71     -23.4965     -23.4965      0.0000
  QRF01704_FJ869257.1            62     -18.9039     -18.9039      0.0000
  QRF01704_BX569692.1            62     -18.9039     -18.9039      0.0000
  QRF01704_AACY023835177.1       64     -21.7585     -21.7585      0.0000
  QRF01704_ACNY01000003.1        61     -16.0610     -16.0610      0.0000
  QRF01704_AACY020212823.1       62     -27.3827     -27.3827      0.0000
  QRF01704_GQ237222.1            58     -19.7779     -19.7779      0.0000
  QRF01704_ADHP01000860.1        64     -26.4105     -26.4105      0.0000
  QRF01704_AACY020313707.1       62     -22.5279     -22.5279      0.0000
  QRF01704_ACDW01000004.1        62     -27.2672     -27.2672      0.0000
  QRF01704_AACY022014507.1       62     -25.1998     -25.1998      0.0000
  QRF01704_ADHP01000878.1        59     -27.1148     -27.1148      0.0000
  QRF01704_AACY022415810.1       58     -27.1148     -27.1148      0.0000
  QRF01704_AACY020575673.1       58     -27.1148     -27.1148      0.0000
  QRF01704_ACNY01000005.1        59     -22.2303     -22.2303      0.0000
  QRF01704_ADHP01000854.1        63     -23.2173     -23.2173      0.0000
  QRF01704_GU936714.1            59     -21.0004     -21.0004      0.0000
  QRF01704_AACY021622950.1       62     -27.3827     -27.3827      0.0000
  QRF01704_CP000825.1            58     -26.9964     -26.9964      0.0000
  QRF01704_EU795157.1            64     -24.8410     -24.8410      0.0000
  QRF01704_ABVN01004790.1        61     -23.4547     -23.4547      0.0000
  QRF01704_ABMN01086741.1        60     -24.4862     -24.4862      0.0000
  QRF01704_DQ325539.1            60     -19.7133     -19.7133      0.0000
  QRF01704_ACNY01000005.1        62     -20.1053     -20.1053      0.0000
  QRF01704_ACNY01000004.1        60     -23.9601     -23.9601      0.0000
  QRF01704_ABVT01000061.1        57     -19.9965     -19.9965      0.0000
  QRF00023_CP001665.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001509.3           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000819.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AM946981.2           363      -7.0339      -7.0339      0.0000
  QRF00023_ADTQ01000184.1       363      -7.0339      -7.0339      0.0000
  QRF00023_ADBT01000188.1       363      -7.0339      -7.0339      0.0000
  QRF00023_FN543093.2           364      -6.0227      -6.0227      0.0000
  QRF00023_AFAG01000033.1       363      -7.0339      -7.0339      0.0000
  QRF00023_AFAF01000014.1       363      -7.0339      -7.0339      0.0000
  QRF00023_ADUS01000034.1       363      -7.0339      -7.0339      0.0000
  QRF00023_U36840.1             363      -7.0339      -7.0339      0.0000
  QRF00023_FN649414.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CU928162.2           363      -7.0339      -7.0339      0.0000
  QRF00023_CU928161.2           363      -7.0339      -7.0339      0.0000
  QRF00023_CU928158.2           363      -7.0339      -7.0339      0.0000
  QRF00023_CU651637.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP003034.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002797.2           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002729.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002516.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002212.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002211.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002185.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP002167.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001969.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001855.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001671.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001637.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001396.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP001383.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000970.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000948.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000802.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000243.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CP000038.1           363      -7.0339      -7.0339      0.0000
  QRF00023_CAFL01000074.1       363      -7.0339      -7.0339      0.0000
  QRF00023_CADZ01000057.1       363      -7.0339      -7.0339      0.0000
  QRF00023_BAAV01002786.1       363      -7.0339      -7.0339      0.0000
  QRF00023_AP012030.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP010960.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP010958.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP010953.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP009378.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP009240.1           363      -7.0339      -7.0339      0.0000
  QRF00023_AP009048.1           363      -7.0339      -7.0339      0.0000
