# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00040.cm
# date:    Sat May 14 03:30:18 2016
# seed:    1463196618
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rne5                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:31.25       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -166.1106    -166.1106      0.0000
  QRF01739_AGJC01000011.1        62    -165.8246    -165.8246      0.0000
  QRF01739_AP012205.1            62    -163.4828    -163.4828      0.0000
  QRF01739_AEPQ01000180.1        85    -149.1510    -149.1510      0.0000
  QRF01739_AACY023065314.1       57    -166.2943    -166.2943      0.0000
  QRF01739_AACY020081009.1       57    -166.2943    -166.2943      0.0000
  QRF01739_ACSK01000180.1        92    -149.8908    -149.8908      0.0000
  QRF01739_BA000039.2           113    -137.3190    -137.3190      0.0000
  QRF01739_AACY023081145.1       53    -170.3500    -170.3500      0.0000
  QRF01739_AFSR01000238.1        99    -146.4631    -146.4631      0.0000
  QRF01739_AGJC01000003.1        76    -158.1753    -158.1753      0.0000
  QRF01739_AFSR01000146.1        92    -149.9410    -149.9410      0.0000
  QRF01739_CACA01000349.1        84    -156.4684    -156.4684      0.0000
  QRF01739_AACY022751187.1       52    -166.2879    -166.2879      0.0000
  QRF01739_AACY022283709.1       52    -166.2879    -166.2879      0.0000
  QRF01739_ABPS01003770.1       123    -125.3300    -125.3300      0.0000
  QRF01739_AFEJ01000345.1        83    -159.3880    -159.3880      0.0000
  QRF00005_CABR01000029.1        73    -159.8741    -159.8741      0.0000
  QRF00005_AFSR01002788.1        74    -151.9527    -151.9527      0.0000
  QRF00005_CP000927.1            72    -156.3660    -156.3660      0.0000
  QRF00005_AY741371.1            72    -149.8708    -149.8708      0.0000
  QRF00005_AEGR01000006.1        73    -158.3699    -158.3699      0.0000
  QRF00005_CP001189.1            73    -158.0805    -158.0805      0.0000
  QRF00005_CP000493.1            72    -161.2649    -161.2649      0.0000
  QRF00005_AP012159.1            73    -158.0805    -158.0805      0.0000
  QRF00005_AM889285.1            73    -158.0805    -158.0805      0.0000
  QRF00005_AGFR01000003.1        73    -157.8403    -157.8403      0.0000
  QRF00005_AFCH01000046.1        73    -158.0805    -158.0805      0.0000
  QRF00005_ADTV01000009.1        73    -158.0805    -158.0805      0.0000
  QRF00005_ABCE01000025.1        73    -157.3995    -157.3995      0.0000
  QRF00005_HM565909.1            72    -152.3572    -152.3572      0.0000
  QRF00005_CAFG01000441.1        73    -158.3196    -158.3196      0.0000
  QRF00005_AACY020656879.1       72    -153.8612    -153.8612      0.0000
  QRF00005_CP001744.1            73    -160.4887    -160.4887      0.0000
  QRF00005_CP000880.1            73    -158.1157    -158.1157      0.0000
  QRF00005_CACD01000012.1        73    -158.1157    -158.1157      0.0000
  QRF00005_CACD01000012.1        73    -158.1157    -158.1157      0.0000
  QRF00005_CACD01000012.1        73    -158.1157    -158.1157      0.0000
  QRF00005_AM849034.1            74    -156.5132    -156.5132      0.0000
  QRF00005_AM711867.1            74    -156.5132    -156.5132      0.0000
  QRF00005_AEQT01000005.1        73    -158.1157    -158.1157      0.0000
  QRF00005_AEQT01000005.1        73    -158.1157    -158.1157      0.0000
  QRF00005_ACDJ01000003.1        73    -158.1157    -158.1157      0.0000
  QRF00005_ABWL02000007.1        73    -158.1157    -158.1157      0.0000
  QRF00005_Z71579.1              73    -157.8945    -157.8945      0.0000
  QRF00005_X53782.1              73    -157.8945    -157.8945      0.0000
  QRF00005_M19391.1              73    -157.8945    -157.8945      0.0000
  QRF00005_M15314.1              73    -157.8945    -157.8945      0.0000
  QRF00005_L42023.1              73    -157.8945    -157.8945      0.0000
  QRF00005_L42023.1              73    -157.8945    -157.8945      0.0000
  QRF00005_L42023.1              73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670204.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670204.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670204.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670178.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670178.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670178.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ670178.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312006.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312006.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312006.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312002.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312002.1            73    -157.8945    -157.8945      0.0000
  QRF00005_FQ312002.1            73    -157.8945    -157.8945      0.0000
  QRF00005_EF196803.1            73    -157.8945    -157.8945      0.0000
  QRF00005_EF196803.1            73    -157.8945    -157.8945      0.0000
  QRF00005_CP003022.1            73    -157.8945    -157.8945      0.0000
  QRF00001_EU093378.1           119    -135.8290    -135.8290      0.0000
  QRF00001_AAAA02047827.1       119    -138.1295    -138.1295      0.0000
  QRF00001_AAAA02043281.1       119    -134.1385    -134.1385      0.0000
  QRF00001_EF064700.1           119    -134.3840    -134.3840      0.0000
