# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00442.cm
# date:    Fri May 13 21:26:42 2016
# seed:    1463174802
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ykkC-yxkD                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:48.36       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -16.0427     -16.0427      0.0000
  QRF01739_AGJC01000011.1        62     -27.6875     -27.6875      0.0000
  QRF01739_AP012205.1            62     -24.5310     -24.5310      0.0000
  QRF01739_AEPQ01000180.1        85     -20.2302     -20.2302      0.0000
  QRF01739_AACY023065314.1       57     -32.4452     -32.4452      0.0000
  QRF01739_AACY020081009.1       57     -32.4452     -32.4452      0.0000
  QRF01739_ACSK01000180.1        92     -17.2542     -17.2542      0.0000
  QRF01739_BA000039.2           113       2.2909       2.2909      0.0000
  QRF01739_AACY023081145.1       53     -30.8828     -30.8828      0.0000
  QRF01739_AFSR01000238.1        99     -22.4326     -22.4326      0.0000
  QRF01739_AGJC01000003.1        76     -28.2433     -28.2433      0.0000
  QRF01739_AFSR01000146.1        92     -23.7459     -23.7459      0.0000
  QRF01739_CACA01000349.1        84     -15.9645     -15.9645      0.0000
  QRF01739_AACY022751187.1       52     -38.0895     -38.0895      0.0000
  QRF01739_AACY022283709.1       52     -38.0895     -38.0895      0.0000
  QRF01739_ABPS01003770.1       123     -18.7939     -18.7939      0.0000
  QRF01739_AFEJ01000345.1        83     -28.6088     -28.6088      0.0000
  QRF00005_CABR01000029.1        73     -26.1991     -26.1991      0.0000
  QRF00005_AFSR01002788.1        74     -25.8302     -25.8302      0.0000
  QRF00005_CP000927.1            72     -27.8318     -27.8318      0.0000
  QRF00005_AY741371.1            72     -30.1252     -30.1252      0.0000
  QRF00005_AEGR01000006.1        73     -30.3141     -30.3141      0.0000
  QRF00005_CP001189.1            73     -27.3501     -27.3501      0.0000
  QRF00005_CP000493.1            72     -27.9929     -27.9929      0.0000
  QRF00005_AP012159.1            73     -27.3501     -27.3501      0.0000
  QRF00005_AM889285.1            73     -27.3501     -27.3501      0.0000
  QRF00005_AGFR01000003.1        73     -24.5021     -24.5021      0.0000
  QRF00005_AFCH01000046.1        73     -27.3501     -27.3501      0.0000
  QRF00005_ADTV01000009.1        73     -27.3501     -27.3501      0.0000
  QRF00005_ABCE01000025.1        73     -28.6533     -28.6533      0.0000
  QRF00005_HM565909.1            72     -30.7932     -30.7932      0.0000
  QRF00005_CAFG01000441.1        73     -29.7411     -29.7411      0.0000
  QRF00005_AACY020656879.1       72     -31.7933     -31.7933      0.0000
  QRF00005_CP001744.1            73     -30.9442     -30.9442      0.0000
  QRF00005_CP000880.1            73     -30.5131     -30.5131      0.0000
  QRF00005_CACD01000012.1        73     -30.5131     -30.5131      0.0000
  QRF00005_CACD01000012.1        73     -30.5131     -30.5131      0.0000
  QRF00005_CACD01000012.1        73     -30.5131     -30.5131      0.0000
  QRF00005_AM849034.1            74     -19.1665     -19.1665      0.0000
  QRF00005_AM711867.1            74     -19.1665     -19.1665      0.0000
  QRF00005_AEQT01000005.1        73     -30.5131     -30.5131      0.0000
  QRF00005_AEQT01000005.1        73     -30.5131     -30.5131      0.0000
  QRF00005_ACDJ01000003.1        73     -30.5131     -30.5131      0.0000
  QRF00005_ABWL02000007.1        73     -30.5131     -30.5131      0.0000
  QRF00005_Z71579.1              73     -30.8680     -30.8680      0.0000
  QRF00005_X53782.1              73     -30.8680     -30.8680      0.0000
  QRF00005_M19391.1              73     -30.8680     -30.8680      0.0000
  QRF00005_M15314.1              73     -30.8680     -30.8680      0.0000
  QRF00005_L42023.1              73     -30.8680     -30.8680      0.0000
  QRF00005_L42023.1              73     -30.8680     -30.8680      0.0000
  QRF00005_L42023.1              73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670204.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670204.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670204.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670178.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670178.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670178.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ670178.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312006.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312006.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312006.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312002.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312002.1            73     -30.8680     -30.8680      0.0000
  QRF00005_FQ312002.1            73     -30.8680     -30.8680      0.0000
  QRF00005_EF196803.1            73     -30.8680     -30.8680      0.0000
  QRF00005_EF196803.1            73     -30.8680     -30.8680      0.0000
  QRF00005_CP003022.1            73     -30.8680     -30.8680      0.0000
  QRF00001_EU093378.1           119     -13.6739     -13.6739      0.0000
  QRF00001_AAAA02047827.1       119     -15.7679     -15.7679      0.0000
  QRF00001_AAAA02043281.1       119     -14.7269     -14.7269      0.0000
  QRF00001_EF064700.1           119     -11.6459     -11.6459      0.0000
  QRF00001_EF064692.1           119     -11.6459     -11.6459      0.0000
  QRF00001_EF064687.1           119     -11.6459     -11.6459      0.0000
  QRF00001_EF064680.1           119     -11.6459     -11.6459      0.0000
  QRF00001_EF064678.1           119     -11.6459     -11.6459      0.0000
  QRF00001_EF064556.1           119     -11.6459     -11.6459      0.0000
  QRF00001_AJ390135.1           119     -11.6459     -11.6459      0.0000
  QRF00001_HQ270965.1           119     -15.7679     -15.7679      0.0000
  QRF00001_GQ324770.1           119     -15.7679     -15.7679      0.0000
  QRF00001_FJ882503.1           119     -15.7679     -15.7679      0.0000
  QRF00001_AF550740.1           119     -15.7679     -15.7679      0.0000
  QRF00001_HQ270648.1           119     -15.3579     -15.3579      0.0000
  QRF00001_EU924818.1           119     -15.3579     -15.3579      0.0000
  QRF00001_EU093153.1           119     -15.3579     -15.3579      0.0000
  QRF00001_EF524209.1           119     -15.3579     -15.3579      0.0000
  QRF00001_AY316209.1           119     -15.3579     -15.3579      0.0000
  QRF00001_AY034674.1           119     -15.3579     -15.3579      0.0000
  QRF00001_AJ409525.1           119     -15.3579     -15.3579      0.0000
  QRF00001_AF550715.1           119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01010155.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009775.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009775.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009775.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009135.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009119.1       119     -15.3579     -15.3579      0.0000
  QRF00001_ABXC01009117.1       119     -15.3579     -15.3579      0.0000
